date,open,high,low,close,volume
2021-07-26,1170,1200,1170,1175,6298
2021-07-27,1250,1250,1185,1250,601
2021-07-28,1250,1340,1250,1255,1499
2021-07-29,1260,1290,1255,1290,385
2021-07-30,1280,1290,1280,1290,773
2021-08-02,1255,1385,1200,1385,5917
2021-08-03,1390,1390,1385,1390,967
2021-08-04,1485,1485,1400,1405,1510
2021-08-05,1480,1505,1400,1500,432
2021-08-06,1505,1510,1500,1500,2699
2021-08-09,1500,1500,1485,1485,257
2021-08-10,1500,1500,1480,1480,330
2021-08-11,1475,1500,1420,1490,3065
2021-08-12,1490,1490,1450,1450,1616
2021-08-16,1420,1430,1400,1400,678
2021-08-17,1420,1420,1400,1400,625
2021-08-18,1400,1405,1400,1405,1425
2021-08-19,1405,1415,1405,1415,410
2021-08-20,1415,1415,1405,1405,314
2021-08-23,1405,1410,1405,1410,400
2021-08-24,1405,1410,1405,1405,307
2021-08-25,1400,1405,1385,1395,2074
2021-08-26,1395,1395,1370,1370,267
2021-08-27,1370,1395,1370,1395,1078
2021-08-30,1395,1420,1395,1420,1690
2021-08-31,1410,1420,1400,1400,1258
2021-09-01,1400,1425,1295,1295,1050
2021-09-02,1295,1390,1200,1390,2499
2021-09-03,1295,1400,1290,1400,90
2021-09-06,1350,1350,1310,1350,360
2021-09-07,1310,1350,1295,1350,2026
2021-09-08,1350,1395,1350,1395,83
2021-09-09,1395,1395,1350,1350,285
2021-09-10,1350,1350,1300,1350,138
2021-09-13,1350,1350,1350,1350,40
2021-09-14,1350,1425,1300,1425,289
2021-09-15,1410,1445,1410,1445,3492
2021-09-16,1425,1495,1425,1495,167
2021-09-17,1450,1450,1445,1450,678
2021-09-20,1445,1485,1425,1485,747
2021-09-21,1490,1495,1490,1495,352
2021-09-22,1495,1550,1495,1550,2064
2021-09-23,1550,1550,1525,1550,484
2021-09-24,1555,1650,1555,1650,113
2021-09-27,1650,1695,1605,1650,278
2021-09-28,1695,1695,1610,1635,265
2021-09-29,1640,1700,1640,1695,522
2021-09-30,1670,1820,1670,1820,9763
2021-10-01,1820,1955,1820,1820,1973
2021-10-04,1900,1900,1685,1800,6395
2021-10-05,1800,1800,1710,1725,3028
2021-10-06,1725,1725,1655,1715,268
2021-10-07,1655,1725,1655,1725,389
2021-10-08,1725,1725,1700,1700,3719
2021-10-11,1750,1820,1750,1800,11495
2021-10-12,1800,1900,1800,1900,2408
2021-10-13,1855,1955,1855,1955,2016
2021-10-14,1900,1905,1900,1905,30
2021-10-15,1900,1995,1800,1995,2236
2021-10-19,1990,1995,1850,1860,255
2021-10-20,1860,1860,1805,1805,31
2021-10-21,1935,1935,1800,1805,1235
2021-10-22,1805,1805,1800,1805,6181
2021-10-25,1895,1895,1895,1895,103
2021-10-26,1895,1895,1805,1805,415
2021-10-27,1805,1850,1800,1800,607
2021-10-28,1900,1900,1800,1800,1372
2021-10-29,1900,1935,1900,1935,3646
2021-11-03,2045,2045,1950,1950,312
2021-11-04,2045,2045,2000,2000,1018
2021-11-05,2005,2025,1950,2000,3037
2021-11-08,2000,2000,1950,1950,170
2021-11-09,2000,2000,1950,1950,1369
2021-11-10,1950,2000,1950,1955,59
2021-11-11,1955,1955,1900,1950,248
2021-11-12,1950,1950,1950,1950,1219
2021-11-16,1915,1915,1915,1915,516
2021-11-17,1915,2000,1915,2000,175
2021-11-18,2000,2000,1950,2000,416
2021-11-19,1950,1950,1950,1950,243
