date,open,high,low,close,volume
2021-07-30,1170,1340,1170,1290,9556
2021-08-06,1255,1510,1200,1500,11525
2021-08-12,1500,1500,1420,1450,5268
2021-08-20,1420,1430,1400,1405,3452
2021-08-27,1405,1410,1370,1395,4126
2021-09-03,1395,1425,1200,1400,6587
2021-09-10,1350,1395,1295,1350,2892
2021-09-17,1350,1495,1300,1450,4666
2021-09-24,1445,1650,1425,1650,3760
2021-10-01,1650,1955,1605,1820,12801
2021-10-08,1900,1900,1655,1700,13799
2021-10-15,1750,1995,1750,1995,18185
2021-10-22,1990,1995,1800,1805,7702
2021-10-29,1895,1935,1800,1935,6143
2021-11-05,2045,2045,1950,2000,4367
2021-11-12,2000,2000,1900,1950,3065
2021-11-19,1915,2000,1915,1950,1350
2021-11-26,1955,2025,1955,1995,1180
2021-12-03,1995,2025,1960,2015,7628
2021-12-10,2000,2015,1905,1905,6630
2021-12-17,1900,1990,1800,1900,2812
2021-12-24,1900,1980,1805,1805,2473
2021-12-31,1940,1940,1750,1750,10199
2022-01-07,1750,1750,1510,1605,5745
2022-01-14,1600,1600,1390,1505,10019
2022-01-21,1510,1725,1500,1725,3509
2022-01-28,1750,1750,1675,1675,1632
2022-02-04,1730,1730,1575,1700,3744
2022-02-11,1700,1700,1505,1700,1957
2022-02-18,1700,1700,1580,1655,8244
2022-02-25,1745,1745,1620,1650,4883
2022-03-04,1625,1675,1610,1675,4831
2022-03-11,1675,1740,1620,1700,17980
2022-03-18,1630,1825,1600,1825,6087
2022-03-25,1800,1800,1700,1750,3112
2022-04-01,1760,1880,1760,1810,2425
2022-04-08,1815,1850,1810,1820,1018
2022-04-15,1810,1940,1800,1815,4604
2022-04-22,1810,1850,1810,1850,2330
2022-04-29,1850,1850,1850,1850,1202
2022-05-06,1820,1820,1700,1705,1496
2022-05-13,1700,1795,1700,1705,2416
2022-05-20,1705,1705,1500,1610,3526
2022-05-27,1610,1705,1590,1705,810
2022-06-03,1690,1705,1580,1700,830
2022-06-10,1700,1705,1580,1580,967
2022-06-17,1695,1695,1580,1580,4485
2022-06-24,1610,1610,1465,1465,8306
2022-07-01,1570,1685,1475,1685,829
2022-07-08,1685,1685,1560,1680,1313
2022-07-15,1680,1680,1590,1680,2345
2022-07-22,1650,1680,1625,1650,3564
2022-07-29,1650,1680,1615,1650,3432
2022-08-05,1650,1680,1510,1650,2804
2022-08-12,1650,1650,1600,1650,2480
2022-08-19,1650,1650,1605,1620,459
2022-08-26,1620,1645,1500,1595,1265
2022-09-02,1490,1595,1470,1500,3777
2022-09-09,1495,1650,1495,1600,1446
2022-09-16,1600,1600,1500,1600,1516
2022-09-23,1600,1620,1525,1600,1607
2022-09-30,1600,1615,1600,1600,269
2022-10-07,1600,1625,1525,1625,1384
2022-10-14,1625,1625,1590,1590,2119
2022-10-21,1600,1600,1505,1590,768
2022-10-28,1600,1600,1500,1600,990
2022-11-04,1600,1600,1500,1595,2075
2022-11-11,1575,1590,1470,1480,652
2022-11-18,1480,1500,1405,1405,499
2022-11-25,1410,1580,1410,1575,6470
2022-12-02,1565,1565,1365,1365,860
2022-12-09,1360,1460,1360,1395,248
2022-12-16,1400,1400,1295,1395,2034
2022-12-23,1300,1460,1300,1310,267
2022-12-30,1400,1450,1295,1295,1249
2023-01-06,1300,1460,1300,1390,438
2023-01-13,1390,1425,1210,1320,6597
2023-01-20,1400,1400,1290,1295,915
2023-01-27,1300,1350,1300,1305,6948
2023-02-03,1305,1400,1300,1390,1345
2023-02-10,1390,1400,1295,1380,2371
2023-02-17,1425,1425,1200,1230,7673
2023-02-24,1230,1300,1205,1230,2032
2023-03-03,1230,1250,1140,1200,9883
2023-03-10,1280,1290,1255,1255,822
2023-03-17,1285,1390,1250,1375,5139
2023-03-24,1300,1300,1295,1295,11663
2023-03-31,1285,1300,1210,1280,13190
2023-04-07,1280,1280,1200,1205,2000
2023-04-14,1280,1285,1210,1210,690
2023-04-20,1245,1245,1150,1245,793
2023-04-28,1265,1265,1140,1140,6285
2023-05-05,1190,1200,1190,1200,1356
2023-05-12,1200,1230,1160,1160,1302
2023-05-19,1165,1220,1160,1220,574
2023-05-26,1215,1215,1150,1150,3540
2023-06-02,1150,1150,1140,1145,1962
2023-06-09,1150,1230,1150,1200,2652
2023-06-16,1230,1230,1140,1195,7343
2023-06-23,1200,1375,1190,1305,6174
2023-06-30,1375,1475,1305,1465,700
2023-07-06,1465,1470,1300,1380,3577
2023-07-14,1380,1445,1375,1445,3304
2023-07-21,1445,1445,1210,1300,4053
2023-07-28,1350,1390,1300,1355,1867
2023-08-04,1355,1390,1290,1385,4444
2023-08-11,1385,1440,1295,1335,2069
2023-08-18,1300,1450,1300,1345,4371
2023-08-25,1345,1400,1330,1390,3086
2023-09-01,1390,1390,1230,1300,2621
