date,open,high,low,close,volume
2026-06-13,5505,5540,5505,5540,3666
2026-06-14,5505,5540,5505,5540,3666
2026-06-16,5600,5600,5600,5600,7109
2026-06-17,5700,5805,5700,5805,30164
2026-06-19,5870,5870,5870,5870,12748
2026-06-20,5870,5870,5870,5870,12748
2026-06-21,5870,5870,5870,5870,12748
2026-06-22,5870,5900,5870,5900,28947
2026-06-23,5870,5870,5810,5810,15952
2026-06-24,5750,5790,5750,5790,26104
2026-06-25,5795,5795,5700,5700,11470
2026-06-29,5800,5880,5800,5880,20927
2026-06-30,5880,5880,5865,5865,6588
2026-07-01,5865,5880,5865,5880,6287
2026-07-02,5880,5955,5880,5955,6544
2026-07-03,6205,6275,6205,6275,6580
2026-07-05,6205,6275,6205,6275,6580
2026-07-06,6400,6400,6360,6360,6422
2026-07-07,6360,6360,6275,6275,14123
2026-07-08,6360,6375,6360,6375,8461
2026-07-09,6500,6500,6385,6385,14821
2026-07-10,6420,6420,6350,6350,10671
2026-07-13,6350,6480,6350,6480,2933
2026-07-14,6480,6480,6480,6480,6537
2026-07-15,6480,6550,6480,6550,8110
2026-07-16,6500,6500,6385,6385,6651
2026-07-17,6400,6400,6300,6300,7797
2026-07-20,6500,6500,6450,6450,1181
2026-07-21,6450,6600,6450,6600,3792
2026-07-22,6600,6600,6595,6595,3307
2026-07-23,7085,7085,7085,7085,3881
2026-07-24,7615,7615,7615,7615,1771
2026-07-27,8185,8185,7850,7850,19484
2026-07-28,7850,7850,7600,7600,10419
2026-07-29,7600,7700,7600,7700,5081
2026-07-30,7700,7700,7600,7600,15134
2026-07-31,7595,7595,7585,7585,11408
2026-08-03,7600,7690,7600,7690,22443
2026-08-04,7750,7750,7690,7690,9381
2026-08-05,7690,7690,7500,7500,5754
2026-08-06,7500,7595,7500,7595,1303
2026-08-07,7500,7595,7500,7595,1303
2026-08-10,7500,7670,7500,7670,12599
2026-08-11,7670,7950,7670,7950,3706
2026-08-12,7940,8095,7940,8095,7201
2026-08-13,8095,8475,8095,8475,62268
2026-08-14,8475,8500,8475,8500,3756
2026-08-17,8510,8510,8495,8495,14329
2026-08-18,7860,8295,7860,8295,52947
2026-08-19,8295,8405,8295,8405,133418
2026-08-20,8400,8400,8400,8400,8579
2026-08-21,8450,8450,8200,8200,8156
2026-08-24,8495,8495,8495,8495,2683
2026-08-25,8495,8495,8495,8495,2683
2026-08-26,8495,8500,8495,8500,5164
2026-08-28,8500,8510,8500,8510,4558
2026-08-29,8500,8500,8500,8500,35229
2026-08-31,8500,8900,8500,8900,12743
2026-09-01,8900,9350,8900,9350,5615
2026-09-02,9350,9600,9350,9600,7363
2026-09-03,9600,10110,9600,10110,10167
2026-09-04,10440,10440,10400,10400,6011
2026-09-10,10400,10400,10110,10110,17846
2026-09-18,10400,10405,10400,10405,1231
2026-09-24,7920,7920,7920,7920,20470
