date,open,high,low,close,volume
2025-05-02,5600,5640,5255,5600,22677
2025-05-09,5500,5600,5205,5595,29983
2025-05-16,5400,5500,5310,5450,12846
2025-05-23,5400,5440,5205,5300,13559
2025-05-30,5245,5375,5200,5350,20829
2025-06-05,5350,5350,5225,5350,5333
2025-06-13,5300,6155,5260,5595,16403
2025-06-20,5415,5650,5365,5600,9894
2025-06-27,5600,5600,5300,5445,12871
2025-07-04,5040,5345,5010,5200,19848
2025-07-11,5150,5350,4910,5350,28558
2025-07-18,5335,5335,5100,5265,6687
2025-07-25,5285,5500,5250,5300,8764
2025-08-01,5300,5375,5280,5280,3732
2025-08-08,5280,5300,4860,5250,9752
2025-08-14,5250,5250,5050,5240,6768
2025-08-22,5240,5240,5055,5200,3870
2025-08-29,5200,5220,5095,5215,6499
2025-09-05,5195,5305,5150,5300,6418
2025-09-12,5170,5300,4900,5300,11181
2025-09-19,5055,5290,5020,5150,11337
2025-09-26,5150,5255,5010,5255,15721
2025-10-03,5255,5255,5000,5190,14336
2025-10-10,5190,5190,4990,5100,23022
2025-10-17,5100,5250,5050,5250,13334
2025-10-24,5245,5300,5000,5300,25223
2025-10-31,5300,5300,5100,5250,23418
2025-11-07,5110,5295,5100,5250,25411
2025-11-14,5235,5245,4900,5215,88353
2025-11-21,5205,5205,4905,5200,18901
2025-11-28,4955,5200,4905,5000,7725
2025-12-05,4960,5170,4960,5000,16825
2025-12-12,5000,5095,4900,4995,10533
2025-12-19,4950,4995,4850,4995,6291
2025-12-26,4915,5000,4900,4960,37188
2026-01-02,4960,4995,4905,4975,10900
2026-01-09,4955,4985,4900,4950,4780
2026-01-16,4940,4950,4890,4940,4868
2026-01-23,4910,4950,4900,4915,4647
2026-01-30,4940,5050,4805,4900,28566
2026-02-06,4905,4995,4900,4940,4063
2026-02-13,4950,5000,4940,5000,23078
2026-02-20,5000,5005,4955,5005,15641
2026-02-27,5005,5295,5005,5195,15972
2026-03-06,5195,5300,5150,5205,24900
2026-03-13,5205,5250,5100,5220,12993
2026-03-19,5200,5250,5110,5200,5924
2026-03-27,5200,5200,5000,5090,10706
2026-04-03,5100,5200,5070,5175,4537
2026-04-10,5105,5180,5090,5150,8389
2026-04-17,5115,5190,5100,5110,14377
2026-04-24,5115,5200,5085,5200,13776
2026-04-30,5200,5500,5200,5310,8662
2026-05-08,5305,5310,5120,5225,10480
2026-05-15,5165,5225,5160,5200,6494
2026-05-22,5100,5230,5005,5225,13782
2026-05-29,5200,5250,5180,5250,8067
2026-06-05,5250,5495,5200,5455,50036
2026-06-12,5500,5800,5200,5540,253457
2026-06-19,5590,6000,5550,5870,80583
2026-06-26,5870,5940,5600,5750,99745
2026-07-03,5800,6400,5750,6275,46926
2026-07-10,6400,6600,6250,6350,54498
2026-07-17,6350,6600,6220,6300,32028
2026-07-24,6500,7615,6305,7615,13932
2026-07-31,8185,8185,7300,7585,61526
2026-08-06,7600,7800,7380,7595,38881
2026-08-14,7500,8650,7500,8500,89530
2026-08-21,8510,8595,7860,8200,217429
2026-08-28,8495,8600,8300,8500,47634
2026-09-04,8500,10865,8495,10400,41899
2026-09-11,10400,10890,9960,10450,77638
2026-09-18,10450,10600,10110,10110,51897
2026-09-24,10115,10390,7920,7920,47458
