date,open,high,low,close,volume
2021-07-30,5365,5770,5355,5700,504
2021-08-31,5505,6200,5505,6000,13064
2021-09-30,6000,6500,5645,6100,4347
2021-10-29,6050,6485,5645,6000,6568
2021-11-30,5955,6000,5510,6000,9816
2021-12-31,6000,7525,5905,7400,191045
2022-01-31,7250,7250,6000,6000,10336
2022-02-28,6000,6410,5800,6050,10745
2022-03-31,6050,6400,5700,6395,13032
2022-04-29,6300,6350,5700,6200,52533
2022-05-31,6000,6300,5550,6010,4865
2022-06-30,6170,6295,5800,6295,7652
2022-07-28,6295,6800,6000,6100,10136
2022-08-31,6400,6900,6400,6890,4482
2022-09-30,6790,6790,6500,6505,2804
2022-10-31,6900,6900,6015,6400,10607
2022-11-29,5925,6500,5915,6385,7979
2022-12-30,5910,7000,5905,6850,27789
2023-01-31,6840,6840,5585,6000,7149
2023-02-28,6000,6500,5705,6390,7565
2023-03-31,6390,6495,6200,6400,13068
2023-04-28,6200,6400,5825,6290,107528
2023-05-31,6200,6800,6190,6700,7964
2023-06-30,6700,7100,6500,6890,9788
2023-07-31,6740,6800,6100,6800,3748
2023-08-31,6900,7000,6400,6700,13059
2023-09-29,6900,7000,6700,6895,10757
2023-10-31,6895,6905,6700,6800,22271
2023-11-30,6900,7000,6700,6930,16655
2023-12-28,6930,7495,6300,7490,10683
2024-01-31,7450,7485,6900,7480,1196
2024-02-29,7480,7490,6855,6885,7416
2024-03-29,7400,7400,6800,7300,2756
2024-04-30,7300,7500,6810,7500,3592
2024-05-31,7500,8945,7500,8605,5537
2024-06-28,9250,11500,9250,10000,2956
2024-07-31,10640,10640,9185,9740,14501
2024-08-30,9700,10750,9405,10100,23638
2024-09-30,10100,11100,10000,10750,7517
2024-10-31,10750,11100,10500,10805,6326
2024-11-29,11615,13600,11000,13490,21975
2024-12-31,13490,14230,12955,14000,29368
2025-01-31,14100,16000,13655,16000,4767
2025-02-28,16000,16165,14160,16000,8760
2025-03-28,16000,16200,14815,15990,8679
2025-04-30,15950,15995,14295,15400,6089
2025-05-30,15400,18220,14000,17000,4358
2025-06-30,17000,17000,16000,16700,6740
2025-07-31,16580,18105,16110,17050,22762
2025-08-29,17000,17210,15500,15515,39438
2025-09-30,15505,17000,14500,16885,53139
2025-10-31,16885,20000,16590,19340,31581
2025-11-28,19330,20450,18005,19500,22201
2025-12-31,20150,20150,18500,19445,8267
2026-01-30,19300,19450,18850,19200,14593
2026-02-27,19250,26470,19200,24900,27928
2026-03-31,25445,27950,24000,25400,30205
2026-04-30,25400,25400,21750,24850,16300
2026-05-29,25000,28300,24000,28250,12186
2026-06-30,28950,29450,27500,29000,14101
2026-07-31,29000,29500,27280,28670,14710
2026-08-31,28675,30000,28200,29900,12656
2026-09-24,29700,35000,29000,30500,15029
