date,open,high,low,close,volume
2021-07-30,5365,5770,5355,5700,504
2021-08-06,5505,5760,5505,5750,8683
2021-08-13,5760,6200,5750,6185,1049
2021-08-20,6190,6190,6000,6175,729
2021-08-27,6175,6175,5800,5800,763
2021-09-03,5800,6500,5750,6500,2242
2021-09-10,6495,6500,6100,6100,211
2021-09-17,6100,6495,5645,6495,2380
2021-09-24,6475,6475,5700,6250,917
2021-10-01,6250,6250,6050,6100,460
2021-10-08,5645,6485,5645,6150,1665
2021-10-15,5915,6400,5900,6400,536
2021-10-22,6000,6300,6000,6200,135
2021-10-29,6400,6400,5735,6000,4209
2021-11-05,5955,6000,5955,6000,1140
2021-11-12,5955,6000,5510,6000,1166
2021-11-19,5995,6000,5990,6000,5569
2021-11-25,5990,6000,5885,6000,1868
2021-12-03,6000,6000,5905,6000,2084
2021-12-10,5995,6000,5995,6000,21373
2021-12-17,6000,6900,6000,6800,95083
2021-12-24,6600,7000,6600,7000,32305
2021-12-31,6990,7525,6965,7400,40273
2022-01-07,7250,7250,6100,6100,105
2022-01-13,6100,6100,6000,6000,3465
2022-01-21,6000,6400,6000,6400,6366
2022-01-28,6400,6425,6000,6000,389
2022-02-04,6000,6410,5800,5915,5272
2022-02-11,5915,6300,5830,6290,364
2022-02-18,6250,6280,6000,6200,2340
2022-02-25,6200,6400,5910,6400,2657
2022-03-04,6050,6195,5950,6100,3587
2022-03-11,6000,6000,5900,6000,912
2022-03-18,6000,6000,5900,6000,1935
2022-03-25,6000,6000,5810,6000,5016
2022-04-01,5815,6400,5700,6000,1751
2022-04-08,5900,6340,5700,6250,20363
2022-04-15,6000,6350,5820,6350,5186
2022-04-22,6200,6335,5955,6000,3505
2022-04-29,6000,6300,6000,6200,23433
2022-05-06,6000,6300,6000,6285,975
2022-05-13,6010,6285,6000,6240,782
2022-05-20,6100,6100,5550,6000,2115
2022-05-27,5600,6200,5600,6195,923
2022-06-03,6010,6170,6000,6000,147
2022-06-09,6000,6000,6000,6000,195
2022-06-17,5995,6200,5800,6200,5054
2022-06-21,6200,6250,5900,6250,428
2022-07-01,6250,6295,6200,6295,1904
2022-07-08,6300,6740,6300,6595,672
2022-07-15,6600,6715,6250,6715,3887
2022-07-22,6800,6800,6000,6400,5420
2022-07-28,6400,6400,6100,6100,151
2022-08-05,6400,6900,6400,6900,2541
2022-08-12,6900,6900,6400,6405,244
2022-08-19,6405,6700,6400,6695,195
2022-08-26,6695,6900,6695,6895,1008
2022-09-02,6800,6890,6500,6500,661
2022-09-09,6790,6790,6500,6750,1083
2022-09-16,6700,6700,6690,6690,200
2022-09-23,6600,6605,6500,6500,904
2022-09-30,6695,6695,6505,6505,450
2022-10-07,6900,6900,6550,6600,697
2022-10-14,6600,6700,6500,6600,4088
2022-10-21,6500,6600,6015,6500,1459
2022-10-28,6700,6700,6500,6500,4343
2022-11-04,6400,6400,5925,6400,3547
2022-11-10,6400,6500,6400,6400,141
2022-11-17,5920,6400,5920,6390,2532
2022-11-24,6390,6390,5915,6390,1751
2022-11-29,6380,6390,6380,6385,28
2022-12-09,5910,6600,5905,6600,1646
2022-12-16,7000,7000,6430,6995,18922
2022-12-23,6950,6990,6890,6975,910
2022-12-30,6550,6980,6500,6850,6311
2023-01-06,6840,6840,6330,6700,163
2023-01-13,6330,6330,6325,6325,1247
2023-01-20,6325,6325,6100,6100,2077
2023-01-27,6050,6050,5800,6000,3394
2023-02-03,6000,6000,5585,6000,481
2023-02-10,6000,6000,5895,5900,2303
2023-02-17,5785,6500,5705,6500,2318
2023-02-24,6400,6400,5920,6390,2015
2023-03-02,6390,6495,5920,6445,734
2023-03-10,6400,6440,6200,6400,7132
2023-03-17,6400,6495,6400,6495,1383
2023-03-24,6440,6440,6300,6300,3707
2023-03-31,6300,6400,6200,6400,828
2023-04-06,6200,6400,6200,6275,1110
2023-04-14,6275,6300,6200,6295,119
2023-04-20,6200,6400,6000,6300,103200
2023-04-28,6200,6400,5825,6290,3099
2023-05-05,6200,6200,6190,6190,136
2023-05-12,6190,6300,6190,6200,4388
2023-05-19,6250,6695,6250,6695,2429
2023-05-26,6695,6800,6500,6800,910
2023-06-02,6700,6800,6700,6800,501
2023-06-09,6800,6800,6500,6800,1122
2023-06-16,6800,7000,6800,6900,3560
2023-06-23,6900,7100,6570,6850,3627
2023-06-30,6700,6985,6700,6890,1079
