date,open,high,low,close,volume
2026-06-13,1880,1880,1880,1880,2933
2026-06-14,1880,1880,1880,1880,2933
2026-06-16,1880,1900,1880,1900,6418
2026-06-17,1950,1960,1950,1960,2621
2026-06-19,2050,2100,2050,2100,6491
2026-06-20,2050,2100,2050,2100,6491
2026-06-21,2050,2100,2050,2100,6491
2026-06-22,2100,2100,1990,1990,4752
2026-06-23,1990,1990,1990,1990,4227
2026-06-24,1990,1990,1965,1965,1504
2026-06-25,1985,1990,1985,1990,652
2026-06-29,2000,2000,1985,1985,1602
2026-06-30,1985,1985,1985,1985,3477
2026-07-01,1995,1995,1985,1985,945
2026-07-02,1985,1985,1985,1985,3107
2026-07-03,1985,2000,1985,2000,1176
2026-07-05,1985,2000,1985,2000,1176
2026-07-06,2000,2000,1990,1990,675
2026-07-07,1990,1990,1960,1960,1522
2026-07-08,1960,1960,1950,1950,3166
2026-07-09,1805,1805,1805,1805,1228
2026-07-10,1750,1755,1750,1755,1567
2026-07-13,1755,1770,1755,1770,725
2026-07-14,1770,1770,1750,1750,4841
2026-07-15,1755,1880,1755,1880,1869
2026-07-16,1880,1880,1875,1875,6246
2026-07-17,1995,1995,1875,1875,4512
2026-07-20,1775,1990,1775,1990,2117
2026-07-21,1885,1985,1885,1985,552
2026-07-22,1985,1985,1975,1975,459
2026-07-23,1975,1990,1975,1990,683
2026-07-24,1985,1985,1985,1985,1055
2026-07-27,1900,1900,1900,1900,475
2026-07-28,1900,1900,1875,1875,1365
2026-07-29,1870,1875,1870,1875,692
2026-07-30,1900,1900,1880,1880,1137
2026-07-31,1895,1895,1890,1890,371
2026-08-03,1900,1930,1900,1930,2336
2026-08-04,1930,1930,1930,1930,2393
2026-08-05,1925,1925,1915,1915,2121
2026-08-06,1915,1915,1900,1900,1386
2026-08-07,1915,1915,1900,1900,1386
2026-08-10,1900,1905,1900,1905,4690
2026-08-11,1900,1985,1900,1985,2392
2026-08-12,1940,1995,1940,1995,2435
2026-08-13,2000,2000,2000,2000,3095
2026-08-14,2000,2000,2000,2000,921
2026-08-17,2000,2000,1985,1985,2715
2026-08-18,2000,2000,1995,1995,1907
2026-08-19,1995,1995,1990,1990,2320
2026-08-20,1985,1990,1985,1990,1382
2026-08-21,1990,1990,1990,1990,3586
2026-08-24,1990,1990,1990,1990,3163
2026-08-25,1990,1990,1990,1990,3163
2026-08-26,1990,2135,1990,2135,10030
2026-08-28,2200,2295,2200,2295,1648
2026-08-29,2440,2440,2300,2300,3470
2026-08-31,2265,2295,2265,2295,1270
2026-09-01,2300,2400,2300,2400,16066
2026-09-02,2385,2385,2220,2220,11385
2026-09-03,2075,2200,2075,2200,12763
2026-09-04,2200,2200,2175,2175,3790
2026-09-10,2035,2120,2035,2120,2229
2026-09-18,2055,2055,2035,2035,1602
2026-09-24,1890,1890,1890,1890,897
