date,open,high,low,close,volume
2026-06-14,1880,1880,1880,1880,5866
2026-06-21,1880,2100,1880,2100,28512
2026-06-25,2100,2100,1965,1990,11135
2026-07-05,2000,2000,1985,2000,11483
2026-07-10,2000,2000,1750,1755,8158
2026-07-17,1755,1995,1750,1875,18193
2026-07-24,1775,1990,1775,1985,4866
2026-07-31,1900,1900,1870,1890,4040
2026-08-07,1900,1930,1900,1900,9622
2026-08-14,1900,2000,1900,2000,13533
2026-08-21,2000,2000,1985,1990,11910
2026-08-29,1990,2440,1990,2300,21474
2026-09-04,2265,2400,2075,2175,45274
2026-09-10,2035,2120,2035,2120,2229
2026-09-18,2055,2055,2035,2035,1602
2026-09-24,1890,1890,1890,1890,897
