date,open,high,low,close,volume
2021-07-26,1988,2050,1900,2050,2354
2021-07-27,1975,1975,1950,1975,1756
2021-07-28,1953,1995,1953,1995,3074
2021-07-29,1975,1995,1975,1995,1554
2021-07-30,1998,2000,1998,1998,270
2021-08-02,2000,2050,1998,2000,23660
2021-08-03,2000,2000,1953,1955,6228
2021-08-04,2050,2050,1960,2050,1596
2021-08-05,2000,2000,2000,2000,564
2021-08-06,2050,2050,2025,2050,60
2021-08-09,2000,2050,2000,2050,498
2021-08-10,2025,2025,2000,2000,484
2021-08-11,2000,2000,2000,2000,122
2021-08-12,2000,2003,2000,2000,174
2021-08-13,2000,2025,2000,2000,5354
2021-08-16,2000,2010,2000,2003,456
2021-08-17,2013,2013,2003,2013,410
2021-08-18,2013,2150,2013,2150,14318
2021-08-19,2200,2200,2150,2163,494
2021-08-20,2175,2175,2175,2175,1296
2021-08-23,2173,2173,2163,2173,4850
2021-08-24,2160,2323,2160,2323,3462
2021-08-25,2323,2323,2175,2175,1590
2021-08-26,2185,2185,2150,2173,1734
2021-08-27,2170,2170,2150,2150,3070
2021-08-30,2163,2250,2163,2250,3696
2021-08-31,2225,2225,2150,2200,456
2021-09-01,2200,2200,2198,2198,184
2021-09-02,2200,2200,2175,2198,422
2021-09-03,2198,2200,2195,2195,628
2021-09-06,2225,2225,2198,2198,524
2021-09-07,2225,2225,2198,2225,15248
2021-09-08,2220,2225,2213,2225,6026
2021-09-09,2225,2250,2225,2250,1482
2021-09-10,2250,2250,2250,2250,902
2021-09-14,2295,2295,2295,2295,490
2021-09-15,2255,2295,2250,2255,8892
2021-09-16,2300,2300,2250,2300,4228
2021-09-17,2300,2310,2300,2300,258
2021-09-20,2310,2425,2300,2425,2474
2021-09-21,2425,2430,2425,2428,4330
2021-09-22,2428,2430,2428,2428,1220
2021-09-23,2450,2450,2433,2450,840
2021-09-24,2450,2475,2438,2450,1890
2021-09-27,2475,2490,2475,2490,832
2021-09-28,2493,2575,2493,2575,1090
2021-09-29,2603,2768,2603,2608,1234
2021-09-30,2650,2800,2650,2800,954
2021-10-01,2768,2800,2750,2800,1592
2021-10-04,2753,2800,2750,2800,6010
2021-10-05,2800,3000,2800,2850,1188
2021-10-06,2900,2900,2800,2885,802
2021-10-07,2850,2850,2798,2800,2150
2021-10-08,2790,2790,2633,2790,538
2021-10-11,2750,2750,2745,2745,44
2021-10-12,2700,2700,2603,2698,1256
2021-10-13,2650,2673,2650,2653,352
2021-10-14,2650,2650,2605,2608,300
2021-10-15,2608,2650,2605,2650,1188
2021-10-19,2650,2663,2650,2653,554
2021-10-20,2650,2698,2650,2698,4780
2021-10-21,2698,2698,2650,2650,1974
2021-10-22,2655,2655,2613,2613,4582
2021-10-25,2613,2690,2613,2690,1946
2021-10-26,2690,2690,2675,2690,220
2021-10-27,2613,2675,2613,2675,662
2021-10-28,2650,2753,2650,2753,5540
2021-10-29,2700,2900,2700,2900,630
2021-11-03,2800,2875,2800,2800,510
2021-11-04,2800,2850,2700,2700,8556
2021-11-05,2848,2848,2703,2750,486
2021-11-08,2700,2753,2700,2750,4228
2021-11-09,2750,2758,2750,2758,1394
2021-11-10,2750,2758,2750,2750,6214
2021-11-11,2703,2750,2700,2750,10628
2021-11-12,2700,2750,2700,2750,270
2021-11-16,2653,2750,2653,2750,288
2021-11-17,2700,2725,2700,2703,308
2021-11-18,2700,2703,2700,2703,1102
2021-11-19,2703,2748,2700,2748,372
2021-11-22,2750,2750,2725,2728,684
2021-11-23,2728,2750,2728,2728,586
2021-11-24,2748,2748,2700,2700,4388
2021-11-25,2700,2700,2700,2700,198
2021-11-26,2700,2725,2700,2725,4838
2021-11-29,2700,2748,2700,2748,1318
2021-11-30,2725,2798,2725,2750,1252
2021-12-01,2750,2798,2750,2750,3018
2021-12-02,2750,2825,2750,2825,210
2021-12-03,2825,2950,2800,2950,206
2021-12-06,2925,2925,2750,2775,2402
2021-12-07,2775,2775,2755,2755,2016
2021-12-08,2755,2755,2750,2755,2142
2021-12-09,2755,2755,2700,2745,360
2021-12-10,2745,2750,2745,2750,86
2021-12-14,2745,2775,2745,2750,2126
2021-12-15,2750,2753,2750,2750,9462
2021-12-16,2750,2753,2545,2750,12978
2021-12-17,2753,2753,2725,2725,924
2021-12-20,2748,2750,2703,2703,1506
2021-12-21,2748,2750,2725,2750,3998
2021-12-22,2750,2750,2703,2703,5254
2021-12-23,2625,2750,2625,2750,908
2021-12-24,2750,2750,2750,2750,76
2021-12-27,2748,2750,2700,2750,8948
2021-12-28,2750,2750,2650,2700,2536
2021-12-29,2770,2770,2700,2700,654
2021-12-30,2685,2700,2675,2700,396
2021-12-31,2675,2675,2650,2650,266
2022-01-03,2625,2700,2625,2700,1958
2022-01-04,2700,2700,2625,2698,470
2022-01-05,2698,2698,2698,2698,266
2022-01-06,2675,2675,2650,2650,394
2022-01-07,2650,2650,2605,2650,1106
2022-01-10,2650,2650,2650,2650,40
2022-01-11,2650,2650,2608,2608,770
2022-01-12,2650,2650,2600,2650,1272
2022-01-13,2650,2650,2600,2650,534
2022-01-14,2650,2650,2603,2603,1566
2022-01-17,2603,2603,2550,2550,2880
2022-01-18,2550,2603,2550,2550,3606
2022-01-19,2550,2555,2550,2553,600
2022-01-20,2553,2650,2553,2650,3910
2022-01-21,2625,2625,2560,2625,2800
2022-01-24,2600,2600,2575,2600,2320
2022-01-25,2600,2600,2555,2600,4890
2022-01-26,2578,2600,2578,2600,402
2022-01-27,2600,2600,2580,2598,5658
2022-01-28,2595,2628,2575,2575,3818
2022-01-31,2575,2575,2570,2575,2940
2022-02-01,2583,2753,2583,2600,2070
2022-02-02,2603,2603,2575,2600,7560
2022-02-03,2625,2650,2600,2600,3348
2022-02-04,2605,2700,2605,2700,794
2022-02-07,2650,2650,2650,2650,1390
2022-02-08,2648,2698,2648,2675,2798
2022-02-09,2750,2800,2750,2800,1236
2022-02-10,2825,2825,2800,2800,824
2022-02-11,2800,2800,2798,2800,6202
2022-02-14,2800,2925,2750,2925,8398
2022-02-15,2948,2950,2803,2875,1656
2022-02-16,2875,2925,2800,2803,3054
2022-02-17,2825,3000,2803,3000,2540
2022-02-18,3000,3000,2950,2998,346
2022-02-21,2998,3000,2998,3000,1432
2022-02-22,2998,3000,2998,2998,1402
2022-02-23,2998,3040,2998,3040,7048
2022-02-24,3000,3038,2975,2975,792
2022-02-25,3005,3005,3000,3000,520
2022-02-28,3000,3000,2950,2975,4410
2022-03-01,2975,2975,2975,2975,1492
2022-03-02,3000,3000,2975,2975,1828
2022-03-03,3050,3050,3000,3045,364
2022-03-04,3045,3045,3000,3045,3472
2022-03-07,3025,3045,3000,3000,6174
2022-03-08,3050,3050,3025,3025,84
2022-03-09,3025,3025,3000,3025,6140
2022-03-10,3025,3025,3023,3023,596
2022-03-11,3023,3025,3023,3025,1020
2022-03-14,3025,3025,3020,3020,384
2022-03-15,3003,3050,3003,3003,1628
2022-03-16,3003,3023,3000,3000,3048
2022-03-17,3000,3025,3000,3025,2380
2022-03-18,3025,3048,3000,3048,5086
2022-03-21,3050,3050,3040,3050,468
2022-03-22,3050,3068,3050,3068,3734
2022-03-23,3100,3275,3100,3275,2404
2022-03-24,3275,3400,3275,3398,256
2022-03-25,3300,3325,3298,3300,470
2022-03-28,3300,3325,3300,3325,498
2022-03-29,3368,3368,3328,3350,888
2022-03-30,3350,3368,3350,3368,5646
2022-03-31,3375,3490,3308,3308,7042
2022-04-01,3328,3328,3300,3308,372
2022-04-04,3308,3350,3308,3350,462
2022-04-05,3310,3315,3310,3315,840
2022-04-06,3315,3350,3315,3348,618
2022-04-07,3325,3325,3308,3308,1870
2022-04-08,3308,3318,3305,3305,624
2022-04-11,3308,3310,3300,3310,976
2022-04-12,3325,3325,3310,3310,872
2022-04-13,3310,3310,3305,3305,792
2022-04-14,3305,3305,3300,3300,9120
2022-04-15,3300,3300,3300,3300,4560
2022-04-19,3300,3300,3295,3300,1138
2022-04-20,3300,3300,3295,3295,1618
2022-04-21,3298,3298,3255,3290,158
2022-04-22,3300,3300,3250,3290,4098
2022-04-25,3250,3250,3250,3250,628
2022-04-26,3245,3245,3235,3235,32
2022-04-27,3235,3238,3200,3238,5582
2022-04-29,3240,3240,3200,3200,1066
2022-05-03,3200,3200,3100,3200,1240
2022-05-04,3200,3200,3198,3198,362
2022-05-05,3225,3225,3150,3150,5586
2022-05-06,3200,3200,3200,3200,3286
2022-05-09,3200,3200,3150,3198,808
2022-05-10,3200,3200,3175,3180,1044
2022-05-11,3198,3225,3180,3225,8454
2022-05-12,3200,3225,3200,3225,4122
2022-05-13,3250,3250,3250,3250,660
2022-05-16,3250,3250,3230,3250,6950
2022-05-17,3250,3250,3200,3203,6474
2022-05-18,3250,3250,3225,3225,10638
2022-05-19,3250,3250,3250,3250,2094
2022-05-20,3250,3300,3250,3300,12102
2022-05-23,2803,3225,2803,3190,738
2022-05-24,3175,3175,3000,3000,1076
2022-05-25,2950,2950,2950,2950,52
2022-05-27,2898,2950,2850,2850,2330
2022-05-30,2853,2900,2850,2900,7624
2022-05-31,2900,2998,2900,2998,824
2022-06-01,2998,2998,2900,2900,770
2022-06-02,2903,2998,2700,2998,29398
