date,open,high,low,close,volume
2021-07-30,1988,2050,1900,1998,9008
2021-08-31,2000,2323,1953,2200,74572
2021-09-30,2200,2800,2175,2800,54148
2021-10-29,2768,3000,2603,2900,36308
2021-11-30,2800,2875,2653,2750,47620
2021-12-31,2750,2950,2545,2650,60472
2022-01-31,2625,2700,2550,2575,42200
2022-02-28,2583,3040,2575,2975,57820
2022-03-31,2975,3490,2975,3308,55102
2022-04-29,3328,3350,3200,3200,35426
2022-05-31,3200,3300,2803,2998,76464
2022-06-30,2998,3100,2700,3050,75726
2022-07-29,3100,3100,3050,3055,30254
2022-08-31,3075,3100,3000,3015,57388
2022-09-30,3050,3328,2950,2950,51304
2022-10-31,2950,3050,2720,3005,65554
2022-11-30,3005,3050,2900,2975,45966
2022-12-30,2950,3000,2753,2975,47656
2023-01-31,2995,2995,2745,2970,84956
2023-02-28,2970,3323,2938,3320,81964
2023-03-31,3320,3325,3050,3090,104812
2023-04-28,3095,3200,3050,3115,24334
2023-05-31,3118,3175,2843,2855,63828
2023-06-30,2850,2998,2798,2890,212892
2023-07-31,2890,3175,2878,3048,83646
2023-08-31,3048,3250,3008,3100,44988
2023-09-29,3100,3150,2950,3125,88758
2023-10-31,3125,3250,3100,3250,126076
2023-11-30,3265,3350,3175,3200,94622
2023-12-29,3250,3250,3150,3180,43594
2024-01-31,3180,3275,3150,3253,57320
2024-02-29,3253,3275,3200,3248,65156
2024-03-29,3225,3473,3148,3470,117570
2024-04-30,3470,3675,3405,3650,88558
2024-05-31,3670,3670,3400,3448,135102
2024-06-28,3448,3450,3150,3375,102084
2024-07-31,3375,3425,3328,3400,66590
2024-08-30,3405,3850,3400,3750,77550
2024-09-30,3753,4895,3753,4855,77462
2024-10-31,4850,4850,4200,4350,58355
2024-11-29,4340,4395,3600,3740,75711
2024-12-31,3740,3795,3245,3685,110171
2025-01-31,3685,3685,3145,3545,50132
2025-02-28,3545,4235,3475,4200,52537
2025-03-28,4200,4750,4000,4700,134772
2025-04-30,4700,4750,4600,4730,83055
2025-05-30,4730,4900,4400,4600,255550
2025-06-30,4595,4695,4210,4500,130295
2025-07-31,4500,4550,4010,4320,1095964
2025-08-29,4310,4550,4250,4540,53519
2025-09-30,4540,5300,4515,4965,89839
2025-10-31,5000,5150,4815,5000,74532
2025-11-28,5000,5295,4875,5295,310206
2025-12-31,5295,6100,5240,5850,228038
2026-01-30,5850,7300,5845,6895,64636
2026-02-27,7000,7000,6750,6935,103280
2026-03-31,6940,8000,6940,7500,117695
2026-04-30,7500,9000,7005,8850,135528
2026-05-29,8850,9500,8835,8900,108710
2026-06-30,8900,9300,8555,9025,110541
2026-07-31,9025,9250,8350,8700,117082
2026-08-31,8700,11000,8600,10235,136265
2026-09-24,10230,10500,8600,8950,86471
