date,open,high,low,close,volume
2021-07-30,1988,2050,1900,1998,9008
2021-08-06,2000,2050,1953,2050,32108
2021-08-13,2000,2050,2000,2000,6632
2021-08-20,2000,2200,2000,2175,16974
2021-08-27,2173,2323,2150,2150,14706
2021-09-03,2163,2250,2150,2195,5386
2021-09-10,2225,2250,2198,2250,24182
2021-09-17,2295,2310,2250,2300,13868
2021-09-24,2310,2475,2300,2450,10754
2021-10-01,2475,2800,2475,2800,5702
2021-10-08,2753,3000,2633,2790,10688
2021-10-15,2750,2750,2603,2650,3140
2021-10-22,2650,2698,2613,2613,11890
2021-10-29,2613,2900,2613,2900,8998
2021-11-05,2800,2875,2700,2750,9552
2021-11-12,2700,2758,2700,2750,22734
2021-11-19,2653,2750,2653,2748,2070
2021-11-26,2750,2750,2700,2725,10694
2021-12-03,2700,2950,2700,2950,6004
2021-12-10,2925,2925,2700,2750,7006
2021-12-17,2745,2775,2545,2725,25490
2021-12-24,2748,2750,2625,2750,11742
2021-12-31,2748,2770,2650,2650,12800
2022-01-07,2625,2700,2605,2650,4194
2022-01-14,2650,2650,2600,2603,4182
2022-01-21,2603,2650,2550,2625,13796
2022-01-28,2600,2628,2555,2575,17088
2022-02-04,2575,2753,2570,2700,16712
2022-02-11,2650,2825,2648,2800,12450
2022-02-18,2800,3000,2750,2998,15994
2022-02-25,2998,3040,2975,3000,11194
2022-03-04,3000,3050,2950,3045,11566
2022-03-11,3025,3050,3000,3025,14014
2022-03-18,3025,3050,3000,3048,12526
2022-03-25,3050,3400,3040,3300,7332
2022-04-01,3300,3490,3300,3308,14446
2022-04-08,3308,3350,3305,3305,4414
2022-04-15,3308,3325,3300,3300,16320
2022-04-22,3300,3300,3250,3290,7012
2022-04-29,3250,3250,3200,3200,7308
2022-05-06,3200,3225,3100,3200,10474
2022-05-13,3200,3250,3150,3250,15088
2022-05-20,3250,3300,3200,3300,38258
2022-05-27,2803,3225,2803,2850,4196
2022-06-03,2853,2998,2700,2990,38978
2022-06-10,2985,3100,2863,3000,25994
2022-06-17,3000,3050,2950,3050,8342
2022-06-24,3050,3050,3000,3050,5230
2022-07-01,3050,3100,3050,3100,5634
2022-07-08,3100,3100,3050,3100,10344
2022-07-15,3100,3100,3065,3068,4166
2022-07-22,3098,3098,3050,3098,5868
2022-07-29,3098,3100,3050,3055,9872
2022-08-05,3075,3100,3055,3075,24362
2022-08-12,3075,3100,3025,3050,17364
2022-08-19,3048,3050,3000,3000,5908
2022-08-26,3045,3045,3000,3015,6216
2022-09-02,3015,3050,3003,3050,5668
2022-09-09,3050,3100,3003,3050,6654
2022-09-16,3050,3328,3003,3328,7022
2022-09-23,3325,3325,3015,3048,10082
2022-09-30,3048,3048,2950,2950,25416
2022-10-07,2950,3020,2898,2940,18330
2022-10-14,2900,3020,2720,2850,19008
2022-10-21,2850,2873,2750,2803,19650
2022-10-28,2800,3050,2800,3048,7576
2022-11-04,3048,3050,3003,3003,16564
2022-11-11,3003,3050,2900,2998,12318
2022-11-18,2930,3000,2930,2995,7876
2022-11-25,2998,3000,2905,2975,6326
2022-12-02,3000,3000,2850,2850,6330
2022-12-09,2850,2975,2765,2933,7262
2022-12-16,2900,2900,2760,2870,1742
2022-12-23,2875,2875,2753,2875,23068
2022-12-30,2875,3000,2850,2975,13126
2023-01-06,2995,2995,2805,2948,26830
2023-01-13,2950,2950,2745,2875,18912
2023-01-20,2875,2925,2850,2900,15208
2023-01-27,2925,2975,2900,2973,19280
2023-02-03,2950,3100,2935,3073,7740
2023-02-10,3073,3178,3050,3178,11536
2023-02-17,3178,3268,3100,3268,9654
2023-02-24,3198,3290,3028,3200,22646
2023-03-03,3250,3323,3065,3248,71094
2023-03-10,3080,3300,3080,3300,12616
2023-03-17,3250,3325,3240,3275,26706
2023-03-24,3085,3275,3050,3125,24302
2023-03-31,3123,3148,3090,3090,5208
2023-04-07,3095,3103,3053,3100,1844
2023-04-14,3090,3100,3090,3098,2586
2023-04-20,3095,3098,3058,3093,1774
2023-04-28,3098,3200,3050,3115,18130
2023-05-05,3118,3150,3098,3098,7960
2023-05-12,3100,3100,3088,3100,15966
2023-05-19,3100,3150,3090,3148,20420
2023-05-26,3150,3175,2850,2875,16618
2023-06-02,2875,2875,2843,2875,9550
2023-06-09,2875,2875,2798,2800,47218
2023-06-16,2825,2845,2800,2823,114492
2023-06-23,2875,2998,2823,2975,25920
2023-06-30,2993,2993,2875,2890,18576
2023-07-07,2890,2928,2878,2928,21466
2023-07-14,2925,3000,2925,3000,30556
2023-07-21,2998,3175,2998,3050,20336
2023-07-28,3045,3050,3010,3048,8914
2023-08-04,3048,3150,3010,3125,7786
2023-08-11,3150,3250,3040,3170,14026
2023-08-18,3168,3198,3008,3168,7984
2023-08-25,3148,3165,3028,3148,8080
2023-09-01,3148,3150,3075,3148,9710
2023-09-08,3150,3150,3100,3135,12418
2023-09-15,3135,3138,2950,3135,48122
2023-09-22,3135,3150,3095,3150,13958
2023-09-29,3138,3150,3100,3125,14036
2023-10-06,3125,3250,3100,3175,10228
2023-10-13,3175,3250,3150,3250,21250
2023-10-20,3200,3250,3150,3198,68724
2023-10-27,3198,3200,3150,3195,16564
2023-11-03,3195,3265,3190,3250,15038
2023-11-10,3250,3270,3200,3270,5742
2023-11-17,3268,3350,3200,3240,28118
2023-11-24,3240,3340,3175,3250,32554
2023-12-01,3250,3250,3175,3250,23394
2023-12-08,3250,3250,3200,3250,6602
2023-12-15,3250,3250,3175,3200,9698
2023-12-22,3200,3200,3170,3198,11504
2023-12-29,3178,3200,3150,3180,14876
2024-01-05,3180,3200,3175,3200,2616
2024-01-12,3200,3225,3150,3225,12042
2024-01-19,3225,3248,3200,3225,13666
2024-01-26,3248,3275,3225,3275,15698
2024-02-02,3275,3275,3250,3255,22364
2024-02-09,3275,3275,3225,3250,14254
2024-02-16,3250,3275,3200,3250,10870
2024-02-23,3250,3275,3225,3250,17526
2024-03-01,3275,3275,3200,3240,21594
2024-03-08,3240,3248,3148,3178,25530
2024-03-15,3248,3275,3203,3248,21780
2024-03-22,3228,3250,3155,3225,18586
2024-03-29,3250,3473,3213,3470,43520
2024-04-05,3470,3500,3445,3493,16190
2024-04-12,3490,3493,3405,3490,20264
2024-04-19,3500,3625,3495,3620,21846
2024-04-26,3618,3675,3600,3670,25002
2024-05-03,3670,3670,3600,3655,11444
2024-05-10,3668,3668,3625,3648,9220
2024-05-17,3645,3670,3635,3670,38422
2024-05-24,3670,3670,3400,3495,48924
2024-05-31,3500,3525,3408,3448,32348
2024-06-07,3448,3450,3375,3375,13120
2024-06-14,3375,3375,3150,3150,39498
2024-06-21,3160,3288,3160,3288,25842
2024-06-28,3288,3395,3280,3375,23624
2024-07-05,3375,3385,3328,3333,10594
2024-07-12,3375,3375,3333,3370,26392
2024-07-19,3370,3400,3370,3400,10296
2024-07-26,3385,3425,3375,3375,12700
2024-08-02,3375,3600,3360,3590,10906
2024-08-09,3550,3650,3420,3600,8920
2024-08-16,3600,3850,3600,3755,22486
2024-08-23,3675,3740,3553,3648,18238
2024-08-30,3648,3750,3553,3750,23608
2024-09-06,3753,4820,3753,4800,20185
2024-09-13,4830,4895,4750,4800,29063
2024-09-20,4600,4750,4200,4250,16012
2024-09-27,4245,4685,4175,4650,10106
