date,open,high,low,close,volume
2026-06-13,5550,5585,5550,5585,8937
2026-06-14,5550,5585,5550,5585,8937
2026-06-16,5450,5450,5300,5300,5240
2026-06-17,5300,5380,5300,5380,3649
2026-06-19,5395,5555,5395,5555,6348
2026-06-20,5395,5555,5395,5555,6348
2026-06-21,5395,5555,5395,5555,6348
2026-06-22,5600,5600,5595,5595,7292
2026-06-23,5595,5595,5565,5565,2498
2026-06-24,5590,5600,5590,5600,1881
2026-06-25,5600,5600,5600,5600,5688
2026-06-29,5695,5700,5695,5700,9520
2026-06-30,5800,5850,5800,5850,6849
2026-07-01,5850,5900,5850,5900,30402
2026-07-02,5945,5945,5940,5940,5034
2026-07-03,5940,5945,5940,5945,3395
2026-07-05,5940,5945,5940,5945,3395
2026-07-06,5945,6000,5945,6000,2296
2026-07-07,6000,6000,5945,5945,8387
2026-07-08,5945,5970,5945,5970,4420
2026-07-09,5970,5970,5970,5970,5175
2026-07-10,5970,6050,5970,6050,2767
2026-07-13,6050,6100,6050,6100,3438
2026-07-14,6105,6350,6105,6350,2437
2026-07-15,6400,6825,6400,6825,10110
2026-07-16,7335,7335,7255,7255,3208
2026-07-17,7255,7255,7200,7200,3467
2026-07-20,7200,7200,6950,6950,1991
2026-07-21,6945,7200,6945,7200,10015
2026-07-22,7200,7200,7200,7200,3081
2026-07-23,7200,7200,7150,7150,2690
2026-07-24,7150,7150,7150,7150,7557
2026-07-27,7150,7150,6900,6900,5675
2026-07-28,6905,7145,6905,7145,1419
2026-07-29,7145,7145,7100,7100,2516
2026-07-30,7100,7100,7100,7100,3635
2026-07-31,7100,7100,7100,7100,6458
2026-08-03,7105,7200,7105,7200,3920
2026-08-04,7200,7200,7200,7200,3170
2026-08-05,7195,7200,7195,7200,4831
2026-08-06,7500,7500,7230,7230,14488
2026-08-07,7500,7500,7230,7230,14488
2026-08-10,7250,7325,7250,7325,11199
2026-08-11,7350,7350,7350,7350,5517
2026-08-12,7325,7325,7100,7100,8538
2026-08-13,7150,7150,7100,7100,3002
2026-08-14,7100,7100,7100,7100,11763
2026-08-17,7110,7300,7110,7300,10704
2026-08-18,7300,7350,7300,7350,3117
2026-08-19,7350,7350,7300,7300,6006
2026-08-20,7300,7500,7300,7500,20341
2026-08-21,7700,7700,7600,7600,1636
2026-08-24,7700,8000,7700,8000,10184
2026-08-25,7700,8000,7700,8000,10184
2026-08-26,8170,8600,8170,8600,12899
2026-08-28,9100,9100,9090,9090,13901
2026-08-29,9000,9000,8900,8900,6645
2026-08-31,8900,8900,8800,8800,54708
2026-09-01,8800,9000,8800,9000,2829
2026-09-02,9000,9000,8990,8990,3948
2026-09-03,8980,8980,8950,8950,8608
2026-09-04,8950,8950,8880,8880,3001
2026-09-10,8995,8995,8990,8990,5170
2026-09-18,8000,8000,8000,8000,931
2026-09-24,7400,7950,7400,7950,5005
