date,open,high,low,close,volume
2021-07-29,2000,2003,1975,2003,8756
2021-08-06,2003,2075,2000,2050,6962
2021-08-13,2050,2050,2000,2050,9036
2021-08-20,2050,2400,2005,2325,5178
2021-08-27,2325,2368,2250,2350,11796
2021-09-03,2350,2425,2350,2425,5326
2021-09-10,2425,2425,2375,2425,13796
2021-09-17,2425,2550,2400,2550,18180
2021-09-24,2548,3000,2545,2950,7084
2021-10-01,2900,2948,2750,2825,1636
2021-10-08,2800,2823,2750,2800,3914
2021-10-15,2800,2800,2750,2750,2560
2021-10-22,2603,2750,2600,2648,2500
2021-10-29,2645,2800,2550,2800,8524
2021-11-05,2798,2900,2750,2900,1602
2021-11-12,2825,2900,2800,2810,4320
2021-11-19,2813,2900,2808,2900,3114
2021-11-26,2875,3150,2828,2945,28974
2021-12-03,2925,3075,2925,3005,2976
2021-12-10,3005,3105,3003,3100,10238
2021-12-17,3098,3150,3088,3130,6452
2021-12-24,3100,3200,3075,3100,4826
2021-12-31,3100,3225,3100,3100,16352
2022-01-07,3050,3150,3050,3103,1556
2022-01-14,3325,3325,3100,3250,1546
2022-01-21,3250,3250,3100,3250,14526
2022-01-28,3113,3150,2993,2993,5170
2022-02-04,2973,3103,2953,3070,2900
2022-02-11,3075,3075,2973,2973,3408
2022-02-18,2973,3103,2950,3003,13840
2022-02-25,3100,3100,3075,3100,7752
2022-03-04,3100,3300,3000,3300,3602
2022-03-11,3075,3300,3000,3298,1824
2022-03-18,3250,3298,2960,3100,3342
2022-03-25,3098,3100,3053,3100,3278
2022-04-01,3040,3100,2950,3000,8340
2022-04-08,2998,3000,2948,2948,15638
2022-04-15,2948,3150,2903,3150,6318
2022-04-22,3125,3125,3000,3125,2212
2022-04-29,3100,3123,2570,2950,17864
2022-05-06,2950,2950,2750,2800,52574
2022-05-13,2800,2800,2750,2795,1538
2022-05-20,2790,2798,2730,2730,1694
2022-05-27,2750,2750,2575,2600,18754
2022-06-03,2600,2750,2590,2745,7038
2022-06-10,2745,2745,2720,2725,9342
2022-06-17,2700,2700,2628,2650,10034
2022-06-24,2675,2713,2510,2700,14104
2022-07-01,2535,2800,2535,2800,23446
2022-07-08,2775,2925,2725,2805,9178
2022-07-15,2925,2925,2825,2900,2154
2022-07-22,2850,2900,2850,2900,2784
2022-07-29,2900,2900,2800,2850,1910
2022-08-05,2875,2875,2850,2850,1698
2022-08-12,2850,2875,2725,2873,3462
2022-08-19,2750,2800,2700,2775,1254
2022-08-26,2800,2873,2700,2800,7842
2022-09-02,2800,2800,2700,2725,18850
2022-09-09,2725,2725,2523,2698,3780
2022-09-16,2693,2795,2600,2795,11568
2022-09-23,2675,2675,2618,2650,2100
2022-09-30,2650,2843,2550,2550,23538
2022-10-07,2650,2848,2550,2825,24730
2022-10-14,2850,2850,2653,2798,2174
2022-10-21,2795,2795,2600,2625,14446
2022-10-28,2625,2850,2600,2675,47136
2022-11-04,2700,2700,2600,2600,2606
2022-11-11,2600,2675,2600,2650,5704
2022-11-18,2650,2670,2600,2650,3190
2022-11-25,2650,2650,2575,2645,13154
2022-12-02,2625,2643,2575,2600,10502
2022-12-09,2600,2600,2503,2598,7828
2022-12-16,2598,2598,2478,2598,7120
2022-12-23,2493,2598,2493,2598,4052
2022-12-30,2505,2648,2498,2600,3658
2023-01-06,2600,2645,2495,2513,1232
2023-01-13,2525,2675,2513,2650,2724
2023-01-20,2650,2650,2555,2650,2062
2023-01-27,2650,2650,2538,2600,4748
2023-02-03,2575,2700,2543,2700,8682
2023-02-10,2558,2895,2558,2850,7666
2023-02-17,2680,2843,2603,2675,6592
2023-02-24,2675,2700,2503,2653,26688
2023-03-03,2700,2895,2665,2800,3576
2023-03-10,2800,3000,2703,2998,71724
2023-03-17,2998,2998,2863,2863,13216
2023-03-24,2863,2885,2755,2850,8336
2023-03-31,2848,2850,2800,2848,9770
2023-04-07,2848,2848,2750,2750,2346
2023-04-14,2800,2843,2753,2800,2252
2023-04-20,2800,2900,2798,2900,2370
2023-04-28,2875,2900,2800,2900,17414
2023-05-05,2900,2900,2503,2800,11558
2023-05-12,2800,2800,2600,2675,40628
2023-05-19,2675,2675,2605,2660,40790
2023-05-26,2658,2785,2625,2750,10602
2023-06-02,2750,2790,2675,2790,8180
2023-06-09,2750,2850,2750,2850,11838
2023-06-16,2850,2965,2808,2940,14336
2023-06-23,2940,3100,2845,3000,20808
2023-06-30,2950,3093,2940,3000,12858
2023-07-07,3003,3085,3000,3048,5524
2023-07-14,3003,3045,3003,3003,1608
2023-07-21,3003,3100,3003,3020,6070
2023-07-28,3020,3100,3000,3073,5928
2023-08-04,3070,3375,3050,3375,5044
2023-08-11,3175,3325,3055,3200,5126
2023-08-18,3150,3250,3050,3225,8848
2023-08-25,3200,3250,3125,3245,6698
2023-09-01,3245,3500,3200,3490,11576
2023-09-08,3318,3490,3225,3350,6386
2023-09-15,3350,3423,3203,3390,11566
2023-09-22,3390,3490,3350,3448,3240
2023-09-29,3258,3445,3258,3258,2954
2023-10-06,3435,3450,3250,3440,5130
2023-10-13,3450,3758,3100,3238,6970
2023-10-20,3238,3250,3100,3100,9270
2023-10-27,3100,3450,3100,3375,2998
2023-11-03,3275,3575,3150,3575,1926
2023-11-10,3575,3843,3275,3530,3536
2023-11-17,3400,3500,3153,3498,8418
2023-11-24,3500,3750,3400,3668,7708
2023-12-01,3400,3498,3228,3440,19212
2023-12-08,3445,3625,3255,3623,5388
2023-12-15,3500,3500,3358,3425,7952
2023-12-22,3408,3423,3325,3383,19552
2023-12-29,3385,3490,3250,3490,11066
2024-01-05,3470,3475,3258,3425,3440
2024-01-12,3278,3643,3278,3600,4542
2024-01-19,3500,3600,3450,3500,1252
2024-01-26,3525,3525,3400,3450,2986
2024-02-02,3400,3450,3300,3348,4398
2024-02-09,3343,3350,3253,3310,3698
2024-02-16,3310,3345,3103,3343,3720
2024-02-23,3325,3325,3250,3325,3784
2024-03-01,3325,3345,3300,3325,2654
2024-03-08,3328,3598,3323,3598,7486
2024-03-15,3598,3650,3515,3600,16576
2024-03-22,3600,3650,3503,3645,22326
2024-03-29,3645,3645,3308,3550,7158
2024-04-05,3575,3575,3333,3520,2736
2024-04-12,3520,3548,3450,3548,4180
2024-04-19,3548,3645,3543,3600,14562
2024-04-26,3600,3650,3548,3650,14252
2024-05-03,3650,3650,3055,3325,6294
