date,open,high,low,close,volume
2021-07-26,1850,1850,1850,1850,434
2021-07-27,1830,1850,1830,1850,2644
2021-07-28,1875,1895,1875,1895,1244
2021-07-29,1895,2000,1895,2000,1312
2021-07-30,2000,2000,1950,1950,532
2021-08-02,1948,1950,1853,1853,11062
2021-08-03,1948,1948,1853,1948,672
2021-08-04,1948,1950,1948,1950,220
2021-08-05,1948,1950,1925,1950,900
2021-08-06,1948,1948,1948,1948,772
2021-08-09,1948,1948,1925,1925,1418
2021-08-10,1945,1948,1900,1903,2828
2021-08-11,1945,1948,1945,1948,314
2021-08-12,1948,1950,1945,1950,6950
2021-08-13,1950,1950,1950,1950,300
2021-08-16,1975,1975,1950,1950,5998
2021-08-17,1950,1950,1948,1948,80
2021-08-18,2000,2093,2000,2075,11562
2021-08-19,2230,2230,2100,2228,2448
2021-08-20,2228,2250,2105,2228,4566
2021-08-23,2245,2393,2100,2393,1520
2021-08-24,2425,2425,2400,2400,332
2021-08-25,2400,2423,2223,2300,772
2021-08-26,2250,2300,2250,2250,2166
2021-08-27,2250,2400,2250,2400,2016
2021-08-30,2300,2395,2300,2395,1876
2021-08-31,2395,2450,2303,2450,978
2021-09-01,2400,2400,2395,2398,508
2021-09-02,2425,2425,2350,2398,344
2021-09-03,2398,2398,2360,2360,52
2021-09-06,2360,2360,2305,2353,290
2021-09-07,2353,2353,2275,2300,1130
2021-09-08,2298,2298,2278,2278,616
2021-09-09,2300,2300,2300,2300,5300
2021-09-10,2300,2300,2295,2300,510
2021-09-13,2300,2300,2278,2300,1488
2021-09-14,2300,2400,2300,2400,1956
2021-09-15,2280,2395,2280,2395,350
2021-09-16,2395,2395,2350,2393,40
2021-09-17,2350,2393,2350,2393,586
2021-09-20,2393,2398,2373,2375,2316
2021-09-21,2350,2375,2348,2350,4618
2021-09-22,2270,2375,2250,2375,1162
2021-09-23,2375,2375,2315,2375,1224
2021-09-24,2375,2430,2320,2430,27738
2021-09-27,2425,2425,2425,2425,114
2021-09-28,2425,2430,2425,2425,2040
2021-09-29,2425,2430,2425,2430,4384
2021-09-30,2425,2600,2425,2600,8428
2021-10-01,2435,2500,2428,2428,1048
2021-10-04,2428,2435,2318,2425,806
2021-10-05,2435,2435,2425,2428,1154
2021-10-06,2435,2450,2425,2450,9332
2021-10-07,2440,2448,2400,2400,1498
2021-10-08,2435,2435,2428,2428,660
2021-10-11,2428,2428,2413,2425,482
2021-10-12,2423,2425,2415,2425,1536
2021-10-13,2423,2450,2423,2450,5976
2021-10-14,2450,2450,2425,2450,924
2021-10-15,2425,2425,2400,2425,1328
2021-10-19,2400,2400,2315,2315,2562
2021-10-20,2423,2450,2423,2450,582
2021-10-21,2450,2450,2315,2425,3710
2021-10-22,2425,2425,2400,2400,434
2021-10-25,2400,2450,2375,2375,4556
2021-10-26,2425,2450,2310,2310,5260
2021-10-27,2310,2450,2310,2450,28610
2021-10-28,2450,2450,2425,2425,7496
2021-10-29,2448,2450,2350,2350,40356
2021-11-03,2408,2450,2408,2413,10680
2021-11-04,2450,2450,2413,2415,1282
2021-11-05,2430,2450,2430,2450,392
2021-11-08,2433,2450,2413,2450,23940
2021-11-09,2450,2450,2450,2450,19994
2021-11-10,2450,2475,2420,2475,1634
2021-11-11,2450,2475,2450,2475,8860
2021-11-12,2473,2600,2473,2475,3164
2021-11-16,2453,2475,2450,2450,11916
2021-11-17,2450,2475,2450,2475,762
2021-11-18,2475,2600,2475,2600,8954
2021-11-19,2600,2793,2600,2793,1510
2021-11-22,2793,2925,2700,2815,1112
2021-11-23,2750,2750,2748,2750,2460
2021-11-24,2748,2750,2650,2750,8118
2021-11-25,2750,2750,2650,2750,9984
2021-11-26,2750,2750,2750,2750,2526
2021-11-29,2750,2750,2675,2725,2166
2021-11-30,2700,2725,2700,2725,1550
2021-12-01,2723,2725,2723,2723,1228
2021-12-02,2723,2723,2675,2720,1378
2021-12-03,2720,2725,2720,2723,17916
2021-12-06,2720,2723,2650,2720,516
2021-12-07,2720,2725,2700,2725,2848
2021-12-08,2700,2700,2698,2698,2530
2021-12-09,2695,2695,2653,2653,2392
2021-12-10,2653,2720,2650,2720,3376
2021-12-13,2725,2725,2650,2650,4376
2021-12-14,2650,2650,2553,2553,974
2021-12-15,2640,2650,2640,2650,1210
2021-12-16,2550,2848,2550,2848,17544
2021-12-17,2848,2848,2655,2750,534
2021-12-20,2750,2950,2650,2950,8280
2021-12-21,2955,2955,2955,2955,6702
2021-12-22,2735,3175,2735,3175,10738
2021-12-23,2955,3350,2938,3350,8530
2021-12-27,3100,3100,3100,3100,12
2021-12-28,3000,3000,2998,3000,134
2021-12-29,2940,2940,2795,2795,672
2021-12-30,2650,2998,2590,2998,16774
2021-12-31,2778,2928,2778,2928,2750
2022-01-03,2985,2998,2985,2998,11164
2022-01-04,2995,2995,2950,2950,636
2022-01-05,2950,2950,2948,2948,44
2022-01-06,2800,2850,2750,2750,634
2022-01-07,2750,2750,2545,2748,1248
2022-01-10,2748,2748,2545,2725,128
2022-01-11,2725,2898,2725,2895,890
2022-01-12,2680,2750,2680,2750,1310
2022-01-13,2723,2723,2680,2723,176
2022-01-14,2723,2723,2723,2723,788
2022-01-17,2720,2720,2715,2715,1024
2022-01-18,2713,2723,2710,2710,2068
2022-01-19,2675,2748,2675,2748,890
2022-01-20,2750,2750,2748,2750,134
2022-01-21,2723,2725,2675,2725,844
2022-01-24,2725,2725,2555,2725,222
2022-01-25,2725,2750,2725,2750,1790
2022-01-26,2715,2750,2715,2748,630
2022-01-27,2715,2748,2715,2748,398
2022-01-28,2725,2725,2715,2715,210
2022-01-31,2715,2800,2715,2800,1652
2022-02-01,2715,2715,2715,2715,98
2022-02-02,2748,2748,2698,2700,1146
2022-02-03,2700,2700,2700,2700,1826
2022-02-04,2715,2715,2700,2700,834
2022-02-07,2713,2713,2675,2700,272
2022-02-08,2700,2700,2700,2700,878
2022-02-09,2675,2675,2600,2650,1470
2022-02-10,2655,2718,2625,2625,3860
2022-02-11,2625,2675,2558,2653,10660
2022-02-14,2630,2650,2600,2600,1720
2022-02-15,2600,2600,2575,2600,2552
2022-02-16,2600,2600,2595,2600,11500
2022-02-17,2600,2748,2598,2748,3742
2022-02-18,2748,2748,2748,2748,100
2022-02-21,2745,2750,2745,2745,6222
2022-02-22,2745,2745,2700,2700,1340
2022-02-23,2700,2700,2700,2700,286
2022-02-24,2700,2700,2678,2700,2556
2022-02-25,2700,2700,2700,2700,636
2022-02-28,2700,2750,2700,2733,28710
2022-03-01,2735,2750,2700,2738,2570
2022-03-02,2735,2750,2735,2750,902
2022-03-03,2750,2850,2740,2850,8272
2022-03-04,2848,2848,2778,2778,628
2022-03-07,2778,2800,2750,2800,872
2022-03-08,2753,2845,2738,2845,718
2022-03-09,2738,2775,2735,2775,8800
2022-03-10,2740,2775,2740,2740,3644
2022-03-11,2750,2898,2700,2898,11344
2022-03-14,2895,2895,2683,2875,5144
2022-03-15,2688,2750,2688,2695,57930
2022-03-16,2600,2700,2600,2695,2670
2022-03-17,2698,2785,2698,2750,1032
2022-03-18,2750,2750,2698,2700,3142
2022-03-21,2725,2725,2700,2725,374
2022-03-22,2725,2815,2700,2800,3184
2022-03-23,2800,2810,2700,2725,2794
2022-03-24,2725,2750,2725,2748,1026
2022-03-25,2748,2750,2730,2730,2490
2022-03-28,2725,2750,2725,2748,6736
2022-03-29,2748,2750,2728,2740,176
2022-03-30,2740,2900,2735,2900,18798
2022-03-31,2875,2890,2698,2698,14516
2022-04-01,2698,2800,2698,2800,172
2022-04-04,2750,2800,2750,2800,1232
2022-04-05,2800,2850,2800,2850,1600
2022-04-06,2800,2800,2800,2800,30
2022-04-07,2800,2800,2800,2800,278
2022-04-08,2798,2798,2798,2798,394
2022-04-11,2750,2798,2750,2750,11508
2022-04-12,2750,2750,2698,2750,692
2022-04-13,2750,2750,2700,2730,1350
2022-04-14,2740,2740,2740,2740,2042
2022-04-15,2703,2740,2700,2740,420
2022-04-19,2698,2740,2698,2740,200
2022-04-20,2740,2740,2698,2700,1808
2022-04-21,2698,2698,2695,2695,1380
2022-04-22,2695,2695,2650,2695,472
2022-04-25,2695,2725,2675,2725,1032
2022-04-26,2530,2693,2530,2688,978
2022-04-27,2525,2648,2525,2648,7192
2022-04-29,2605,2645,2605,2645,262
2022-05-03,2605,2608,2600,2608,1126
2022-05-04,2525,2600,2525,2600,436
2022-05-05,2600,2600,2525,2525,692
2022-05-06,2525,2595,2500,2588,328
2022-05-09,2588,2593,2588,2588,80
2022-05-10,2583,2583,2500,2500,238
2022-05-11,2500,2500,2475,2475,452
2022-05-12,2475,2498,2475,2498,2282
2022-05-13,2498,2598,2498,2598,628
2022-05-16,2598,2598,2478,2500,1180
2022-05-17,2500,2500,2475,2475,446
2022-05-18,2495,2495,2473,2473,1754
2022-05-19,2475,2475,2473,2473,212
2022-05-20,2465,2465,2463,2463,62
2022-05-23,2463,2473,2450,2470,804
2022-05-24,2450,2450,2340,2340,442
2022-05-25,2350,2350,2340,2340,558
2022-05-27,2350,2473,2350,2473,4600
2022-05-30,2475,2600,2475,2600,4890
2022-05-31,2550,2550,2525,2525,866
2022-06-01,2525,2600,2500,2600,15674
2022-06-02,2525,2600,2525,2600,2616
2022-06-03,2600,2600,2550,2550,420
2022-06-07,2550,2600,2550,2600,564
2022-06-08,2550,2550,2525,2525,406
2022-06-09,2525,2525,2513,2525,242
2022-06-10,2525,2525,2525,2525,570
2022-06-13,2525,2600,2500,2600,400
2022-06-14,2600,2600,2600,2600,288
2022-06-15,2595,2600,2505,2600,648
2022-06-16,2550,2600,2500,2600,1160
2022-06-17,2600,2600,2595,2600,106
2022-06-20,2595,2600,2595,2600,1276
2022-06-21,2430,2600,2430,2600,468
2022-06-22,2600,2600,2600,2600,124
2022-06-23,2600,2600,2445,2445,36
2022-06-24,2450,2600,2450,2600,462
2022-06-27,2600,2600,2500,2550,1214
2022-06-28,2550,2550,2550,2550,2016
2022-06-29,2550,2550,2500,2500,3490
2022-06-30,2550,2575,2550,2575,182
2022-07-01,2550,2588,2453,2588,1872
2022-07-04,2450,2588,2425,2500,2166
2022-07-05,2500,2500,2433,2433,416
2022-07-06,2433,2500,2433,2450,546
2022-07-07,2588,2588,2500,2500,406
2022-07-08,2438,2500,2438,2500,142
2022-07-11,2453,2500,2453,2500,158
2022-07-12,2500,2500,2453,2453,294
2022-07-13,2455,2500,2455,2475,2064
2022-07-14,2475,2500,2475,2475,7680
2022-07-15,2478,2478,2475,2478,66
2022-07-18,2478,2478,2475,2478,1028
2022-07-19,2478,2500,2475,2500,182
2022-07-20,2500,2525,2500,2525,514
2022-07-21,2525,2550,2500,2548,570
2022-07-22,2500,2545,2500,2545,420
2022-07-25,2500,2543,2500,2525,446
2022-07-26,2525,2543,2500,2500,7978
2022-07-27,2503,2543,2500,2543,108
2022-07-29,2533,2533,2460,2460,3844
2022-08-01,2463,2463,2425,2460,948
2022-08-02,2460,2460,2403,2460,2316
2022-08-03,2460,2460,2400,2460,2552
2022-08-04,2460,2460,2393,2393,230
2022-08-05,2400,2400,2353,2375,3368
2022-08-09,2375,2375,2345,2353,1942
2022-08-10,2375,2375,2303,2350,4308
2022-08-11,2350,2350,2345,2350,3964
2022-08-12,2350,2350,2303,2350,396
2022-08-16,2348,2350,2303,2350,868
2022-08-17,2350,2350,2300,2300,320
2022-08-18,2300,2350,2235,2350,14094
2022-08-19,2350,2350,2278,2300,682
2022-08-22,2200,2300,2200,2300,3996
2022-08-23,2250,2250,2250,2250,684
2022-08-24,2200,2250,2175,2225,4574
2022-08-25,2225,2295,2150,2295,35702
2022-08-26,2295,2295,2180,2293,4056
2022-08-29,2293,2295,2200,2295,716
2022-08-30,2180,2250,2153,2250,958
2022-08-31,2270,2270,2150,2270,3996
2022-09-01,2225,2225,2175,2200,2050
2022-09-02,2200,2225,2180,2200,1056
2022-09-05,2200,2200,2180,2183,1912
2022-09-06,2183,2183,2180,2183,1228
2022-09-07,2183,2183,2153,2155,1152
2022-09-08,2175,2175,2100,2100,2532
2022-09-09,2108,2150,2000,2150,2258
2022-09-12,2150,2150,2100,2145,890
2022-09-13,2148,2150,2145,2150,1124
2022-09-14,2148,2183,2138,2183,65390
2022-09-15,2100,2185,2100,2173,6810
2022-09-16,2185,2300,2173,2300,23104
2022-09-19,2300,2340,2133,2300,8192
2022-09-20,2340,2348,2300,2300,13248
2022-09-21,2350,2425,2150,2425,73632
2022-09-22,2300,2450,2300,2440,158
2022-09-23,2263,2450,2263,2448,1358
2022-09-26,2448,2448,2275,2438,34182
2022-09-27,2350,2350,2348,2350,6604
2022-09-28,2350,2350,2275,2275,12356
2022-09-29,2275,2275,2250,2250,2888
2022-09-30,2225,2248,2225,2248,1172
2022-10-03,2248,2250,2248,2250,2312
2022-10-04,2250,2250,2225,2250,11250
2022-10-05,2225,2250,2200,2200,958
2022-10-06,2173,2200,2150,2153,4256
2022-10-07,2200,2200,2200,2200,170
2022-10-10,2200,2200,2188,2200,1482
2022-10-11,2200,2200,2153,2200,2206
2022-10-12,2200,2200,2175,2175,1112
2022-10-13,2200,2200,2150,2175,3206
2022-10-14,2175,2175,2173,2173,966
2022-10-17,2170,2173,2115,2150,618
2022-10-18,2150,2150,2100,2150,5060
2022-10-19,2148,2148,2075,2148,31980
2022-10-20,2148,2148,2125,2148,6060
