date,open,high,low,close,volume
2021-07-30,1850,2000,1830,1950,6166
2021-08-31,1948,2450,1853,2450,59750
2021-09-30,2400,2600,2250,2600,65194
2021-10-29,2435,2500,2310,2350,118310
2021-11-30,2408,2925,2408,2725,121004
2021-12-31,2723,3350,2550,2928,111414
2022-01-31,2985,2998,2545,2800,26880
2022-02-28,2715,2750,2558,2733,80408
2022-03-31,2735,2900,2600,2698,157762
2022-04-29,2698,2850,2525,2645,33042
2022-05-31,2605,2608,2340,2525,22076
2022-06-30,2525,2600,2430,2575,32362
2022-07-29,2550,2588,2425,2460,30900
2022-08-31,2463,2463,2150,2270,90670
2022-09-30,2225,2450,2000,2248,263296
2022-10-31,2248,2250,2075,2100,134670
2022-11-30,2100,2100,1700,1850,329432
2022-12-30,1850,1900,1750,1850,189346
2023-01-31,1850,2000,1840,1998,69048
2023-02-28,1995,2250,1963,2125,144112
2023-03-31,2125,2658,2100,2575,198908
2023-04-28,2545,2623,2130,2500,224890
2023-05-31,2495,2500,2260,2498,304154
2023-06-30,2453,2850,2408,2850,339852
2023-07-31,2848,3000,2750,3000,73370
2023-08-31,2998,3225,2998,3100,194092
2023-09-28,3100,3108,3003,3100,179880
2023-10-31,3100,3580,3025,3398,245466
2023-11-30,3400,3475,3350,3450,103600
2023-12-29,3473,3550,3225,3448,74640
2024-01-31,3448,3525,3350,3475,69552
2024-02-29,3475,3723,3453,3600,95276
2024-03-29,3600,3650,3550,3638,85724
2024-04-30,3638,3700,3375,3420,228894
2024-05-31,3418,3550,3300,3535,133734
2024-06-28,3533,3750,3485,3720,55372
2024-07-31,3718,4125,3658,3950,76762
2024-08-30,3975,4500,3975,4150,72210
2024-09-30,4150,4745,4125,4450,132326
2024-10-31,4450,5950,4275,5700,289187
2024-11-29,5695,5700,4760,5000,67267
2024-12-31,4995,5045,4500,4995,53773
2025-01-31,4995,4995,4505,4650,53284
2025-02-28,4600,6000,4560,5780,87608
2025-03-28,5740,6200,5360,6110,114535
2025-04-30,6110,6200,5605,6100,112076
2025-05-30,6090,6295,5720,5950,112860
2025-06-30,5950,6300,5750,6120,154114
2025-07-31,6140,6140,5800,5995,105859
2025-08-29,5995,6500,5950,6490,87035
2025-09-30,6490,7510,6390,7375,82787
2025-10-31,7370,7495,6995,7150,149475
2025-11-28,7095,7350,6395,7250,329880
2025-12-31,7250,7295,7000,7180,50128
2026-01-30,7180,7295,7050,7200,123109
2026-02-27,7200,7950,7175,7900,357449
2026-03-31,7950,9000,7900,8395,352438
2026-04-30,8500,9195,8100,9190,407220
2026-05-29,9190,9485,8300,8845,170153
2026-06-30,8890,9525,8750,9450,307274
2026-07-31,9500,11400,9000,10815,207482
2026-08-31,10815,13755,10815,12295,181363
2026-09-24,12290,12775,10000,11470,211851
