date,open,high,low,close,volume
2021-07-30,1850,2000,1830,1950,6166
2021-08-06,1948,1950,1853,1948,13626
2021-08-13,1948,1950,1900,1950,11810
2021-08-20,1975,2250,1948,2228,24654
2021-08-27,2245,2425,2100,2400,6806
2021-09-03,2300,2450,2300,2360,3758
2021-09-10,2360,2360,2275,2300,7846
2021-09-17,2300,2400,2278,2393,4420
2021-09-24,2393,2430,2250,2430,37058
2021-10-01,2425,2600,2425,2428,16014
2021-10-08,2428,2450,2318,2428,13450
2021-10-15,2428,2450,2400,2425,10246
2021-10-22,2400,2450,2315,2400,7288
2021-10-29,2400,2450,2310,2350,86278
2021-11-05,2408,2450,2408,2450,12354
2021-11-12,2433,2600,2413,2475,57592
2021-11-19,2453,2793,2450,2793,23142
2021-11-26,2793,2925,2650,2750,24200
2021-12-03,2750,2750,2675,2723,24238
2021-12-10,2720,2725,2650,2720,11662
2021-12-17,2725,2848,2550,2750,24638
2021-12-23,2750,3350,2650,3350,34250
2021-12-31,3100,3100,2590,2928,20342
2022-01-07,2985,2998,2545,2748,13726
2022-01-14,2748,2898,2545,2723,3292
2022-01-21,2720,2750,2675,2725,4960
2022-01-28,2725,2750,2555,2715,3250
2022-02-04,2715,2800,2698,2700,5556
2022-02-11,2713,2718,2558,2653,17140
2022-02-18,2630,2748,2575,2748,19614
2022-02-25,2745,2750,2678,2700,11040
2022-03-04,2700,2850,2700,2778,41082
2022-03-11,2778,2898,2700,2898,25378
2022-03-18,2895,2895,2600,2700,69918
2022-03-25,2725,2815,2700,2730,9868
2022-04-01,2725,2900,2698,2800,40398
2022-04-08,2750,2850,2750,2798,3534
2022-04-15,2750,2798,2698,2740,16012
2022-04-22,2698,2740,2650,2695,3860
2022-04-29,2695,2725,2525,2645,9464
2022-05-06,2605,2608,2500,2588,2582
2022-05-13,2588,2598,2475,2598,3680
2022-05-20,2598,2598,2463,2463,3654
2022-05-27,2463,2473,2340,2473,6404
2022-06-03,2475,2600,2475,2550,24466
2022-06-10,2550,2600,2513,2525,1782
2022-06-17,2525,2600,2500,2600,2602
2022-06-24,2595,2600,2430,2600,2366
2022-07-01,2600,2600,2453,2588,8774
2022-07-08,2450,2588,2425,2500,3676
2022-07-15,2453,2500,2453,2478,10262
2022-07-22,2478,2550,2475,2545,2714
2022-07-29,2500,2543,2460,2460,12376
2022-08-05,2463,2463,2353,2375,9414
2022-08-12,2375,2375,2303,2350,10610
2022-08-19,2348,2350,2235,2300,15964
2022-08-26,2200,2300,2150,2293,49012
2022-09-02,2293,2295,2150,2200,8776
