date,open,high,low,close,volume
2021-07-26,966,981,941,969,656
2021-07-27,978,978,935,935,3123
2021-07-28,978,997,966,966,3540
2021-07-29,953,966,935,966,38662
2021-07-30,981,997,981,997,465
2021-08-02,994,994,938,985,31102
2021-08-03,981,985,953,985,873
2021-08-04,985,997,957,960,1781
2021-08-05,960,966,960,966,250
2021-08-06,997,997,997,997,724
2021-08-09,994,997,994,997,2316
2021-08-10,994,997,972,997,51271
2021-08-11,997,997,997,997,27191
2021-08-12,1028,1028,997,997,12569
2021-08-13,1028,1028,997,997,10741
2021-08-16,1028,1047,997,1028,15136
2021-08-17,1028,1028,997,1028,26029
2021-08-18,1028,1084,1028,1028,20875
2021-08-19,1028,1031,1028,1031,11026
2021-08-20,1059,1084,1034,1084,1449
2021-08-23,1084,1165,1084,1165,2110
2021-08-24,1246,1246,1168,1246,12947
2021-08-25,1253,1340,1249,1249,13809
2021-08-26,1256,1293,1234,1234,24238
2021-08-27,1231,1246,1228,1228,4044
2021-08-30,1184,1215,1184,1203,1460
2021-08-31,1203,1215,1203,1206,2913
2021-09-01,1206,1215,1206,1206,1478
2021-09-02,1206,1206,1203,1206,571
2021-09-03,1221,1228,1215,1228,623
2021-09-06,1240,1243,1228,1234,342
2021-09-07,1240,1240,1228,1234,228
2021-09-08,1234,1240,1231,1231,2301
2021-09-09,1237,1237,1231,1237,2292
2021-09-10,1237,1237,1234,1237,6401
2021-09-13,1237,1240,1237,1237,730
2021-09-14,1240,1246,1237,1246,775
2021-09-15,1246,1246,1234,1246,17919
2021-09-16,1246,1246,1240,1246,1850
2021-09-17,1246,1249,1246,1246,631
2021-09-20,1246,1246,1246,1246,489
2021-09-21,1253,1253,1246,1246,1269
2021-09-22,1259,1259,1259,1259,847
2021-09-23,1277,1287,1277,1277,5748
2021-09-24,1287,1287,1284,1287,1050
2021-09-27,1287,1293,1265,1293,12500
2021-09-28,1293,1293,1246,1293,24729
2021-09-29,1293,1293,1218,1256,16129
2021-09-30,1256,1256,1231,1246,9375
2021-10-01,1246,1246,1243,1246,7185
2021-10-04,1246,1246,1234,1240,3811
2021-10-05,1240,1240,1234,1234,4655
2021-10-06,1323,1323,1227,1227,2096
2021-10-07,1293,1300,1203,1300,765
2021-10-08,1207,1297,1207,1290,1086
2021-10-11,1290,1290,1287,1287,198
2021-10-12,1287,1290,1247,1247,1484
2021-10-13,1263,1267,1247,1247,338
2021-10-14,1267,1267,1200,1200,6288
2021-10-15,1143,1143,1110,1110,4575
2021-10-19,1030,1030,1030,1030,6501
2021-10-20,1000,1000,953,953,2193
2021-10-21,960,1000,960,1000,8402
2021-10-22,1000,1067,1000,1067,2987
2021-10-25,1067,1100,1067,1100,860
2021-10-26,1067,1120,1067,1120,2081
2021-10-27,1123,1203,1123,1200,4508
2021-10-28,1200,1200,1133,1183,977
2021-10-29,1133,1197,1133,1197,981
2021-11-03,1160,1180,1143,1180,534
2021-11-04,1173,1177,1143,1177,1206
2021-11-05,1133,1200,1133,1133,6849
2021-11-08,1067,1133,1067,1133,956
2021-11-09,1130,1130,1067,1127,293
2021-11-10,1067,1127,1067,1127,3260
2021-11-11,1130,1133,1130,1133,2223
2021-11-12,1160,1160,1147,1147,57
2021-11-16,1147,1147,1127,1127,4257
2021-11-17,1127,1127,1100,1100,1412
2021-11-18,1100,1100,1067,1100,539
2021-11-19,1100,1100,1067,1100,224
2021-11-22,1100,1120,1097,1097,1037
2021-11-23,1117,1117,1050,1060,3159
2021-11-24,1060,1067,1000,1067,1272
2021-11-25,1067,1067,1060,1063,294
2021-11-26,1060,1063,1043,1060,552
2021-11-29,1063,1063,1007,1040,3780
2021-11-30,1040,1040,1000,1033,543
2021-12-01,1033,1033,1003,1010,1545
2021-12-02,1023,1023,1000,1010,7181
2021-12-03,1033,1057,1033,1057,495
2021-12-06,1033,1040,1020,1040,1551
2021-12-07,1060,1067,1060,1067,2897
