date,open,high,low,close,volume
2021-07-30,966,997,935,997,46446
2021-08-31,994,1340,938,1206,274854
2021-09-30,1206,1293,1203,1246,108277
2021-10-29,1246,1323,953,1197,61971
2021-11-30,1160,1200,1000,1033,32447
2021-12-31,1033,1067,987,990,40132
2022-01-31,987,1033,817,940,92310
2022-02-28,937,1000,863,890,69225
2022-03-31,923,1000,803,933,119173
2022-04-29,933,997,867,867,41409
2022-05-31,803,930,803,893,35539
2022-06-30,843,933,843,900,44820
2022-07-29,933,1290,933,1100,79188
2022-08-31,1093,1100,880,1000,28243
2022-09-30,1000,1077,970,1033,23398
2022-10-31,1033,1067,927,937,21491
2022-11-30,1000,1023,903,903,24161
2022-12-30,903,983,900,933,9766
2023-01-31,900,933,833,877,19911
2023-02-28,877,907,823,887,27480
2023-03-31,887,933,797,813,52578
2023-04-28,820,863,767,860,26575
2023-05-31,803,967,803,867,27744
2023-06-30,867,933,817,880,34454
2023-07-31,933,950,867,923,42080
2023-08-31,923,1023,870,913,55414
2023-09-29,913,997,880,967,19926
2023-10-31,967,1033,937,990,37454
2023-11-30,993,997,900,953,29093
2023-12-29,983,1047,933,983,56696
2024-01-31,967,980,867,867,34836
2024-02-29,867,917,853,917,38783
2024-03-29,917,1147,900,1120,52078
2024-04-30,1120,1147,1033,1147,46734
2024-05-31,1147,1147,1033,1087,37448
2024-06-28,1073,1083,1007,1057,31293
2024-07-31,1057,1413,1033,1400,61176
2024-08-30,1397,1650,1233,1650,74195
2024-09-30,1675,2090,1635,1800,24211
2024-10-31,1815,2685,1750,2045,64286
2024-11-29,2040,2090,1855,2000,42264
2024-12-31,2000,2010,1890,1890,38333
2025-01-31,1890,1890,1700,1710,30433
2025-02-28,1710,1950,1680,1930,39503
2025-03-28,1915,2430,1915,2400,96323
2025-04-30,2400,2885,2305,2500,126642
2025-05-30,2595,2900,2500,2635,125379
2025-06-30,2635,3225,2440,2990,232978
2025-07-31,2995,3490,2990,3375,126033
2025-08-29,3395,3700,3385,3620,106476
2025-09-30,3530,4400,3530,4400,141686
2025-10-31,4395,4415,3715,3715,206118
2025-11-28,3440,4015,3440,4000,151514
2025-12-31,4000,4395,3835,4000,72757
2026-01-30,3995,4395,3800,4395,113775
2026-02-27,4360,4525,4200,4515,125266
2026-03-31,4550,4795,4550,4680,148311
2026-04-30,4695,4750,4500,4670,100817
2026-05-29,4670,5295,4670,5200,91817
2026-06-30,5300,5300,4405,4980,170619
2026-07-31,4990,5800,4895,5665,153891
2026-08-31,5670,6950,5550,6480,107169
2026-09-24,6450,7300,5300,5880,103855
