date,open,high,low,close,volume
2026-06-14,4630,4630,4630,4630,9488
2026-06-21,4505,4555,4435,4555,29157
2026-06-25,4550,5110,4425,5110,31520
2026-07-05,5000,5000,4965,4970,37982
2026-07-10,4960,5450,4930,5450,63285
2026-07-17,5450,5770,5450,5755,22036
2026-07-24,5750,5750,5600,5600,20134
2026-07-31,5590,5675,5350,5665,36993
2026-08-07,5670,5670,5585,5590,10526
2026-08-14,5595,6150,5595,6150,25102
2026-08-21,6150,6490,6150,6490,42524
2026-08-29,6400,6700,6400,6495,34388
2026-09-04,6490,6490,6400,6400,19779
2026-09-10,7015,7015,7005,7005,7259
2026-09-18,6895,6895,6850,6850,692
2026-09-24,5350,5880,5350,5880,9714
