date,open,high,low,close,volume
2021-07-30,2375,2406,2375,2406,5475
2021-08-31,2409,2806,2381,2688,102069
2021-09-30,2688,3125,2503,3003,51705
2021-10-29,3003,3438,2938,3125,64518
2021-11-30,3169,3331,3169,3328,14349
2021-12-31,3328,3331,3156,3188,40027
2022-01-31,3219,3219,3000,3206,44362
2022-02-28,3216,3759,3125,3747,139140
2022-03-31,3750,4125,3750,4122,61535
2022-04-29,4122,4569,4094,4359,35558
2022-05-31,4359,4372,3563,4122,112691
2022-06-30,4125,4125,3781,3969,62736
2022-07-29,4003,4063,3753,3938,42324
2022-08-31,3938,3938,3844,3938,29333
2022-09-30,3934,4375,3875,4281,117599
2022-10-31,4281,4281,3625,3813,26853
2022-11-30,3841,3938,3438,3494,87867
2022-12-30,3494,4184,3369,3616,33052
2023-01-31,3616,3616,3297,3344,38736
2023-02-28,3344,3688,3322,3594,40850
2023-03-31,3591,4063,3581,3809,81309
2023-04-28,3809,3813,3659,3781,48424
2023-05-31,3781,3844,3403,3669,173875
2023-06-30,3669,3675,3463,3672,26931
2023-07-31,3603,3750,3438,3588,78689
2023-08-31,3563,3584,2519,2947,140215
2023-09-28,2956,3066,2875,3050,68298
2023-10-31,3063,3063,2534,2688,89878
2023-11-30,2688,3375,2625,3344,74461
2023-12-29,3372,3563,3141,3369,80807
2024-01-31,3366,3366,2938,3063,24897
2024-02-29,3031,3375,2850,3313,56429
2024-03-29,3203,3809,3203,3806,99686
2024-04-30,3806,3809,3688,3744,91766
2024-05-31,3750,3750,3375,3406,87819
2024-06-28,3406,3406,3066,3319,103555
2024-07-31,3319,3319,3125,3272,39299
2024-08-30,3272,3438,3194,3250,112322
2024-09-30,3250,3995,3095,3285,94316
2024-10-31,3485,3495,3010,3200,41587
2024-11-29,3150,3200,2700,2745,21292
2024-12-31,2740,2740,2500,2575,50619
2025-01-31,2580,2600,2115,2295,32810
2025-02-28,2295,2900,2170,2800,61650
2025-03-28,2800,3275,2570,2795,167195
2025-04-30,2790,2800,2590,2590,73511
2025-05-30,2600,3000,2450,2600,60471
2025-06-30,2600,2890,2425,2630,120961
2025-07-31,2625,2700,2225,2510,173474
2025-08-29,2510,2695,2455,2625,104392
2025-09-30,2625,2640,2405,2500,84803
2025-10-31,2495,2725,2450,2595,103672
2025-11-28,2595,2600,2450,2495,1231712
2025-12-31,2500,2750,2450,2610,69027
2026-01-30,2455,2650,2450,2625,28693
2026-02-27,2625,3000,2500,2910,115516
2026-03-31,2900,3000,2450,2620,267042
2026-04-30,2625,3760,2625,3660,290355
2026-05-29,3660,3750,3395,3730,140483
2026-06-30,3730,4200,3690,4195,242250
2026-07-31,4200,5475,4010,5290,259091
2026-08-31,5290,5645,5010,5480,117986
2026-09-24,5475,5695,4535,4780,128227
