date,open,high,low,close,volume
2021-07-30,2375,2406,2375,2406,5475
2021-08-06,2409,2463,2406,2438,12498
2021-08-13,2406,2438,2381,2438,3397
2021-08-20,2438,2613,2406,2613,60826
2021-08-27,2806,2806,2563,2656,24206
2021-09-03,2684,2703,2622,2625,5869
2021-09-10,2625,2750,2503,2719,6608
2021-09-17,2719,2806,2706,2806,11313
2021-09-24,2794,2972,2766,2900,13511
2021-10-01,2972,3125,2822,3088,22277
2021-10-08,3088,3438,3000,3281,11833
2021-10-15,3281,3281,3138,3188,7287
2021-10-22,3188,3188,3063,3063,4907
2021-10-29,3063,3331,2938,3125,33760
2021-11-05,3169,3219,3169,3188,3618
2021-11-12,3188,3250,3175,3188,2152
2021-11-19,3188,3247,3169,3184,1629
2021-11-26,3184,3331,3175,3313,4385
2021-12-03,3313,3331,3250,3331,4370
2021-12-10,3313,3316,3188,3231,19034
2021-12-17,3225,3303,3213,3256,3226
2021-12-24,3256,3281,3219,3238,13735
2021-12-31,3219,3247,3156,3188,2227
2022-01-07,3219,3219,3125,3219,19810
2022-01-14,3216,3216,3000,3156,12369
2022-01-21,3006,3219,3006,3219,9962
2022-01-28,3128,3216,3128,3203,1901
2022-02-04,3203,3303,3191,3250,61692
2022-02-11,3250,3375,3125,3372,11845
2022-02-18,3372,3700,3225,3681,27086
2022-02-25,3688,3759,3519,3747,37101
2022-03-04,3747,3938,3747,3791,14750
2022-03-11,3788,4000,3759,3978,16908
2022-03-18,4000,4047,3903,4044,15196
2022-03-25,4003,4034,3938,4034,6353
2022-04-01,4031,4125,3972,4119,11491
2022-04-08,4122,4328,4094,4219,15753
2022-04-15,4219,4569,4188,4500,10488
2022-04-22,4500,4500,4313,4372,6214
2022-04-29,4372,4375,4128,4359,1676
2022-05-06,4359,4359,4125,4359,7838
2022-05-13,4359,4372,4144,4344,21658
2022-05-20,4313,4313,3750,3809,64678
2022-05-27,3750,3875,3563,3594,8592
2022-06-03,3594,4125,3566,4063,25784
2022-06-10,4063,4063,3781,3816,13840
2022-06-17,3816,4063,3781,4063,17154
2022-06-24,4063,4091,4000,4063,14481
2022-07-01,4063,4063,3969,4063,12442
2022-07-08,4000,4063,4000,4000,13410
2022-07-15,4000,4063,3838,3916,11782
2022-07-22,3916,3938,3753,3938,3496
2022-07-29,3906,3938,3816,3938,2596
2022-08-05,3938,3938,3847,3934,8580
2022-08-12,3906,3938,3875,3928,9799
2022-08-19,3938,3938,3875,3934,2467
2022-08-26,3875,3934,3844,3934,3641
2022-09-02,3875,3938,3875,3938,5281
2022-09-09,3906,3938,3878,3913,2202
2022-09-16,3913,4375,3881,4375,22273
2022-09-23,4375,4375,3878,4122,68748
2022-09-30,3875,4281,3875,4281,23941
2022-10-07,4281,4281,3875,3875,1392
2022-10-14,3881,4063,3878,3906,1702
2022-10-21,3906,3906,3625,3813,10191
2022-10-28,3781,3950,3625,3844,7952
2022-11-04,3844,3938,3625,3938,59541
2022-11-11,3938,3938,3625,3813,1621
2022-11-18,3875,3875,3581,3622,3700
2022-11-25,3578,3625,3547,3594,27507
2022-12-02,3494,3494,3438,3494,1343
2022-12-09,3438,3559,3409,3438,1939
2022-12-16,3409,4184,3369,4094,17523
2022-12-23,4031,4050,3575,3884,10340
2022-12-30,3625,3841,3616,3616,3021
2023-01-06,3616,3616,3375,3563,2018
2023-01-13,3563,3581,3500,3575,3330
2023-01-20,3575,3575,3297,3572,6944
2023-01-27,3572,3572,3313,3500,18665
2023-02-03,3488,3488,3313,3375,11935
2023-02-10,3375,3688,3347,3688,15849
2023-02-17,3688,3688,3506,3688,5336
2023-02-24,3619,3688,3500,3588,8816
2023-03-03,3588,3750,3506,3750,21742
2023-03-10,3750,4063,3663,4025,31736
2023-03-17,3938,3938,3816,3925,11599
2023-03-24,3925,3925,3753,3872,12245
2023-03-31,3872,3872,3750,3809,10680
2023-04-07,3809,3813,3750,3813,7945
2023-04-14,3813,3813,3750,3797,6216
2023-04-20,3797,3797,3750,3781,15499
2023-04-28,3781,3781,3659,3781,18764
