date,open,high,low,close,volume
2026-06-13,7300,7325,7300,7325,19592
2026-06-14,7300,7325,7300,7325,19592
2026-06-16,7285,7285,7285,7285,4543
2026-06-17,7285,7350,7285,7350,37276
2026-06-19,7400,7445,7400,7445,8517
2026-06-20,7400,7445,7400,7445,8517
2026-06-21,7400,7445,7400,7445,8517
2026-06-22,7445,7445,7395,7395,5871
2026-06-23,7395,7395,7305,7305,11842
2026-06-24,7345,7345,7300,7300,11789
2026-06-25,7300,7345,7300,7345,7347
2026-06-29,7300,7350,7300,7350,6224
2026-06-30,7350,7440,7350,7440,2766
2026-07-01,7440,7440,7440,7440,5262
2026-07-02,7440,7440,7305,7305,7563
2026-07-03,7300,7350,7300,7350,10809
2026-07-05,7300,7350,7300,7350,10809
2026-07-06,7200,7300,7200,7300,8926
2026-07-07,7300,7300,7260,7260,7095
2026-07-08,7300,7300,7290,7290,9012
2026-07-09,7290,7300,7290,7300,13097
2026-07-10,7300,7300,7300,7300,18585
2026-07-13,7300,7300,7300,7300,49637
2026-07-14,7310,7315,7310,7315,15479
2026-07-15,7315,7320,7315,7320,18796
2026-07-16,7325,7400,7325,7400,19109
2026-07-17,7500,7700,7500,7700,4057
2026-07-20,7695,7695,7550,7550,4016
2026-07-21,7545,7545,7485,7485,2239
2026-07-22,7485,7495,7485,7495,2831
2026-07-23,7495,7580,7495,7580,2123
2026-07-24,7580,7845,7580,7845,8145
2026-07-27,7845,7900,7845,7900,4860
2026-07-28,7900,7945,7900,7945,1869
2026-07-29,7995,7995,7965,7965,3983
2026-07-30,7915,7915,7700,7700,7928
2026-07-31,7850,7850,7790,7790,3612
2026-08-03,7790,7790,7685,7685,3389
2026-08-04,7685,7700,7685,7700,6650
2026-08-05,7685,7685,7600,7600,7230
2026-08-06,7600,7710,7600,7710,1166
2026-08-07,7600,7710,7600,7710,1166
2026-08-10,7710,7750,7710,7750,10641
2026-08-11,7700,7700,7700,7700,10967
2026-08-12,7450,7690,7450,7690,19422
2026-08-13,7690,7690,7690,7690,11833
2026-08-14,7690,7700,7690,7700,4989
2026-08-17,7700,7800,7700,7800,18443
2026-08-18,7800,7800,7800,7800,24039
2026-08-19,7800,7800,7800,7800,26316
2026-08-20,7800,8000,7800,8000,16276
2026-08-21,8095,8095,8000,8000,23281
2026-08-24,8020,8500,8020,8500,5658
2026-08-25,8020,8500,8020,8500,5658
2026-08-26,8695,8695,8500,8500,7081
2026-08-28,8500,8500,8445,8445,18254
2026-08-29,8400,8400,8300,8300,11342
2026-08-31,8300,8300,8295,8295,11876
2026-09-01,8295,8295,8250,8250,26600
2026-09-02,8250,8250,8240,8240,19506
2026-09-03,8250,8300,8250,8300,12574
2026-09-04,8300,8300,8240,8240,15705
2026-09-10,8275,8275,8200,8200,16541
2026-09-18,8110,8185,8110,8185,3825
2026-09-24,7650,7760,7650,7760,12428
