date,open,high,low,close,volume
2021-07-30,1300,1333,1300,1327,19814
2021-08-31,1327,1613,1300,1530,41151
2021-09-30,1530,1593,1433,1520,72448
2021-10-29,1520,1793,1507,1793,90020
2021-11-30,1800,1833,1600,1733,86627
2021-12-31,1733,1750,1533,1567,166237
2022-01-31,1567,1673,1507,1663,55700
2022-02-28,1663,1733,1533,1647,87175
2022-03-31,1643,1853,1567,1717,85595
2022-04-29,1727,1730,1503,1533,65037
2022-05-31,1517,1700,1433,1567,70291
2022-06-30,1567,1667,1500,1580,47086
2022-07-29,1580,1667,1570,1600,98507
2022-08-31,1623,1663,1603,1653,60771
2022-09-30,1653,1693,1610,1610,88434
2022-10-28,1610,1693,1527,1567,58711
2022-11-30,1567,1733,1533,1613,57199
2022-12-30,1610,1733,1533,1633,69966
2023-01-31,1720,1720,1467,1667,54146
2023-02-28,1603,1723,1600,1600,49704
2023-03-31,1600,1667,1443,1463,116122
2023-04-28,1467,1633,1450,1620,67839
2023-05-31,1620,1817,1547,1717,80220
2023-06-30,1717,1933,1637,1867,130049
2023-07-31,1867,1923,1800,1923,52792
2023-08-31,1923,2133,1800,2063,37459
2023-09-29,2063,2200,1933,2200,67569
2023-10-31,2133,2333,1913,2100,55188
2023-11-30,2100,2433,1953,2067,55225
2023-12-29,2033,2400,1970,2133,122125
2024-01-31,2130,2267,1983,2267,34429
2024-02-29,2133,2233,1970,2047,72756
2024-03-29,2003,2267,1983,2267,97325
2024-04-30,2267,2467,2200,2400,100800
2024-05-31,2400,2667,2363,2600,43532
2024-06-28,2600,2867,2533,2583,52515
2024-07-31,2593,3233,2540,3233,87575
2024-08-30,3267,3667,3067,3370,60791
2024-09-30,3600,4180,3380,3750,66326
2024-10-31,3800,4140,3515,3900,30142
2024-11-29,3900,3900,2965,3445,35662
2024-12-31,3445,3445,2955,3150,75352
2025-01-31,3150,3150,2650,2725,46057
2025-02-28,2725,2945,2550,2945,73469
2025-03-28,2945,4025,2800,3950,100667
2025-04-30,3950,4335,3765,4150,280918
2025-05-30,4165,4300,3800,3950,196268
2025-06-30,3950,4200,3950,4140,216904
2025-07-31,4140,4500,4000,4400,209014
2025-08-29,4400,4750,4355,4710,116852
2025-09-30,4710,5600,4700,5600,122436
2025-10-31,5600,5895,5350,5505,154322
2025-11-28,5405,5700,5050,5550,81384
2025-12-31,5525,5590,5150,5240,69944
2026-01-30,5240,5750,5200,5750,72655
2026-02-27,5750,6605,5600,6600,109677
2026-03-31,6600,7200,6300,6600,209228
2026-04-30,6650,7100,6255,7045,109078
2026-05-29,7050,8200,7045,7545,150079
2026-06-30,7700,7700,7250,7440,223423
2026-07-31,7440,7995,7200,7790,229033
2026-08-31,7790,8750,7450,8295,238853
2026-09-24,8295,8350,7600,7760,249962
