date,open,high,low,close,volume
2026-06-14,7300,7325,7300,7325,39184
2026-06-21,7285,7445,7285,7445,67370
2026-06-25,7445,7445,7300,7345,36849
2026-07-05,7300,7440,7300,7350,43433
2026-07-10,7200,7300,7200,7300,56715
2026-07-17,7300,7700,7300,7700,107078
2026-07-24,7695,7845,7485,7845,19354
2026-07-31,7845,7995,7700,7790,22252
2026-08-07,7790,7790,7600,7710,19601
2026-08-14,7710,7750,7450,7700,57852
2026-08-21,7700,8095,7700,8000,108355
2026-08-29,8020,8695,8020,8300,47993
2026-09-04,8300,8300,8240,8240,86261
2026-09-10,8275,8275,8200,8200,16541
2026-09-18,8110,8185,8110,8185,3825
2026-09-24,7650,7760,7650,7760,12428
