date,open,high,low,close,volume
2021-07-26,1400,1400,1375,1375,744
2021-07-27,1375,1395,1360,1375,2666
2021-07-28,1380,1445,1380,1445,3304
2021-07-29,1400,1400,1390,1390,1482
2021-07-30,1380,1390,1350,1375,787
2021-08-02,1375,1380,1300,1380,1333
2021-08-03,1380,1380,1370,1370,1337
2021-08-05,1300,1300,1270,1270,176
2021-08-06,1300,1300,1270,1270,285
2021-08-09,1270,1300,1270,1275,400
2021-08-10,1280,1300,1280,1300,71
2021-08-11,1300,1300,1300,1300,443
2021-08-12,1295,1370,1280,1305,1395
2021-08-13,1305,1305,1305,1305,75
2021-08-16,1380,1380,1380,1380,88
2021-08-17,1380,1380,1325,1325,822
2021-08-18,1320,1360,1320,1360,15
2021-08-19,1360,1365,1360,1365,1167
2021-08-20,1360,1360,1355,1355,442
2021-08-23,1355,1355,1355,1355,500
2021-08-24,1365,1370,1350,1350,1818
2021-08-25,1355,1365,1350,1365,880
2021-08-26,1360,1360,1350,1350,151
2021-08-27,1350,1370,1320,1325,1341
2021-08-30,1325,1360,1325,1355,1373
2021-08-31,1350,1350,1350,1350,62
2021-09-01,1325,1360,1325,1360,929
2021-09-02,1360,1360,1350,1360,505
2021-09-03,1360,1360,1360,1360,140
2021-09-06,1360,1400,1360,1400,259
2021-09-07,1380,1380,1380,1380,10
2021-09-08,1350,1375,1350,1350,394
2021-09-09,1375,1375,1375,1375,30
2021-09-10,1360,1360,1350,1350,110
2021-09-13,1350,1350,1350,1350,193
2021-09-14,1345,1350,1345,1345,1811
2021-09-15,1345,1350,1325,1350,4580
2021-09-16,1350,1350,1350,1350,2420
2021-09-17,1350,1350,1340,1340,310
2021-09-20,1305,1325,1305,1325,1105
2021-09-21,1300,1350,1300,1350,12765
2021-09-22,1350,1360,1350,1350,1325
2021-09-23,1350,1350,1340,1340,1820
2021-09-24,1330,1340,1325,1325,1025
2021-09-27,1250,1275,1230,1230,2051
2021-09-28,1190,1230,1140,1140,6642
2021-09-29,1055,1140,1055,1055,1660
2021-09-30,980,1050,980,980,3192
2021-10-01,970,1050,970,1050,2394
2021-10-04,1055,1125,1055,1125,1504
2021-10-05,1125,1150,1100,1135,11585
2021-10-06,1150,1200,1140,1145,14201
2021-10-07,1200,1200,1195,1200,7792
2021-10-08,1155,1195,1140,1140,7325
2021-10-11,1195,1200,1195,1195,2032
2021-10-12,1185,1200,1180,1190,11387
2021-10-13,1140,1200,1140,1190,3125
2021-10-14,1200,1200,1190,1200,5671
2021-10-15,1230,1230,1110,1200,2294
2021-10-19,1150,1190,1150,1150,311
2021-10-21,1150,1200,1065,1185,23887
2021-10-22,1185,1185,1185,1185,1900
2021-10-25,1180,1185,1160,1180,2884
2021-10-26,1185,1185,1160,1160,6452
2021-10-27,1160,1180,1155,1175,4389
2021-10-28,1180,1185,1170,1175,4379
