date,open,high,low,close,volume
2021-07-30,1400,1445,1350,1375,8983
2021-08-06,1375,1380,1270,1270,3131
2021-08-13,1270,1370,1270,1305,2384
2021-08-20,1380,1380,1320,1355,2534
2021-08-27,1355,1370,1320,1325,4690
2021-09-03,1325,1360,1325,1360,3009
2021-09-10,1360,1400,1350,1350,803
2021-09-17,1350,1350,1325,1340,9314
2021-09-24,1305,1360,1300,1325,18040
2021-10-01,1250,1275,970,1050,15939
2021-10-08,1055,1200,1055,1140,42407
2021-10-15,1195,1230,1110,1200,24509
2021-10-22,1150,1200,1065,1185,26098
2021-10-29,1180,1200,1155,1200,23284
2021-11-05,1150,1155,1070,1120,4051
2021-11-12,1150,1185,1150,1160,6938
2021-11-19,1160,1160,1150,1150,1570
2021-11-26,1160,1230,1065,1120,3689
2021-12-03,1200,1210,1165,1200,5365
2021-12-10,1200,1200,1150,1150,3452
2021-12-17,1200,1200,1065,1075,10303
2021-12-24,1000,1180,1000,1150,5460
2021-12-31,1150,1180,1010,1015,5583
2022-01-07,1090,1180,1020,1095,7649
2022-01-14,1150,1150,1070,1080,3870
2022-01-21,1150,1150,1100,1150,2107
2022-01-28,1150,1200,1130,1200,20198
2022-02-04,1200,1250,1150,1155,8398
2022-02-11,1150,1205,1150,1180,7550
2022-02-18,1195,1220,1150,1220,14504
2022-02-25,1220,1300,1200,1200,6866
2022-03-04,1280,1315,1280,1280,8464
2022-03-11,1280,1300,1185,1200,3367
2022-03-18,1200,1200,1165,1180,2997
2022-03-25,1200,1200,1110,1120,6852
2022-04-01,1195,1195,1100,1105,8244
2022-04-08,1100,1160,1075,1160,4615
2022-04-15,1150,1180,1150,1180,9695
2022-04-22,1180,1180,1080,1100,1453
2022-04-29,1100,1180,1100,1105,742
2022-05-06,1120,1170,1110,1165,824
2022-05-13,1180,1180,1165,1165,2576
2022-05-20,1145,1170,1145,1165,846
2022-05-27,1100,1165,1005,1005,755
2022-06-03,1080,1095,955,1020,12651
2022-06-10,1030,1105,1000,1030,8763
2022-06-17,1030,1100,1005,1080,1469
2022-06-24,1080,1150,1080,1100,1024
2022-07-01,1100,1160,1100,1160,506
2022-07-08,1100,1160,1100,1160,847
2022-07-15,1160,1170,1105,1105,18687
2022-07-22,1150,1160,1105,1160,8529
2022-07-29,1160,1195,1100,1150,4301
2022-08-05,1065,1150,1065,1085,611
2022-08-12,1100,1100,1070,1100,1137
2022-08-19,1070,1150,1070,1080,2325
2022-08-26,1080,1090,1015,1065,12137
2022-09-02,1070,1140,1050,1075,3009
2022-09-09,1100,1290,1075,1150,2749
2022-09-16,1150,1150,1070,1100,9823
2022-09-23,1100,1145,1080,1100,12285
2022-09-30,1100,1100,1085,1085,2595
2022-10-07,1085,1100,1050,1100,8992
2022-10-14,1100,1100,1025,1100,4324
2022-10-21,1050,1100,1050,1050,422
2022-10-28,1050,1100,1025,1100,72940
2022-11-04,1150,1245,1150,1155,2663
2022-11-11,1155,1200,1150,1160,1835
2022-11-18,1160,1180,1140,1160,3602
2022-11-24,1160,1160,1100,1155,3902
2022-12-02,1155,1155,1000,1075,26186
2022-12-09,1000,1155,1000,1155,304
2022-12-16,1155,1155,1000,1000,1037
2022-12-23,1075,1125,975,1050,3309
2022-12-28,1125,1200,1100,1170,47
2023-01-06,1170,1170,1010,1010,294
2023-01-13,1050,1085,1005,1075,5547
2023-01-19,1085,1085,1005,1010,434
2023-01-27,1085,1085,1015,1065,3833
2023-02-03,1065,1065,1015,1040,203
2023-02-10,1020,1095,1020,1075,12524
2023-02-17,1075,1145,1070,1085,7302
2023-02-24,1085,1085,1005,1065,3849
2023-03-03,1065,1140,1015,1140,4196
2023-03-10,1140,1215,1140,1175,3477
2023-03-17,1175,1195,1010,1010,4550
2023-03-24,1015,1085,1015,1015,2492
2023-03-31,1015,1050,885,995,3299
2023-04-06,1000,1000,930,995,839
2023-04-14,995,1000,985,995,6068
2023-04-20,980,1050,935,985,425
2023-04-28,985,1075,985,1075,3494
2023-05-04,1070,1075,1065,1065,402
2023-05-12,1065,1065,1000,1010,4509
2023-05-19,1010,1020,1000,1020,2483
2023-05-26,1050,1050,1000,1050,2331
2023-06-02,1070,1070,1000,1005,6166
2023-06-09,1060,1060,1030,1050,1616
2023-06-16,1030,1080,1005,1080,3423
2023-06-23,1080,1100,1050,1100,3060
2023-06-29,1090,1100,1020,1020,331
2023-07-06,1010,1095,1010,1090,1435
2023-07-14,1085,1095,1085,1095,2293
2023-07-20,1100,1100,1020,1030,5214
2023-07-28,1105,1155,1045,1155,735
2023-08-04,1150,1320,1150,1255,4723
2023-08-11,1255,1255,1070,1235,479
2023-08-18,1220,1220,1150,1165,555
2023-08-25,1165,1200,1160,1185,1742
2023-09-01,1185,1190,1185,1190,266
2023-09-08,1190,1190,1165,1190,979
2023-09-15,1185,1190,1170,1180,1364
2023-09-22,1190,1190,1165,1180,1006
2023-09-28,1180,1180,1165,1165,300
2023-10-06,1165,1170,1160,1160,1155
2023-10-13,1160,1170,1060,1105,1433
2023-10-20,1160,1240,1105,1185,27368
2023-10-27,1235,1235,1200,1200,2396
2023-11-03,1180,1200,1170,1170,1395
2023-11-10,1085,1100,1055,1100,1051
2023-11-17,1090,1105,1040,1105,695
2023-11-24,1150,1160,1150,1155,1039
2023-12-01,1155,1155,1080,1080,1900
2023-12-08,1050,1075,990,1010,4341
2023-12-15,1020,1070,1020,1020,1476
2023-12-22,1055,1055,1000,1000,1346
2023-12-29,1010,1110,1000,1110,20901
2024-01-05,1115,1115,1000,1000,2233
2024-01-12,970,1040,970,1040,1153
2024-01-19,1040,1040,985,1040,156
2024-01-26,990,1035,990,1000,688
2024-02-02,1000,1035,970,970,1103
2024-02-08,980,1050,980,980,280
2024-02-16,980,1100,960,1100,1400
2024-02-23,1100,1115,1020,1100,1864
2024-02-29,1100,1100,990,990,930
2024-03-08,990,1060,970,1010,1130
2024-03-15,1065,1100,1010,1015,2198
2024-03-22,1015,1080,1015,1080,732
2024-03-29,1150,1160,1055,1140,1994
2024-04-05,1140,1200,1065,1100,1307
2024-04-12,1130,1160,1100,1120,2502
2024-04-19,1095,1145,1010,1125,1602
2024-04-26,1145,1145,1090,1090,601
2024-05-03,1080,1080,970,1000,2852
2024-05-10,995,1060,925,1060,3977
2024-05-17,985,1090,985,1055,3718
2024-05-24,1055,1055,990,1000,1229
2024-05-31,1055,1055,980,980,1308
2024-06-07,980,1020,980,1020,259
2024-06-14,1020,1050,990,990,20737
2024-06-21,990,1065,985,990,863
2024-06-28,1060,1065,990,1060,905
2024-07-05,1060,1075,990,1050,4015
2024-07-12,1055,1055,950,980,8377
2024-07-19,980,980,925,950,15278
2024-07-26,950,975,940,960,8089
2024-08-02,950,1025,935,980,7641
2024-08-09,980,1000,955,980,2023
2024-08-16,980,995,970,980,1884
2024-08-23,1000,1020,990,995,1839
2024-08-30,995,1000,960,980,16337
2024-09-06,980,995,935,995,18851
2024-09-13,995,1050,975,980,3773
2024-09-20,980,1030,975,995,18285
2024-09-27,995,1030,950,1020,8136
2024-10-04,1020,1030,955,1030,2819
2024-10-11,1030,1050,955,980,7306
2024-10-18,985,1050,955,1015,1992
2024-10-25,1015,1040,995,1020,39259
2024-10-31,1095,1160,1090,1100,1876
2024-11-08,1100,1100,1020,1095,1106
2024-11-14,1095,1095,995,1090,462
2024-11-22,1050,1100,1000,1080,9424
2024-11-29,1070,1100,1000,1100,2100
2024-12-06,1145,1170,1070,1150,6802
2024-12-13,1070,1100,1020,1020,4383
2024-12-20,1025,1160,1020,1155,5095
2024-12-27,1150,1160,1140,1140,3290
2025-01-03,1110,1140,1040,1040,2790
2025-01-10,1080,1095,1000,1040,2122
2025-01-17,1020,1040,1000,1040,5450
2025-01-24,1030,1115,1030,1050,3003
2025-01-31,1050,1110,1050,1100,660
2025-02-07,1060,1120,1055,1120,838
2025-02-14,1120,1120,1110,1120,2303
2025-02-21,1120,1120,1075,1120,5106
2025-02-28,1085,1170,1085,1170,1828
2025-03-07,1165,1250,1100,1170,14844
2025-03-14,1170,1235,1150,1235,19045
2025-03-21,1325,1420,1250,1395,33420
2025-03-28,1375,1375,1255,1340,14176
2025-04-04,1340,1340,1235,1245,24870
2025-04-11,1245,1335,1240,1310,32689
2025-04-18,1315,1400,1230,1350,30575
2025-04-25,1350,1390,1255,1350,3632
2025-05-02,1350,1400,1270,1375,15927
2025-05-09,1375,1375,1275,1300,8331
2025-05-16,1275,1390,1225,1225,5574
2025-05-23,1300,1400,1300,1350,45214
2025-05-30,1350,1400,1200,1200,17852
2025-06-05,1205,1290,1190,1200,4530
2025-06-13,1200,1200,1110,1190,30063
2025-06-20,1190,1200,1170,1175,6087
2025-06-27,1175,1200,1115,1185,3951
2025-07-04,1185,1195,1120,1190,2867
2025-07-11,1130,1190,1130,1190,807
2025-07-18,1190,1190,1150,1170,2788
2025-07-25,1170,1190,1170,1190,4657
2025-08-01,1190,1290,1190,1250,6877
2025-08-08,1250,1300,1250,1300,3253
2025-08-14,1300,1335,1260,1335,5518
2025-08-22,1345,1345,1260,1265,3529
2025-08-29,1300,1330,1260,1330,12460
2025-09-05,1330,1330,1310,1320,2413
2025-09-12,1320,1450,1310,1395,6230
2025-09-19,1420,1420,1335,1400,3878
2025-09-26,1405,1415,1400,1415,3804
2025-10-03,1415,1500,1345,1500,1933
2025-10-10,1520,2060,1520,1960,4545
2025-10-17,2100,2260,2010,2010,10266
2025-10-24,2000,2010,1660,1700,6660
2025-10-31,1700,1850,1570,1850,6414
2025-11-07,1950,1985,1745,1910,7227
2025-11-14,2035,2700,1950,2550,17927
2025-11-21,2365,2365,2025,2240,7913
2025-11-28,2400,2400,2065,2300,5086
2025-12-05,2365,2365,2150,2190,5331
2025-12-12,2200,2300,2150,2300,5509
2025-12-19,2300,2450,2200,2345,3793
2025-12-26,2345,2395,2200,2365,4251
2026-01-02,2365,2365,2300,2350,1532
2026-01-09,2350,2530,2300,2445,4008
2026-01-16,2445,2715,2445,2600,7840
2026-01-23,2600,3000,2555,2995,7803
2026-01-30,3000,3050,2925,2925,6893
2026-02-06,2950,3675,2950,3675,8101
2026-02-13,3675,4000,3425,3425,12698
2026-02-20,3170,3560,3050,3560,12843
2026-02-27,3560,3850,3350,3820,7950
2026-03-06,3820,4010,3700,3980,9993
2026-03-13,3715,4000,3105,3290,20320
2026-03-19,3200,3290,3200,3280,4746
2026-03-27,3280,3280,3160,3280,8766
2026-04-03,3280,3950,3210,3945,20457
2026-04-10,4235,4500,4020,4340,25622
2026-04-17,4450,4450,3700,3805,11570
2026-04-24,3805,3870,3260,3600,17002
2026-04-30,3650,3870,3500,3600,3061
2026-05-08,3600,3700,3355,3500,6725
2026-05-15,3500,3500,3340,3495,6545
2026-05-22,3495,3585,3375,3585,3063
2026-05-29,3845,3845,3500,3500,5972
2026-06-05,3500,3975,3400,3975,12678
2026-06-12,3975,4210,3975,4000,7379
2026-06-19,4005,4100,3815,4000,7478
2026-06-26,4000,4100,3750,3900,8155
2026-07-03,3900,4600,3900,4495,8838
2026-07-10,4500,4500,3905,3955,11327
2026-07-17,3955,4000,3605,3650,20761
2026-07-24,3650,3955,3650,3795,4400
2026-07-31,3800,3800,3500,3500,21132
2026-08-06,3500,3695,3455,3550,11685
2026-08-14,3620,3620,3455,3500,13170
2026-08-21,3600,3765,3500,3640,7762
2026-08-28,3695,3695,3450,3495,14550
2026-09-04,3600,3600,3400,3540,13519
2026-09-11,3540,3540,3405,3500,7300
2026-09-18,3505,3600,3230,3405,8684
2026-09-24,3405,3405,3190,3200,6263
