date,open,high,low,close,volume
2021-07-30,8200,8300,8000,8275,1477
2021-08-31,8200,9000,7905,9000,14597
2021-09-30,9200,9500,8500,9500,14473
2021-10-29,9300,9500,8750,9250,10792
2021-11-30,9250,9250,8650,9150,6229
2021-12-31,9100,10500,8995,10500,32154
2022-01-31,10710,10710,9800,10000,7841
2022-02-28,10000,11000,9180,10500,22267
2022-03-31,10500,10750,9850,10000,8744
2022-04-29,9995,9995,9250,9690,12146
2022-05-31,9600,9700,8880,9700,4349
2022-06-30,9700,9700,8850,8850,14555
2022-07-29,8905,9120,8500,8800,10679
2022-08-31,8995,9100,8405,8700,15173
2022-09-30,8700,9000,8305,8960,22140
2022-10-28,8320,8900,8305,8875,16536
2022-11-30,8870,8875,8045,8495,4147
2022-12-30,8495,8690,8200,8390,14781
2023-01-31,8385,8385,8005,8385,18430
2023-02-28,8385,8950,8385,8800,829315
2023-03-31,8510,9000,8500,8845,26487
2023-04-28,8845,8845,7585,8000,6554
2023-05-31,8000,8000,7605,7805,7540
2023-06-30,7805,8300,7800,8300,19222
2023-07-31,8300,8400,7800,8195,10629
2023-08-31,8100,8400,8000,8390,10344
2023-09-29,8390,9105,8000,8000,57669
2023-10-31,8200,9105,8000,9100,262962
2023-11-30,9100,9100,8500,8845,11561
2023-12-29,8845,9300,8400,9300,12181
2024-01-31,9300,9800,8600,8900,6756
2024-02-29,8505,9500,8415,9190,4940
2024-03-29,9170,9495,8400,9345,31465
2024-04-30,9345,9500,8915,9500,14146
2024-05-31,9500,10600,9100,10400,28960
2024-06-28,10450,10650,9850,10500,15236
2024-07-31,10650,10650,9550,10000,35370
2024-08-30,10095,10295,9810,9990,13515
2024-09-30,10000,10000,9815,9980,19680
2024-10-31,9980,10000,9250,10000,19768
2024-11-29,10000,10000,9360,9990,11558
2024-12-31,9990,9990,9400,9885,226341
2025-01-31,9885,9895,9500,9800,50777
2025-02-28,9800,10100,9700,10000,8118
2025-03-28,10000,11500,9990,10750,25796
2025-04-30,10750,11245,9120,9500,27228
2025-05-30,9500,10590,9305,10100,25070
2025-06-30,10100,10495,9700,10300,35041
2025-07-31,10310,10480,9700,9700,15911
2025-08-29,10000,10000,9600,9735,26435
2025-09-30,9735,10000,9185,9890,29882
2025-10-31,9890,10000,9800,9995,25588
2025-11-28,9995,11100,9910,10800,17034
2025-12-31,10790,10850,10305,10780,14712
2026-01-30,10780,12000,10780,11900,20211
2026-02-27,12000,15000,11350,14050,33471
2026-03-31,14050,14400,13000,13800,61576
2026-04-30,13800,17000,13800,16100,21519
2026-05-29,16300,23000,16100,21560,29679
2026-06-30,21560,23500,20815,23500,34261
2026-07-31,23500,31830,23110,28000,33354
2026-08-31,28000,30500,27000,29630,26599
2026-09-24,31800,34990,28500,30300,35046
