date,open,high,low,close,volume
2021-07-30,8200,8300,8000,8275,1477
2021-08-06,8200,8200,7905,8200,4147
2021-08-13,8195,8200,7905,8200,6502
2021-08-20,8100,8200,8005,8195,735
2021-08-27,8200,8615,8010,8615,2932
2021-09-03,8600,9200,8500,8900,4560
2021-09-10,8890,8890,8700,8700,878
2021-09-17,8700,8745,8500,8700,2109
2021-09-24,8700,9000,8500,9000,4820
2021-10-01,9000,9500,9000,9300,2700
2021-10-08,9300,9500,8750,9300,2023
2021-10-15,9300,9300,9100,9300,1674
2021-10-22,9300,9300,9200,9300,3231
2021-10-29,9200,9500,9000,9250,3551
2021-11-05,9250,9250,9150,9250,452
2021-11-12,9150,9250,9150,9245,820
2021-11-19,9150,9200,9000,9200,2607
2021-11-25,9200,9250,9200,9200,2201
2021-12-03,9100,9200,8650,9100,1626
2021-12-10,9095,9095,8995,9000,2989
2021-12-17,9150,9500,9150,9500,7389
2021-12-24,9400,10000,9150,9850,7479
2021-12-31,9700,10500,9005,10500,12820
2022-01-07,10710,10710,9910,10375,3920
2022-01-13,10375,10385,10320,10375,958
2022-01-21,10000,10350,10000,10300,75
2022-01-28,10230,10240,9800,10140,2821
2022-02-04,10000,10000,9180,9850,2821
2022-02-11,9200,10700,9200,10700,7907
2022-02-18,10600,11000,10000,10800,9131
2022-02-25,10800,10800,10000,10745,1895
2022-03-04,10790,10795,10000,10750,4216
2022-03-11,10700,10700,9900,10400,1551
2022-03-18,10400,10400,9900,10305,177
2022-03-25,10305,10305,10100,10145,931
2022-04-01,10150,10200,9800,9800,2484
2022-04-08,9800,9800,9500,9700,2132
2022-04-15,9505,9795,9500,9790,603
2022-04-22,9790,9790,9250,9600,3622
2022-04-29,9600,9690,9250,9690,5754
2022-05-06,9600,9600,8880,9600,466
2022-05-13,9010,9595,9000,9300,215
2022-05-20,9600,9600,9100,9200,3103
2022-05-27,9100,9700,9005,9700,515
2022-06-03,9700,9700,9000,9500,3307
2022-06-10,9550,9695,9005,9445,2580
2022-06-17,9100,9175,9050,9175,3924
2022-06-24,9175,9200,9000,9200,3868
2022-07-01,9200,9200,8850,8850,1176
2022-07-08,9035,9035,8600,8750,759
2022-07-15,8750,8900,8600,8900,4512
2022-07-22,8900,9120,8500,8900,1977
2022-07-29,8900,9000,8500,8800,3181
2022-08-05,8995,9100,8405,9000,2399
2022-08-12,9000,9000,8500,8895,1455
