date,open,high,low,close,volume
2026-06-13,1605,1605,1600,1600,3584
2026-06-14,1605,1605,1600,1600,3584
2026-06-16,1610,1645,1610,1645,4017
2026-06-17,1700,1765,1700,1765,2533
2026-06-19,1795,1825,1795,1825,3458
2026-06-20,1795,1825,1795,1825,3458
2026-06-21,1795,1825,1795,1825,3458
2026-06-22,1815,1815,1695,1695,7477
2026-06-23,1695,1695,1675,1675,4477
2026-06-24,1550,1550,1550,1550,6154
2026-06-25,1560,1665,1560,1665,1408
2026-06-29,1775,1775,1750,1750,8797
2026-06-30,1750,1760,1750,1760,2476
2026-07-01,1770,1770,1765,1765,1590
2026-07-02,1770,1780,1770,1780,7824
2026-07-03,1765,1765,1765,1765,1071
2026-07-05,1765,1765,1765,1765,1071
2026-07-06,1760,1760,1725,1725,10498
2026-07-07,1725,1725,1600,1600,4303
2026-07-08,1600,1620,1600,1620,5978
2026-07-09,1620,1620,1575,1575,2620
2026-07-10,1575,1575,1575,1575,3819
2026-07-13,1575,1575,1550,1550,6142
2026-07-14,1600,1605,1600,1605,10990
2026-07-15,1600,1600,1560,1560,5912
2026-07-16,1560,1580,1560,1580,2884
2026-07-17,1600,1600,1600,1600,4335
2026-07-20,1605,1700,1605,1700,10079
2026-07-21,1700,1700,1605,1605,5164
2026-07-22,1700,1700,1695,1695,2615
2026-07-23,1695,1695,1695,1695,1038
2026-07-24,1695,1695,1680,1680,2056
2026-07-27,1710,1710,1670,1670,2763
2026-07-28,1670,1670,1660,1660,968
2026-07-29,1660,1660,1610,1610,2941
2026-07-30,1660,1660,1660,1660,947
2026-07-31,1660,1665,1660,1665,2926
2026-08-03,1695,1695,1695,1695,2656
2026-08-04,1695,1695,1690,1690,3139
2026-08-05,1690,1690,1690,1690,3668
2026-08-06,1690,1700,1690,1700,502
2026-08-07,1690,1700,1690,1700,502
2026-08-10,1700,1700,1695,1695,4531
2026-08-11,1705,1705,1695,1695,1920
2026-08-12,1650,1695,1650,1695,2847
2026-08-13,1690,1690,1600,1600,4738
2026-08-14,1680,1680,1665,1665,985
2026-08-17,1665,1665,1665,1665,2855
2026-08-18,1660,1660,1600,1600,4878
2026-08-19,1625,1630,1625,1630,1989
2026-08-20,1640,1680,1640,1680,3629
2026-08-21,1715,1740,1715,1740,4497
2026-08-24,1730,1765,1730,1765,4499
2026-08-25,1730,1765,1730,1765,4499
2026-08-26,1765,1765,1750,1750,3349
2026-08-28,1750,1750,1745,1745,2545
2026-08-29,1745,1745,1740,1740,5896
2026-08-31,1740,1740,1740,1740,6778
2026-09-01,1740,1740,1680,1680,5891
2026-09-02,1760,1760,1755,1755,2802
2026-09-03,1760,1760,1755,1755,1063
2026-09-04,1755,1755,1745,1745,4078
2026-09-10,1725,1725,1690,1690,4887
2026-09-18,1650,1650,1645,1645,440
2026-09-24,1470,1540,1470,1540,1594
