date,open,high,low,close,volume
2021-07-30,660,725,660,720,8558
2021-08-31,720,850,700,815,47278
2021-09-30,820,910,800,840,103427
2021-10-29,845,1115,840,1115,43599
2021-11-30,1215,1450,1000,1395,77872
2021-12-31,1310,1395,1190,1190,63921
2022-01-31,1190,1250,1105,1250,20433
2022-02-28,1220,1265,1120,1165,28795
2022-03-31,1200,1215,1150,1150,16019
2022-04-29,1120,1150,1055,1145,34502
2022-05-31,1145,1145,790,850,52705
2022-06-30,850,980,735,880,94029
2022-07-29,870,870,805,850,63915
2022-08-31,850,860,830,850,55946
2022-09-30,845,900,820,850,16296
2022-10-28,850,990,805,925,24241
2022-11-30,925,960,905,915,25625
2022-12-30,945,990,915,930,31586
2023-01-31,925,955,720,770,39389
2023-02-28,770,915,730,845,22871
2023-03-31,845,880,775,805,21127
2023-04-28,780,820,730,785,12767
2023-05-31,730,790,730,770,9469
2023-06-29,785,810,705,810,21893
2023-07-31,810,900,800,900,46892
2023-08-31,900,965,870,920,36317
2023-09-29,950,965,790,845,18143
2023-10-31,845,850,760,790,66449
2023-11-30,790,905,765,895,86696
2023-12-29,895,895,790,840,26040
2024-01-31,840,870,695,770,23059
2024-02-29,795,800,685,790,19958
2024-03-29,750,850,700,795,33982
2024-04-30,795,795,705,755,23288
2024-05-31,750,755,690,700,29731
2024-06-28,700,740,630,700,32234
2024-07-31,700,700,650,680,24069
2024-08-30,675,685,635,685,28753
2024-09-30,685,685,625,670,87059
2024-10-31,665,680,630,650,110587
2024-11-29,650,670,590,635,61197
2024-12-31,665,665,570,600,15619
2025-01-31,600,630,550,570,20265
2025-02-28,560,625,550,625,20210
2025-03-28,620,625,565,615,25716
2025-04-30,615,615,565,600,34103
2025-05-30,600,740,555,660,55862
2025-06-30,625,700,625,680,77986
2025-07-31,680,700,620,660,97140
2025-08-29,655,795,610,795,116848
2025-09-30,850,1190,850,1105,213523
2025-10-31,1100,2500,1100,2310,268758
2025-11-28,2140,2200,1405,1690,128732
2025-12-31,1700,1785,1300,1430,98469
2026-01-30,1355,1595,1210,1500,79178
2026-02-27,1500,1800,1465,1790,168905
2026-03-31,1785,1810,1600,1620,112404
2026-04-30,1640,1705,1425,1430,59593
2026-05-29,1430,1580,1325,1510,55917
2026-06-30,1510,1895,1485,1760,89415
2026-07-31,1770,1800,1500,1665,99463
2026-08-31,1695,1790,1600,1740,65901
2026-09-24,1740,1760,1470,1540,57119
