date,open,high,low,close,volume
2026-06-14,1605,1605,1600,1600,7168
2026-06-21,1610,1825,1610,1825,16924
2026-06-25,1815,1815,1550,1665,19516
2026-07-05,1775,1780,1750,1765,22829
2026-07-10,1760,1760,1575,1575,27218
2026-07-17,1575,1605,1550,1600,30263
2026-07-24,1605,1700,1605,1680,20952
2026-07-31,1710,1710,1610,1665,10545
2026-08-07,1695,1700,1690,1700,10467
2026-08-14,1700,1705,1600,1665,15021
2026-08-21,1665,1740,1600,1740,17848
2026-08-29,1730,1765,1730,1740,20788
2026-09-04,1740,1760,1680,1745,20612
2026-09-10,1725,1725,1690,1690,4887
2026-09-18,1650,1650,1645,1645,440
2026-09-24,1470,1540,1470,1540,1594
