date,open,high,low,close,volume
2021-07-30,1700,1750,1615,1700,12670
2021-08-31,1700,2315,1650,2000,67202
2021-09-30,2000,2050,1900,2000,158335
2021-10-29,2000,2045,1860,1965,74242
2021-11-30,2000,2040,1800,1995,70501
2021-12-31,1950,1995,1780,1895,97049
2022-01-31,1895,2160,1800,2160,89405
2022-02-28,2155,2250,2050,2150,76879
2022-03-31,2205,2495,2100,2495,167332
2022-04-29,2495,2550,2300,2470,43921
2022-05-31,2300,2300,2000,2295,36246
2022-06-30,2295,2460,2250,2400,57852
2022-07-29,2400,2450,2150,2300,29170
2022-08-31,2300,2300,2000,2245,47322
2022-09-30,2245,2300,2050,2200,32571
2022-10-31,2200,2200,2000,2150,67621
2022-11-30,2150,2200,2000,2000,24053
2022-12-30,1850,2000,1715,1990,111719
2023-01-31,1990,2040,1860,1980,52922
2023-02-28,2015,2015,1900,1985,50649
2023-03-31,1990,2335,1950,2120,72583
2023-04-28,2120,2120,2000,2050,10663
2023-05-31,2050,2110,1800,2050,17888
2023-06-30,2050,2100,1960,2100,24813
2023-07-31,2100,2300,2000,2200,68143
2023-08-31,2095,2240,1900,1900,202947
2023-09-29,1970,2100,1900,2000,40740
2023-10-31,2065,2130,1965,2000,43607
2023-11-30,1955,2000,1840,1900,89607
2023-12-29,1900,1985,1670,1700,61635
2024-01-31,1700,1820,1575,1680,104153
2024-02-29,1675,1825,1530,1775,50262
2024-03-29,1715,1790,1590,1670,150824
2024-04-30,1670,1670,1520,1520,174374
2024-05-31,1630,1895,1560,1880,261477
2024-06-28,1880,2100,1850,1970,107312
2024-07-31,1995,2075,1900,1900,201540
2024-08-30,1900,2075,1880,2030,116318
2024-09-30,2030,2240,2030,2195,104806
2024-10-31,2195,2550,2165,2355,455640
2024-11-29,2200,2325,1995,2150,66770
2024-12-31,2150,2250,2050,2195,54483
2025-01-31,2200,2200,2100,2180,48993
2025-02-28,2180,2390,2035,2380,63771
2025-03-28,2350,2860,2350,2600,87009
2025-04-30,2595,2710,2305,2390,43928
2025-05-30,2215,2395,2130,2300,76423
2025-06-30,2300,2600,2300,2550,64516
2025-07-31,2550,2550,2250,2300,65567
2025-08-29,2300,2325,2100,2235,113026
2025-09-30,2235,2400,2220,2305,57385
2025-10-31,2305,2600,2280,2590,117252
2025-11-28,2560,2650,2455,2500,76018
2025-12-31,2500,2570,2175,2360,278881
2026-01-30,2430,2760,2315,2685,105565
2026-02-27,2685,3200,2615,3195,178289
2026-03-31,3195,3495,3150,3400,154035
2026-04-30,3400,3400,2995,3250,59366
2026-05-29,3185,4150,2950,4150,185063
2026-06-30,4150,5350,4125,5315,167818
2026-07-31,5400,5595,4850,5000,108741
2026-08-31,5000,7325,4950,6690,92880
2026-09-24,6690,7600,5900,6150,158872
