date,open,high,low,close,volume
2026-06-14,5000,5000,4995,4995,13402
2026-06-21,4995,4995,4755,4995,30523
2026-06-25,4995,5190,4995,5190,17598
2026-07-05,5200,5400,5200,5300,33765
2026-07-10,5300,5485,5300,5340,21697
2026-07-17,5350,5350,4905,5195,21327
2026-07-24,5195,5400,5140,5300,16931
2026-07-31,5350,5375,5000,5000,29222
2026-08-07,5000,5020,4995,5020,18156
2026-08-14,5020,5515,5020,5515,16410
2026-08-21,5800,7190,5800,6900,27794
2026-08-29,6905,6970,6680,6700,35309
2026-09-04,6700,6700,6500,6700,36193
2026-09-10,7330,7400,7330,7400,11202
2026-09-18,6500,6520,6500,6520,1214
2026-09-24,6200,6200,6150,6150,16538
