date,open,high,low,close,volume
2026-06-13,16800,16800,16795,16795,438
2026-06-14,16800,16800,16795,16795,438
2026-06-16,16780,16780,16500,16500,6616
2026-06-17,16500,16500,16400,16400,2443
2026-06-19,16500,16745,16500,16745,404
2026-06-20,16500,16745,16500,16745,404
2026-06-21,16500,16745,16500,16745,404
2026-06-22,16800,17000,16800,17000,5651
2026-06-23,17380,17380,16500,16500,11571
2026-06-24,16600,16600,16500,16500,6518
2026-06-25,16500,16800,16500,16800,234
2026-06-29,16800,17190,16800,17190,1006
2026-06-30,17000,17000,16600,16600,1217
2026-07-01,17180,17180,16250,16250,3155
2026-07-02,17200,17200,16500,16500,1537
2026-07-03,16900,17270,16900,17270,1411
2026-07-05,16900,17270,16900,17270,1411
2026-07-06,17300,17300,16500,16500,5176
2026-07-07,17200,17200,16640,16640,102038
2026-07-08,16695,17000,16695,17000,1701
2026-07-09,16990,16990,16700,16700,639
2026-07-10,16700,16795,16700,16795,465
2026-07-13,16790,16790,16700,16700,2116
2026-07-14,16700,16700,16370,16370,954
2026-07-15,16045,16045,15900,15900,6512
2026-07-16,16000,16000,16000,16000,5655
2026-07-17,16000,16000,16000,16000,1404
2026-07-20,14805,15715,14805,15715,4603
2026-07-21,15800,15800,15715,15715,2300
2026-07-22,15715,15715,15715,15715,1512
2026-07-23,15890,15900,15890,15900,705
2026-07-24,15990,16245,15990,16245,6990
2026-07-27,16245,16245,16240,16240,1894
2026-07-28,16245,16245,16245,16245,4385
2026-07-29,16245,16245,16235,16235,2573
2026-07-30,16235,16235,16235,16235,1602
2026-07-31,16230,16230,16230,16230,1910
2026-08-03,16200,16200,16100,16100,1507
2026-08-04,16200,16200,16200,16200,6408
2026-08-05,16200,16200,16000,16000,1590
2026-08-06,16000,16200,16000,16200,562
2026-08-07,16000,16200,16000,16200,562
2026-08-10,16200,16200,16200,16200,5607
2026-08-11,16000,16000,16000,16000,6065
2026-08-12,16000,16000,16000,16000,3380
2026-08-13,16005,16005,16000,16000,7517
2026-08-14,16000,16000,16000,16000,11343
2026-08-17,16000,16005,16000,16005,11812
2026-08-18,16000,16885,16000,16885,7359
2026-08-19,16875,16875,16500,16500,3162
2026-08-20,16800,16855,16800,16855,1320
2026-08-21,16855,16855,16795,16795,5479
2026-08-24,16795,16830,16795,16830,6688
2026-08-25,16795,16830,16795,16830,6688
2026-08-26,17095,17095,16700,16700,6471
2026-08-28,16700,16845,16700,16845,3252
2026-08-29,16845,16845,16845,16845,1128
2026-08-31,16840,16840,16510,16510,2114
2026-09-01,16400,17000,16400,17000,5405
2026-09-02,17000,17200,17000,17200,2340
2026-09-03,17205,17500,17205,17500,3510
2026-09-04,17500,17725,17500,17725,733
2026-09-10,17775,17775,17695,17695,4740
2026-09-18,16800,16800,16800,16800,1275
2026-09-24,16510,16600,16510,16600,1252
