date,open,high,low,close,volume
2026-06-14,16800,16800,16795,16795,876
2026-06-21,16780,16780,16400,16745,10271
2026-06-25,16800,17380,16500,16800,23974
2026-07-05,16800,17270,16250,17270,9737
2026-07-10,17300,17300,16500,16795,110019
2026-07-17,16790,16790,15900,16000,16641
2026-07-24,14805,16245,14805,16245,16110
2026-07-31,16245,16245,16230,16230,12364
2026-08-07,16200,16200,16000,16200,10629
2026-08-14,16200,16200,16000,16000,33912
2026-08-21,16000,16885,16000,16795,29132
2026-08-29,16795,17095,16700,16845,24227
2026-09-04,16840,17725,16400,17725,14102
2026-09-10,17775,17775,17695,17695,4740
2026-09-18,16800,16800,16800,16800,1275
2026-09-24,16510,16600,16510,16600,1252
