date,open,high,low,close,volume
2021-07-26,13,13,13,13,30324
2021-07-27,13,13,13,13,93697
2021-07-28,13,13,13,13,56803
2021-07-29,13,13,13,13,71121
2021-07-30,13,13,13,13,89284
2021-08-02,13,13,13,13,18235
2021-08-03,13,13,13,13,61989
2021-08-04,13,13,13,13,1082225
2021-08-05,13,13,13,13,42616
2021-08-06,13,13,13,13,17910
2021-08-09,13,13,13,13,61183
2021-08-10,13,13,13,13,79905
2021-08-11,13,13,13,13,9389
2021-08-12,13,13,13,13,9034
2021-08-13,13,13,13,13,25291
2021-08-16,13,13,13,13,6865
2021-08-17,13,13,13,13,14886
2021-08-18,13,13,13,13,44148
2021-08-19,13,13,13,13,21278
2021-08-20,13,13,13,13,72563
2021-08-23,13,13,13,13,254606
2021-08-24,13,13,13,13,63543
2021-08-25,13,13,13,13,127188
2021-08-26,13,13,13,13,30376
2021-08-27,13,13,13,13,38085
2021-08-30,13,13,13,13,132945
2021-08-31,13,13,13,13,240084
2021-09-01,13,13,13,13,17432
2021-09-02,13,13,13,13,32625
2021-09-03,13,13,13,13,37507
2021-09-06,13,13,13,13,44632
2021-09-07,13,13,13,13,106759
2021-09-08,13,13,13,13,120649
2021-09-09,13,13,13,13,5596
2021-09-10,13,13,13,13,126565
2021-09-13,13,13,13,13,40913
2021-09-14,13,13,13,13,160603
2021-09-15,13,13,13,13,17398
2021-09-16,13,13,13,13,23052
2021-09-17,13,13,13,13,31809
2021-09-20,13,13,13,13,146065
2021-09-21,13,13,13,13,179033
2021-09-22,13,13,13,13,25490
2021-09-23,13,13,13,13,378108
2021-09-24,13,13,13,13,113030
2021-09-27,13,13,13,13,114626
2021-09-28,13,13,13,13,144935
2021-09-29,13,13,13,13,26287
2021-09-30,13,13,13,13,395917
2021-10-01,13,13,13,13,30515
2021-10-04,13,13,13,13,46772
2021-10-05,13,13,13,13,82011
2021-10-06,13,13,13,13,24380
2021-10-07,13,13,13,13,83944
2021-10-08,13,13,13,13,36592
2021-10-11,13,13,13,13,146681
2021-10-12,13,13,13,13,36815
2021-10-13,13,13,13,13,13100
2021-10-14,13,13,13,13,317084
2021-10-15,13,13,13,13,770383
2021-10-19,13,13,13,13,186328
2021-10-20,13,13,13,13,13469
2021-10-21,13,13,13,13,62280
2021-10-22,13,13,13,13,1795658
2021-10-25,13,13,13,13,605442
2021-10-26,13,13,13,13,18327
2021-10-27,13,13,13,13,148475
2021-10-28,13,13,13,13,58300
2021-10-29,13,13,13,13,414854
2021-11-03,13,13,13,13,471235
2021-11-04,13,13,13,13,2963448
2021-11-05,13,13,13,13,156017
2021-11-08,13,13,13,13,139515
2021-11-09,13,13,13,13,73919
2021-11-10,13,13,13,13,65904
2021-11-11,13,13,13,13,8285
2021-11-12,13,13,13,13,14820
2021-11-16,13,13,13,13,31394
2021-11-17,13,13,13,13,4515
2021-11-18,13,13,13,13,85343
2021-11-19,13,13,13,13,5108
2021-11-22,13,13,13,13,100732
2021-11-23,13,13,13,13,11085
2021-11-24,13,13,13,13,36130
2021-11-25,13,13,13,13,8135
2021-11-26,13,13,13,13,6014
2021-11-29,13,13,13,13,4348
2021-11-30,13,13,13,13,2285
2021-12-01,13,13,13,13,329
2021-12-02,13,13,13,13,3876
2021-12-03,13,13,13,13,175373
2021-12-06,13,13,13,13,156899
2021-12-07,13,13,13,13,34218178
2021-12-08,13,13,13,13,1754181
2021-12-09,13,13,13,13,1817232
2021-12-10,13,13,13,13,324746
2021-12-13,13,13,13,13,985138
2021-12-14,13,13,13,13,761205
2021-12-15,13,13,13,13,1091476
2021-12-16,13,13,13,13,509621
2021-12-17,13,13,13,13,6535437
2021-12-20,13,14,13,14,14879852
2021-12-21,14,14,13,14,5172484
2021-12-22,14,14,13,14,2173195
2021-12-23,14,14,13,13,12655253
2021-12-24,13,15,13,14,28045922
2021-12-27,15,15,15,15,870756
2021-12-28,16,16,16,16,235663
2021-12-29,17,17,17,17,172394
2021-12-30,18,18,17,18,4400251
2021-12-31,19,19,18,18,1300569
2022-01-03,19,19,19,19,651139
2022-01-04,19,20,19,20,359688
2022-01-05,21,21,21,21,3600939
2022-01-06,22,22,22,22,2190774
2022-01-07,23,23,23,23,7190563
2022-01-10,24,24,24,24,836916
2022-01-11,25,25,25,25,546253
2022-01-12,26,26,26,26,8663538
2022-01-13,27,27,25,25,3686170
2022-01-14,24,24,24,24,303791
2022-01-17,23,23,23,23,150396
2022-01-18,22,22,22,22,836923
2022-01-19,21,21,21,21,176953
2022-01-20,20,20,20,20,51490
2022-01-21,19,19,19,19,96033
2022-01-24,18,18,18,18,169282
2022-01-25,17,17,17,17,36948
2022-01-26,16,18,16,18,2876511
2022-01-27,19,19,19,19,1890789
2022-01-28,20,20,19,20,1444527
2022-01-31,21,21,21,21,2096020
