date,open,high,low,close,volume
2026-06-14,33,33,32,32,823070
2026-06-21,32,34,32,34,4240876
2026-06-25,35,38,35,37,7949670
2026-07-05,37,47,37,47,16531586
2026-07-10,50,64,50,64,13241561
2026-07-17,68,83,68,68,15477695
2026-07-24,63,75,59,73,16657892
2026-07-31,73,74,62,66,9612897
2026-08-07,70,70,61,65,5785659
2026-08-14,66,69,64,68,8943114
2026-08-21,68,68,65,66,7648449
2026-08-29,66,67,65,65,7240557
2026-09-04,65,71,65,71,5606927
2026-09-10,70,70,70,70,684673
2026-09-18,70,70,70,70,289651
2026-09-24,64,68,64,68,873985
