date,open,high,low,close,volume
2026-06-13,2200,2230,2200,2230,5948
2026-06-14,2200,2230,2200,2230,5948
2026-06-16,2220,2220,2190,2190,5118
2026-06-17,2200,2200,2175,2175,5592
2026-06-19,2100,2160,2100,2160,3957
2026-06-20,2100,2160,2100,2160,3957
2026-06-21,2100,2160,2100,2160,3957
2026-06-22,2150,2150,2150,2150,3573
2026-06-23,2155,2155,2080,2080,18815
2026-06-24,2000,2000,1955,1955,12530
2026-06-25,1950,1955,1950,1955,9086
2026-06-29,1975,1975,1970,1970,8950
2026-06-30,1970,2000,1970,2000,11281
2026-07-01,2000,2000,2000,2000,3930
2026-07-02,2020,2050,2020,2050,4211
2026-07-03,2055,2055,2020,2020,3246
2026-07-05,2055,2055,2020,2020,3246
2026-07-06,2000,2000,1985,1985,5008
2026-07-07,1985,1985,1985,1985,4877
2026-07-08,1995,1995,1990,1990,2554
2026-07-09,1985,2000,1985,2000,3581
2026-07-10,1995,1995,1975,1975,5115
2026-07-13,1975,1990,1975,1990,5597
2026-07-14,1995,1995,1990,1990,3986
2026-07-15,1985,1985,1975,1975,4183
2026-07-16,1990,1995,1990,1995,4858
2026-07-17,2000,2000,1990,1990,7223
2026-07-20,1990,1990,1985,1985,3810
2026-07-21,1985,1990,1985,1990,1606
2026-07-22,1990,1990,1985,1985,1583
2026-07-23,1985,1985,1970,1970,2259
2026-07-24,1985,1985,1985,1985,4188
2026-07-27,1980,1980,1975,1975,6628
2026-07-28,1970,1970,1950,1950,4613
2026-07-29,1975,1975,1970,1970,2169
2026-07-30,1980,1980,1910,1910,3898
2026-07-31,1980,1980,1970,1970,861
2026-08-03,1970,1970,1910,1910,3008
2026-08-04,1920,1970,1920,1970,3316
2026-08-05,1970,1990,1970,1990,6025
2026-08-06,1990,2000,1990,2000,10905
2026-08-07,1990,2000,1990,2000,10905
2026-08-10,2100,2135,2100,2135,5553
2026-08-11,2135,2185,2135,2185,3214
2026-08-12,2200,2200,2190,2190,8724
2026-08-13,2200,2200,2190,2190,5011
2026-08-14,2190,2190,2190,2190,698
2026-08-17,2190,2190,2150,2150,1826
2026-08-18,2150,2150,2120,2120,1395
2026-08-19,2030,2150,2030,2150,4375
2026-08-20,2080,2180,2080,2180,1713
2026-08-21,2185,2185,2180,2180,2890
2026-08-24,2180,2180,2150,2150,3024
2026-08-25,2180,2180,2150,2150,3024
2026-08-26,2180,2180,2150,2150,4228
2026-08-28,2150,2155,2150,2155,7448
2026-08-29,2155,2160,2155,2160,1038
2026-08-31,2130,2155,2130,2155,1864
2026-09-01,2155,2155,2090,2090,4481
2026-09-02,2090,2180,2090,2180,1934
2026-09-03,2180,2180,2155,2155,3242
2026-09-04,2155,2155,2150,2150,2531
2026-09-10,2100,2100,2100,2100,2644
2026-09-18,2090,2095,2090,2095,763
2026-09-24,2000,2000,2000,2000,3176
