date,open,high,low,close,volume
2026-06-14,2200,2230,2200,2230,11896
2026-06-21,2220,2220,2100,2160,22581
2026-06-25,2150,2155,1950,1955,44004
2026-07-05,1975,2055,1970,2020,34864
2026-07-10,2000,2000,1975,1975,21135
2026-07-17,1975,2000,1975,1990,25847
2026-07-24,1990,1990,1970,1985,13446
2026-07-31,1980,1980,1910,1970,18169
2026-08-07,1970,2000,1910,2000,34159
2026-08-14,2100,2200,2100,2190,23200
2026-08-21,2190,2190,2030,2180,12199
2026-08-29,2180,2180,2150,2160,18762
2026-09-04,2130,2180,2090,2150,14052
2026-09-10,2100,2100,2100,2100,2644
2026-09-18,2090,2095,2090,2095,763
2026-09-24,2000,2000,2000,2000,3176
