date,open,high,low,close,volume
2026-06-13,3845,3845,3835,3835,1344
2026-06-14,3845,3845,3835,3835,1344
2026-06-16,3850,3900,3850,3900,14755
2026-06-17,3915,3985,3915,3985,2264
2026-06-19,4000,4100,4000,4100,2005
2026-06-20,4000,4100,4000,4100,2005
2026-06-21,4000,4100,4000,4100,2005
2026-06-22,4085,4085,4000,4000,1972
2026-06-23,3990,4000,3990,4000,1856
2026-06-24,4000,4000,4000,4000,1307
2026-06-25,4100,4200,4100,4200,11508
2026-06-29,4100,4400,4100,4400,3961
2026-06-30,4465,4465,4440,4440,2840
2026-07-01,4445,4445,4300,4300,820
2026-07-02,4300,4380,4300,4380,4112
2026-07-03,4380,4380,4350,4350,432
2026-07-05,4380,4380,4350,4350,432
2026-07-06,4350,4350,4340,4340,760
2026-07-07,4340,4340,4340,4340,2440
2026-07-08,4250,4250,4060,4060,727
2026-07-09,4105,4110,4105,4110,492
2026-07-10,4295,4415,4295,4415,13261
2026-07-13,4415,4415,4345,4345,10613
2026-07-14,4200,4340,4200,4340,420
2026-07-15,4315,4320,4315,4320,1507
2026-07-16,4155,4320,4155,4320,1682
2026-07-17,4320,4320,4300,4300,487
2026-07-20,4300,4300,4100,4100,3335
2026-07-21,4300,4300,4100,4100,200
2026-07-22,4195,4310,4195,4310,1497
2026-07-23,4310,4320,4310,4320,1378
2026-07-24,4315,4315,4305,4305,1012
2026-07-27,4305,4305,4215,4215,424
2026-07-28,4300,4350,4300,4350,2488
2026-07-29,4350,4350,4350,4350,1306
2026-07-30,4350,4350,4350,4350,6266
2026-07-31,4350,4500,4350,4500,1094
2026-08-03,4835,4835,4560,4560,9055
2026-08-04,4560,4560,4400,4400,4270
2026-08-05,4300,4300,4300,4300,1866
2026-08-06,4300,4300,4300,4300,4261
2026-08-07,4300,4300,4300,4300,4261
2026-08-10,4300,4300,4295,4295,16471
2026-08-11,4290,4290,4245,4245,2956
2026-08-12,4150,4245,4150,4245,14809
2026-08-13,4240,4240,4000,4000,7009
2026-08-14,4100,4100,4100,4100,2006
2026-08-17,4100,4100,4055,4055,1397
2026-08-18,4100,4135,4100,4135,9960
2026-08-19,4135,4180,4135,4180,5926
2026-08-20,4200,4200,4100,4100,2337
2026-08-21,4100,4100,4095,4095,15058
2026-08-24,4095,4095,4075,4075,5228
2026-08-25,4095,4095,4075,4075,5228
2026-08-26,4100,4100,4095,4095,6744
2026-08-28,4000,4005,4000,4005,7491
2026-08-29,4085,4085,4000,4000,18125
2026-08-31,4080,4080,4000,4000,3377
2026-09-01,4000,4005,4000,4005,30375
2026-09-02,4000,4000,4000,4000,5568
2026-09-03,4000,4050,4000,4050,7353
2026-09-04,4000,4050,4000,4050,11453
2026-09-10,4095,4095,4050,4050,1386
2026-09-18,4000,4000,3960,3960,969
2026-09-24,3705,3975,3705,3975,4204
