date,open,high,low,close,volume
2026-06-14,3845,3845,3835,3835,2688
2026-06-21,3850,4100,3850,4100,23034
2026-06-25,4085,4200,3990,4200,16643
2026-07-05,4100,4465,4100,4350,12597
2026-07-10,4350,4415,4060,4415,17680
2026-07-17,4415,4415,4155,4300,14709
2026-07-24,4300,4320,4100,4305,7422
2026-07-31,4305,4500,4215,4500,11578
2026-08-07,4835,4835,4300,4300,23713
2026-08-14,4300,4300,4000,4100,43251
2026-08-21,4100,4200,4055,4095,34678
2026-08-29,4095,4100,4000,4000,42816
2026-09-04,4080,4080,4000,4050,58126
2026-09-10,4095,4095,4050,4050,1386
2026-09-18,4000,4000,3960,3960,969
2026-09-24,3705,3975,3705,3975,4204
