date,open,high,low,close,volume
2026-06-13,2015,2115,2015,2115,3956
2026-06-14,2015,2115,2015,2115,3956
2026-06-16,2230,2345,2230,2345,2212
2026-06-17,2345,2385,2345,2385,1998
2026-06-19,2300,2375,2300,2375,2053
2026-06-20,2300,2375,2300,2375,2053
2026-06-21,2300,2375,2300,2375,2053
2026-06-22,2375,2375,2350,2350,1301
2026-06-23,2350,2350,2340,2340,300
2026-06-24,2320,2320,2300,2300,921
2026-06-25,2300,2300,2285,2285,6286
2026-06-29,2400,2400,2350,2350,1834
2026-06-30,2350,2350,2330,2330,522
2026-07-01,2330,2330,2275,2275,2178
2026-07-02,2270,2270,2270,2270,1636
2026-07-03,2275,2275,2270,2270,851
2026-07-05,2275,2275,2270,2270,851
2026-07-06,2180,2185,2180,2185,1633
2026-07-07,2185,2185,2175,2175,5012
2026-07-08,2180,2180,2120,2120,1526
2026-07-09,2100,2100,2095,2095,2979
2026-07-10,2095,2095,2000,2000,3530
2026-07-13,2000,2150,2000,2150,3348
2026-07-14,2310,2310,2310,2310,1880
2026-07-15,2320,2320,2310,2310,5865
2026-07-16,2300,2300,2150,2150,911
2026-07-17,2150,2295,2150,2295,2011
2026-07-20,2150,2190,2150,2190,751
2026-07-21,2190,2200,2190,2200,1725
2026-07-22,2200,2200,2200,2200,1081
2026-07-23,2200,2200,2190,2190,1729
2026-07-24,2050,2250,2050,2250,1596
2026-07-27,2250,2280,2250,2280,1271
2026-07-28,2290,2290,2280,2280,1396
2026-07-29,2300,2300,2290,2290,696
2026-07-30,2290,2300,2290,2300,2960
2026-07-31,2290,2290,2280,2280,1257
2026-08-03,2280,2280,2280,2280,643
2026-08-04,2270,2270,2260,2260,891
2026-08-05,2260,2260,2260,2260,1983
2026-08-06,2260,2260,2115,2115,878
2026-08-07,2260,2260,2115,2115,878
2026-08-10,2270,2270,2265,2265,1702
2026-08-11,2260,2260,2260,2260,1085
2026-08-12,2250,2260,2250,2260,1782
2026-08-13,2260,2260,2200,2200,1850
2026-08-14,2260,2260,2200,2200,1364
2026-08-17,2200,2200,2175,2175,958
2026-08-18,2175,2180,2175,2180,1269
2026-08-19,2180,2195,2180,2195,909
2026-08-20,2200,2350,2200,2350,1263
2026-08-21,2350,2400,2350,2400,1450
2026-08-24,2475,2500,2475,2500,4196
2026-08-25,2475,2500,2475,2500,4196
2026-08-26,2600,2680,2600,2680,2228
2026-08-28,2880,2880,2800,2800,4927
2026-08-29,3000,3000,3000,3000,4044
2026-08-31,3000,3000,2990,2990,3109
2026-09-01,3000,3000,3000,3000,3839
2026-09-02,3000,3000,3000,3000,3814
2026-09-03,3035,3035,3000,3000,3826
2026-09-04,3000,3000,3000,3000,2204
2026-09-10,2840,2840,2630,2630,2551
2026-09-18,2550,2550,2360,2360,473
2026-09-24,2405,2405,2400,2400,5965
