date,open,high,low,close,volume
2021-07-30,365,400,320,320,40166
2021-08-31,300,625,300,530,286207
2021-09-30,500,590,490,500,154699
2021-10-29,535,535,490,510,29777
2021-11-30,585,670,505,575,85440
2021-12-31,575,625,525,625,43906
2022-01-31,615,625,560,625,39815
2022-02-28,600,955,600,780,91314
2022-03-31,770,845,650,800,47097
2022-04-29,800,870,770,840,37730
2022-05-31,795,800,580,655,75211
2022-06-30,655,675,600,625,7592
2022-07-29,645,725,610,720,7520
2022-08-31,720,725,645,725,29615
2022-09-30,725,725,605,695,9170
2022-10-31,700,760,610,760,70684
2022-11-30,805,805,675,715,11178
2022-12-30,665,810,665,800,10730
2023-01-31,750,775,600,700,3802
2023-02-28,700,700,610,695,7602
2023-03-31,695,695,600,680,5386
2023-04-28,680,680,625,665,4432
2023-05-31,620,690,605,680,6430
2023-06-30,680,700,630,695,7916
2023-07-31,695,700,640,700,7957
2023-08-31,700,705,605,630,4869
2023-09-28,630,675,610,640,5261
2023-10-31,635,645,580,600,4559
2023-11-29,580,660,550,625,15812
2023-12-29,620,755,600,725,28005
2024-01-31,725,740,585,650,73666
2024-02-28,650,750,580,750,13790
2024-03-29,720,720,610,660,8882
2024-04-30,650,780,600,760,31494
2024-05-31,765,860,695,845,43749
2024-06-28,845,890,740,845,20229
2024-07-31,840,845,715,775,8231
2024-08-30,775,785,715,785,45197
2024-09-30,785,785,715,780,172554
2024-10-31,785,815,685,790,64398
2024-11-29,815,815,710,780,11554
2024-12-31,780,780,685,750,4613
2025-01-31,750,750,620,740,36403
2025-02-28,745,745,685,730,8273
2025-03-28,740,740,680,730,11963
2025-04-30,730,730,535,595,28968
2025-05-30,595,600,515,555,93349
2025-06-30,555,615,525,595,35302
2025-07-31,595,600,550,595,11616
2025-08-29,595,635,550,630,14876
2025-09-30,635,690,635,680,24944
2025-10-31,680,825,640,825,86241
2025-11-28,885,1095,830,905,73980
2025-12-31,905,1200,880,1200,68731
2026-01-30,1190,1290,980,1205,165607
2026-02-27,1205,1600,1200,1450,137481
2026-03-31,1450,1470,1300,1405,52320
2026-04-30,1405,1955,1325,1900,305982
2026-05-29,1880,1995,1700,1950,85969
2026-06-30,1980,2400,1955,2330,59035
2026-07-31,2330,2390,1990,2280,47822
2026-08-31,2280,3010,2115,2990,36531
2026-09-24,3000,3100,2130,2400,52003
