date,open,high,low,close,volume
2021-07-30,365,400,320,320,40166
2021-08-06,300,340,300,330,31459
2021-08-13,350,370,315,365,104360
2021-08-20,390,510,380,510,56291
2021-08-27,510,625,495,530,36164
2021-09-03,510,590,500,565,97211
2021-09-10,565,565,495,525,7321
2021-09-17,505,550,490,525,9646
2021-09-24,550,550,490,540,25092
2021-10-01,550,560,500,535,73363
2021-10-08,530,530,490,500,13749
2021-10-15,500,535,500,510,3231
2021-10-22,530,530,490,490,5902
2021-10-29,490,525,490,510,6894
2021-11-05,585,670,585,655,24330
2021-11-12,665,665,550,590,9233
2021-11-19,550,590,505,540,45774
2021-11-26,515,580,515,535,3262
2021-12-03,535,580,535,550,6378
2021-12-09,575,580,525,535,6028
2021-12-17,535,575,535,570,9595
2021-12-24,610,615,575,610,16205
2021-12-31,610,625,580,625,8541
2022-01-06,615,615,565,590,3402
2022-01-14,590,590,560,560,10634
2022-01-21,570,595,565,590,4520
2022-01-28,590,605,590,605,15419
2022-02-04,605,650,600,650,14147
2022-02-11,650,790,620,750,22086
2022-02-18,800,890,740,890,25361
2022-02-25,890,955,750,790,29735
2022-03-04,780,800,735,760,15379
2022-03-11,710,740,650,705,6672
2022-03-18,710,755,710,745,8042
2022-03-25,770,800,750,800,6097
2022-04-01,800,845,800,810,17509
2022-04-08,770,835,770,800,2600
2022-04-15,800,820,770,800,17668
2022-04-22,805,815,800,810,5610
2022-04-29,820,870,810,840,11075
2022-05-06,795,800,625,625,31867
2022-05-13,585,625,580,590,13862
2022-05-20,625,655,590,655,9830
2022-05-27,625,675,625,645,2192
2022-06-02,605,655,600,655,17723
2022-06-10,645,645,600,645,797
2022-06-17,645,650,610,645,958
2022-06-24,655,655,630,645,4246
2022-07-01,655,675,625,645,1381
2022-07-08,625,645,610,645,2719
2022-07-15,645,670,640,640,1443
2022-07-22,640,725,640,725,2178
2022-07-29,680,725,680,720,1127
2022-08-05,720,720,660,700,2821
2022-08-12,695,700,650,700,7311
2022-08-19,685,700,645,690,2876
2022-08-26,685,720,685,710,10840
2022-09-01,710,725,680,680,5832
2022-09-09,680,715,640,680,864
2022-09-16,680,680,605,660,2991
2022-09-23,660,715,630,705,5020
2022-09-30,700,700,695,695,230
2022-10-07,700,700,645,650,758
2022-10-14,650,695,645,650,28111
2022-10-21,650,715,610,715,16729
2022-10-28,715,760,670,760,25079
2022-11-04,760,805,750,780,2201
2022-11-09,780,795,740,780,5227
2022-11-18,780,780,725,725,3638
2022-11-25,725,725,675,725,79
2022-11-30,720,720,715,715,40
2022-12-09,665,775,665,775,6804
2022-12-16,770,810,770,795,976
2022-12-23,740,750,685,750,418
2022-12-30,800,800,735,800,2532
2023-01-06,750,775,695,695,125
2023-01-13,690,690,635,635,1245
2023-01-19,640,640,600,640,1183
2023-01-27,640,700,640,700,1241
2023-02-02,700,700,695,695,98
2023-02-10,695,695,610,650,4130
2023-02-15,650,695,650,695,3080
2023-02-24,695,695,640,695,129
2023-03-01,685,695,635,695,183
2023-03-10,690,690,650,690,376
2023-03-17,680,690,650,690,684
2023-03-24,685,690,600,690,1771
2023-03-31,690,690,640,680,2545
2023-04-03,680,680,630,680,391
2023-04-14,680,680,630,680,517
2023-04-19,630,675,630,675,188
2023-04-28,670,675,625,665,3336
2023-05-05,620,665,620,665,714
2023-05-11,620,650,605,650,512
2023-05-19,690,690,605,670,1603
2023-05-26,670,670,650,670,1346
2023-06-01,660,690,660,680,2344
2023-06-09,630,680,630,680,944
2023-06-16,675,675,660,675,170
2023-06-22,680,680,645,680,485
2023-06-30,680,700,680,695,6228
2023-07-06,695,695,650,695,4977
2023-07-13,700,700,690,690,622
2023-07-21,690,690,640,690,790
2023-07-28,690,700,685,700,1458
2023-08-04,700,700,635,700,3084
2023-08-10,700,705,650,680,92
2023-08-18,675,675,675,675,490
2023-08-25,660,660,645,645,390
2023-09-01,650,650,605,610,1053
2023-09-08,630,630,610,630,1601
2023-09-15,630,675,630,665,2313
2023-09-22,660,660,620,650,758
2023-09-28,645,645,640,640,459
2023-10-06,635,640,580,640,3392
2023-10-13,640,645,600,635,394
2023-10-20,635,635,615,625,162
2023-10-27,620,620,610,620,283
2023-11-03,615,615,550,590,1587
2023-11-10,590,630,585,600,2456
2023-11-17,600,600,600,600,204
2023-11-24,600,660,590,640,4834
2023-12-01,595,640,590,615,7075
2023-12-07,615,660,600,660,1507
2023-12-15,650,705,615,705,8015
2023-12-22,700,730,630,730,12717
2023-12-29,700,755,680,725,5750
2024-01-05,725,740,650,740,60595
2024-01-11,685,730,670,670,365
2024-01-19,670,670,620,650,234
2024-01-26,605,605,585,595,1621
2024-02-02,595,680,590,630,10984
