date,open,high,low,close,volume
2021-07-29,4750,5000,4750,4950,1445
2021-08-31,5000,5100,4900,5000,57172
2021-09-30,5000,6605,4800,5925,55794
2021-10-29,5900,6450,5550,6400,21878
2021-11-30,6300,6300,6010,6195,18081
2021-12-31,6010,6500,5690,6185,29310
2022-01-31,6185,6185,5500,5995,8260
2022-02-28,5755,5995,5320,5650,21420
2022-03-31,5750,6000,5350,5800,50956
2022-04-29,5800,5995,5500,5850,49988
2022-05-31,5750,5850,5300,5840,24173
2022-06-30,5795,5965,5200,5850,24512
2022-07-29,5700,5970,5350,5600,8970
2022-08-31,5600,5955,5000,5595,24007
2022-09-30,5540,5610,5200,5300,26465
2022-10-31,5295,5300,4900,5000,35179
2022-11-30,4905,5000,4400,4400,17501
2022-12-30,4395,6200,4205,5975,130829
2023-01-31,5890,5890,4625,4975,4334
2023-02-28,4975,5095,4620,4980,13225
2023-03-31,4800,5000,4605,4900,32934
2023-04-28,4900,5100,4655,5000,6405
2023-05-31,4900,5400,4810,5290,7804
2023-06-30,5000,5300,5000,5245,15020
2023-07-31,5250,5900,5000,5700,15718
2023-08-31,5695,6100,5400,5500,28611
2023-09-29,5610,6350,5610,6315,6682
2023-10-31,6300,6315,5875,6100,30586
2023-11-30,6080,6300,5425,5800,33838
2023-12-29,5800,6020,5355,6000,44025
2024-01-31,5990,5990,5320,5760,13032
2024-02-29,5760,5800,5455,5750,15429
2024-03-29,5745,5745,5250,5690,30337
2024-04-30,5650,6120,5090,5690,20320
2024-05-31,5800,6000,5600,5995,13716
2024-06-28,6000,6300,5900,6290,20532
2024-07-31,6295,6300,5900,5995,43492
2024-08-30,5950,6500,5865,6495,29506
2024-09-30,6495,6595,6150,6300,51076
2024-10-31,6300,7955,6100,7805,37597
2024-11-29,7805,7805,7200,7580,33724
2024-12-31,7580,7590,7000,7090,27209
2025-01-31,7090,7650,7050,7590,31187
2025-02-28,7590,9240,7590,8620,24801
2025-03-28,8830,9000,8100,8400,45695
2025-04-30,8400,8400,7595,7950,42544
2025-05-30,7955,8855,7955,8650,56415
2025-06-30,8800,10650,8600,10210,47201
2025-07-31,10400,10455,9000,9600,33423
2025-08-29,9500,10000,9220,10000,55445
2025-09-30,9710,11815,9710,11500,37186
2025-10-31,11450,12240,10970,12000,51304
2025-11-28,11490,12000,11000,11990,36712
2025-12-31,11905,11990,10990,11445,24634
2026-01-30,11445,12395,11000,12395,22757
2026-02-27,12400,15000,12400,14700,34287
2026-03-31,14805,14990,13500,14100,52522
2026-04-30,14100,14500,12860,13900,34966
2026-05-29,14920,19000,13780,18000,47210
2026-06-30,17990,20000,17900,19650,44445
2026-07-31,19655,24500,19555,24000,31350
2026-08-31,24500,24500,22450,22995,53034
2026-09-24,23000,26000,20000,21880,78841
