date,open,high,low,close,volume
2026-06-14,19500,19500,19150,19150,15580
2026-06-21,19120,19155,18950,19155,7222
2026-06-25,19200,19500,19200,19500,3919
2026-07-05,19750,20000,19650,20000,4127
2026-07-10,20000,21950,20000,21695,5795
2026-07-17,21490,23650,21000,23650,12424
2026-07-24,23650,23995,22000,23400,7120
2026-07-31,23500,24000,23015,24000,4289
2026-08-07,24500,24500,23550,23550,2653
2026-08-14,23540,23845,23000,23015,15400
2026-08-21,23015,23210,22900,22900,14473
2026-08-29,22905,22905,22500,22500,15480
2026-09-04,22500,23150,22500,23150,38564
2026-09-10,24500,24500,24450,24450,1392
2026-09-18,24500,24510,24500,24510,1818
2026-09-24,20500,21880,20500,21880,5312
