date,open,high,low,close,volume
2026-06-13,15000,15000,15000,15000,1981
2026-06-14,15000,15000,15000,15000,1981
2026-06-16,15050,15050,14850,14850,2121
2026-06-17,14850,14850,14650,14650,913
2026-06-19,14800,15005,14800,15005,839
2026-06-20,14800,15005,14800,15005,839
2026-06-21,14800,15005,14800,15005,839
2026-06-22,15005,15100,15005,15100,373
2026-06-23,15010,15100,15010,15100,932
2026-06-24,15100,15100,15000,15000,6230
2026-06-25,15000,15000,14995,14995,745
2026-06-29,14900,14900,14760,14760,957
2026-06-30,14760,15495,14760,15495,847
2026-07-01,15495,15990,15495,15990,1095
2026-07-02,16150,16490,16150,16490,1777
2026-07-03,16490,16500,16490,16500,864
2026-07-05,16490,16500,16490,16500,864
2026-07-06,16495,16495,16480,16480,678
2026-07-07,16480,16480,16380,16380,696
2026-07-08,16450,16450,16450,16450,1621
2026-07-09,16450,16450,16395,16395,1479
2026-07-10,16395,16395,16250,16250,192
2026-07-13,15555,16000,15555,16000,1066
2026-07-14,15650,16000,15650,16000,1441
2026-07-15,15900,15930,15900,15930,384
2026-07-16,15930,16000,15930,16000,808
2026-07-17,15930,15930,15800,15800,494
2026-07-20,15800,15985,15800,15985,229
2026-07-21,15975,15985,15975,15985,554
2026-07-22,16000,16100,16000,16100,2184
2026-07-23,16200,16495,16200,16495,423
2026-07-24,16495,16495,16490,16490,395
2026-07-27,16490,16490,16490,16490,513
2026-07-28,16495,16550,16495,16550,979
2026-07-29,16550,16550,16505,16505,460
2026-07-30,16505,16505,16505,16505,180
2026-07-31,16490,16500,16490,16500,356
2026-08-03,16500,16550,16500,16550,1778
2026-08-04,16500,16700,16500,16700,909
2026-08-05,16700,16750,16700,16750,146
2026-08-06,16750,16750,16595,16595,384
2026-08-07,16750,16750,16595,16595,384
2026-08-10,16700,16700,16615,16615,350
2026-08-11,16725,16900,16725,16900,384
2026-08-12,16900,17450,16900,17450,421
2026-08-13,17450,17450,17450,17450,390
2026-08-14,17450,17450,17450,17450,231
2026-08-17,17450,17450,17400,17400,263
2026-08-18,17350,17350,17350,17350,360
2026-08-19,17345,17345,17000,17000,2701
2026-08-20,17250,17250,17000,17000,838
2026-08-21,17000,17000,17000,17000,353
2026-08-24,17000,17000,16900,16900,1138
2026-08-25,17000,17000,16900,16900,1138
2026-08-26,16900,16900,16900,16900,850
2026-08-28,16900,16900,16900,16900,2463
2026-08-29,16905,16905,15900,15900,1745
2026-08-31,15915,16750,15915,16750,1395
2026-09-01,16750,16750,16200,16200,783
2026-09-02,16750,16750,16700,16700,896
2026-09-03,16700,16900,16700,16900,1642
2026-09-04,16900,16900,16900,16900,5096
2026-09-10,17000,17000,16890,16890,3374
2026-09-18,16300,16300,15800,15800,2831
2026-09-24,14000,14500,14000,14500,1346
