date,open,high,low,close,volume
2021-07-30,4000,4250,3690,3695,6296
2021-08-31,3695,4000,3410,3900,10406
2021-09-30,3910,4000,3700,3700,301167
2021-10-29,3705,5600,3650,5200,83637
2021-11-30,5000,5050,4200,4700,42876
2021-12-31,4675,4710,4550,4605,62681
2022-01-31,4670,5745,4605,5745,38258
2022-02-28,5730,5730,5000,5650,18829
2022-03-31,5550,6750,5550,6750,13792
2022-04-29,6750,8570,5700,7755,53138
2022-05-31,7325,7680,6700,7535,69668
2022-06-30,7500,7520,6810,7180,33817
2022-07-29,7190,7695,6230,6940,50626
2022-08-31,6940,7150,6290,7150,86770
2022-09-30,7145,7150,6155,7100,137780
2022-10-31,7100,7100,6050,6400,10799
2022-11-30,6350,7095,5950,7095,17153
2022-12-30,6770,8555,6770,8245,142918
2023-01-31,7990,7990,6570,6895,7251
2023-02-28,6825,7495,6500,7000,47463
2023-03-31,6950,7140,6665,6900,19847
2023-04-28,6805,7500,6505,7475,26550
2023-05-31,7475,7985,7195,7730,5069
2023-06-30,7695,7730,7300,7695,5485
2023-07-31,7730,9400,7680,9295,21600
2023-08-31,9290,9290,7900,8150,89957
2023-09-28,8150,9400,7900,9400,24147
2023-10-31,9000,9000,7020,7900,9104
2023-11-30,7900,7900,6890,7785,33806
2023-12-29,7785,7785,6410,7385,77208
2024-01-31,7295,7400,6755,7175,1946
2024-02-29,7175,7175,6475,6990,3324
2024-03-29,6990,6995,6250,6900,19921
2024-04-30,6890,6900,6500,6900,10304
2024-05-31,6900,7750,6600,7490,36975
2024-06-28,7500,7995,7350,7500,72665
2024-07-31,7500,8000,7300,8000,90587
2024-08-30,8000,8000,6915,7000,92112
2024-09-30,7100,7190,6965,7000,61441
2024-10-31,7000,8000,6900,7875,248358
2024-11-29,7875,7995,7700,7995,125572
2024-12-31,7995,7995,7850,7960,31767
2025-01-31,7960,8400,7885,8400,38104
2025-02-28,8390,9485,8320,9400,77309
2025-03-28,9355,10300,9095,9995,119768
2025-04-30,9995,10000,9160,9990,41610
2025-05-30,9900,10700,9500,10700,104317
2025-06-30,10640,11500,10640,11140,35194
2025-07-31,11135,12100,11135,12005,63430
2025-08-29,12005,12850,11900,12535,43165
2025-09-30,12555,13400,12500,12935,40820
2025-10-31,12935,15495,12935,14110,18779
2025-11-28,13060,13060,9600,11450,39543
2025-12-31,11450,11530,10500,10650,21758
2026-01-30,10650,11500,10350,11000,83641
2026-02-27,11500,13350,11250,12505,15095
2026-03-31,12500,13250,12125,12800,64820
2026-04-30,12800,12800,11500,12340,60820
2026-05-29,12340,13425,10900,12800,21510
2026-06-30,12055,15655,12055,15495,33420
2026-07-31,15495,16790,15495,16500,18868
2026-08-31,16500,17490,15805,16750,17099
2026-09-24,16750,18165,14000,14500,34447
