date,open,high,low,close,volume
2021-07-30,4000,4250,3690,3695,6296
2021-08-06,3695,3800,3615,3690,2420
2021-08-13,3690,3900,3410,3700,4055
2021-08-20,3900,3900,3700,3820,275
2021-08-27,3820,4000,3820,3900,2841
2021-09-03,3850,3910,3850,3885,3660
2021-09-10,3900,3950,3850,3900,3058
2021-09-17,3950,3950,3900,3900,1319
2021-09-24,3900,4000,3800,3890,72704
2021-10-01,3900,3900,3650,3900,239124
2021-10-08,3900,3950,3700,3910,9754
2021-10-15,3930,4000,3900,4000,48179
2021-10-22,4000,4955,3920,4955,1229
2021-10-29,5100,5600,4955,5200,6592
2021-11-05,5000,5000,4800,4800,2896
2021-11-12,4800,4800,4200,4210,6888
2021-11-19,4210,4670,4210,4670,2579
2021-11-26,4665,5050,4550,5050,11588
2021-12-03,4680,4710,4600,4665,35510
2021-12-10,4700,4700,4555,4670,26319
2021-12-17,4670,4670,4550,4665,5704
2021-12-24,4670,4670,4600,4650,11887
2021-12-31,4650,4670,4600,4605,2186
2022-01-07,4670,4670,4605,4665,1942
2022-01-14,4665,4900,4665,4800,21565
2022-01-21,4800,5150,4670,5130,9089
2022-01-28,5145,5440,5110,5440,3691
2022-02-04,5450,5745,5280,5300,5388
2022-02-11,5300,5400,5000,5275,4152
2022-02-18,5275,5500,5000,5500,8103
2022-02-25,5500,5650,5090,5630,2658
2022-03-04,5630,6000,5550,5800,2395
2022-03-11,5800,5800,5550,5795,3181
2022-03-18,5680,5800,5605,5650,773
2022-03-25,5615,5820,5600,5820,3510
2022-04-01,5700,6790,5700,6790,4795
2022-04-08,6700,6745,5700,6400,642
2022-04-15,6100,6665,6000,6665,1115
2022-04-22,7160,8570,7160,8500,34502
2022-04-29,7865,7995,7185,7755,16516
2022-05-06,7325,7680,7290,7300,3823
2022-05-13,7300,7300,7000,7200,1720
2022-05-20,6700,7100,6700,7000,2811
2022-05-27,7000,7200,6900,6930,47193
2022-06-03,6950,7535,6900,7000,24746
2022-06-10,7000,7350,6900,6995,4878
2022-06-17,6995,7000,6915,7000,5604
2022-06-24,7000,7205,6810,7200,6457
2022-07-01,7200,7200,6900,7180,7331
2022-07-08,7180,7195,7000,7000,1724
2022-07-15,7100,7200,6900,7000,4919
2022-07-22,7000,7200,7000,7185,16092
2022-07-29,7185,7695,6230,6940,26813
2022-08-05,6940,6940,6375,6590,4352
2022-08-12,6545,6590,6360,6495,7562
2022-08-19,6400,6740,6300,6725,56007
2022-08-26,6295,7000,6290,6950,14904
2022-09-02,6950,7150,6450,6700,12606
2022-09-09,6600,6695,6155,6535,30808
2022-09-16,6200,6895,6200,6800,29862
2022-09-23,6495,6790,6200,6780,62007
2022-09-30,6700,7100,6290,7100,6442
2022-10-07,7100,7100,6570,6920,2023
2022-10-14,6920,6920,6600,6890,524
2022-10-21,6890,6890,6050,6480,7392
2022-10-28,6490,6490,6060,6400,845
2022-11-04,6400,6400,6150,6400,2984
2022-11-11,6390,6390,6000,6350,2261
2022-11-18,6350,6350,5950,6300,4669
2022-11-25,6300,6300,5950,6295,372
2022-12-02,6000,7390,6000,7390,7381
2022-12-09,6840,8000,6840,8000,10099
2022-12-16,7875,8555,7365,8495,71196
2022-12-23,8400,8495,8000,8300,36399
2022-12-30,8250,8400,7680,8245,24725
2023-01-06,7990,7990,7355,7355,114
2023-01-13,7355,7790,6670,7050,510
2023-01-20,6950,7505,6910,7100,3348
2023-01-27,6900,7100,6900,7095,2931
2023-02-03,6950,6950,6500,6895,781
2023-02-10,6895,7495,6895,7480,39546
2023-02-17,7335,7335,6950,7200,2677
2023-02-24,7180,7200,6660,7100,4127
2023-03-03,7100,7140,6665,7000,4382
2023-03-10,7000,7000,6705,6990,4901
2023-03-17,6990,6990,6750,6900,842
2023-03-24,6900,6990,6665,6990,8463
2023-03-31,6980,6980,6800,6900,1939
2023-04-06,6805,6950,6700,6860,498
2023-04-14,6505,6900,6505,6900,351
2023-04-19,6710,6900,6700,6800,176
2023-04-28,6700,7500,6600,7475,25525
2023-05-05,7475,7985,7385,7900,2397
2023-05-12,7900,7900,7310,7885,980
2023-05-19,7885,7885,7500,7750,625
2023-05-26,7895,7895,7195,7715,620
2023-06-02,7700,7730,7300,7730,594
2023-06-09,7730,7730,7365,7700,860
2023-06-16,7700,7730,7585,7725,621
2023-06-23,7695,7695,7310,7650,2711
2023-06-30,7505,7695,7505,7695,1146
2023-07-07,7730,7730,7680,7705,2419
2023-07-14,7730,8095,7710,8095,2672
2023-07-21,8095,8350,7995,8350,7859
2023-07-28,8375,9000,8105,9000,7787
2023-08-04,9100,9400,8500,8800,64611
2023-08-11,8800,8800,7925,8495,17271
2023-08-18,8495,8495,8100,8390,3174
2023-08-25,8390,8490,7900,8480,5238
2023-09-01,8480,8480,8020,8150,872
2023-09-08,8100,8480,8100,8480,4480
2023-09-15,8300,8485,7900,8480,15014
2023-09-22,8010,8600,7970,8500,2615
2023-09-28,8495,9400,8035,9400,1692
2023-10-06,9000,9000,7020,7895,6494
2023-10-13,7895,8500,7445,8445,1976
2023-10-20,7815,8395,7705,8150,326
2023-10-27,8150,8150,7950,7950,252
2023-11-03,7940,7940,7890,7890,636
2023-11-10,7890,7900,7300,7885,921
2023-11-17,7880,7880,7265,7790,13523
2023-11-24,7790,7790,6890,7100,10553
2023-12-01,7100,7890,7100,7630,8407
2023-12-08,7105,7785,7105,7740,11002
2023-12-15,7740,7740,6595,6980,36091
2023-12-22,6500,7500,6410,7500,25743
2023-12-29,7095,7485,6955,7385,4194
2024-01-05,7295,7400,6950,7385,775
2024-01-12,7380,7380,6890,7350,387
2024-01-19,7350,7350,6890,7345,292
2024-01-26,7300,7340,6755,7295,191
2024-02-02,6950,7200,6945,7150,512
2024-02-09,6800,7000,6475,6995,1184
2024-02-16,6995,6995,6695,6990,302
2024-02-23,6990,7100,6800,7100,628
2024-03-01,7000,7000,6500,6990,1054
2024-03-08,6990,6990,6605,6850,221
2024-03-15,6615,6890,6400,6770,1870
2024-03-22,6770,6770,6500,6700,16179
2024-03-29,6600,6900,6250,6900,1596
2024-04-05,6890,6900,6500,6900,1471
2024-04-12,6900,6900,6510,6850,325
2024-04-19,6850,6895,6640,6890,5717
2024-04-26,6890,6900,6550,6900,2393
2024-05-03,6900,6900,6865,6900,1145
2024-05-10,6900,7750,6600,7580,7080
2024-05-17,7530,7600,7105,7490,3055
2024-05-24,7490,7550,7300,7550,1847
2024-05-31,7550,7550,7400,7490,24246
2024-06-07,7500,7700,7385,7500,32768
2024-06-14,7400,7500,7390,7495,14818
2024-06-21,7500,7995,7380,7495,14946
2024-06-28,7495,7500,7350,7500,10133
2024-07-05,7500,7800,7350,7800,40902
