date,open,high,low,close,volume
2026-06-13,2805,2815,2805,2815,1813
2026-06-14,2805,2815,2805,2815,1813
2026-06-16,2860,2860,2805,2805,1476
2026-06-17,2850,2850,2840,2840,3323
2026-06-19,2750,2750,2700,2700,7084
2026-06-20,2750,2750,2700,2700,7084
2026-06-21,2750,2750,2700,2700,7084
2026-06-22,2700,2800,2700,2800,8562
2026-06-23,2800,2800,2800,2800,3027
2026-06-24,2800,2800,2800,2800,2950
2026-06-25,2800,2805,2800,2805,4628
2026-06-29,2820,2820,2800,2800,2043
2026-06-30,2800,2800,2800,2800,4149
2026-07-01,2850,2850,2800,2800,2393
2026-07-02,2800,2805,2800,2805,16177
2026-07-03,2805,2805,2800,2800,4760
2026-07-05,2805,2805,2800,2800,4760
2026-07-06,2800,2845,2800,2845,9306
2026-07-07,2845,2845,2825,2825,2572
2026-07-08,2820,2820,2795,2795,2415
2026-07-09,2795,2795,2790,2790,1275
2026-07-10,2790,2800,2790,2800,2751
2026-07-13,2800,2800,2700,2700,15584
2026-07-14,2660,2700,2660,2700,5025
2026-07-15,2700,2745,2700,2745,15499
2026-07-16,2745,2745,2695,2695,3157
2026-07-17,2695,2695,2675,2675,2113
2026-07-20,2675,2675,2675,2675,1921
2026-07-21,2600,2745,2600,2745,84400
2026-07-22,2675,2745,2675,2745,3749
2026-07-23,2795,2795,2775,2775,2975
2026-07-24,2775,2800,2775,2800,4820
2026-07-27,2800,2800,2790,2790,4478
2026-07-28,2790,2795,2790,2795,5091
2026-07-29,2795,2850,2795,2850,5162
2026-07-30,2825,2825,2805,2805,2105
2026-07-31,2805,2995,2805,2995,5108
2026-08-03,2995,2995,2990,2990,2793
2026-08-04,2990,2990,2940,2940,1986
2026-08-05,2940,2985,2940,2985,6058
2026-08-06,2940,2940,2940,2940,1693
2026-08-07,2940,2940,2940,2940,1693
2026-08-10,2940,2940,2910,2910,7424
2026-08-11,2910,2910,2905,2905,2378
2026-08-12,2905,2905,2900,2900,1214
2026-08-13,2900,2900,2800,2800,3132
2026-08-14,2800,2800,2800,2800,1637
2026-08-17,2805,2900,2805,2900,8368
2026-08-18,2900,2900,2900,2900,5976
2026-08-19,2850,2945,2850,2945,15573
2026-08-20,2945,2945,2940,2940,3925
2026-08-21,2940,2940,2885,2885,4845
2026-08-24,2890,2890,2890,2890,6198
2026-08-25,2890,2890,2890,2890,6198
2026-08-26,2890,2890,2885,2885,1957
2026-08-28,2885,2900,2885,2900,14630
2026-08-29,2900,2900,2900,2900,1844
2026-08-31,2900,2900,2890,2890,5337
2026-09-01,2890,2900,2890,2900,7254
2026-09-02,2900,2900,2805,2805,8058
2026-09-03,2840,2920,2840,2920,2075
2026-09-04,2920,2920,2920,2920,3914
2026-09-10,2860,2870,2860,2870,5562
2026-09-18,2890,2890,2890,2890,682
2026-09-24,2760,2760,2760,2760,1372
