date,open,high,low,close,volume
2021-07-30,3625,3650,3600,3605,46488
2021-08-06,3625,3625,3600,3620,12975
2021-08-13,3620,3625,3605,3610,15815
2021-08-20,3625,3995,3620,3795,44273
2021-08-27,3795,3850,3665,3825,53715
2021-09-03,3825,4090,3820,4000,48184
2021-09-10,4000,4100,3860,4000,23178
2021-09-17,4060,4100,3875,4000,5949
2021-09-24,4000,4115,4000,4090,62531
2021-10-01,4050,4100,3920,4000,84896
2021-10-08,4005,4050,3950,3975,102510
2021-10-15,3975,4200,3955,3975,48588
2021-10-22,4000,4000,3955,3975,42681
2021-10-29,3970,4150,3950,4000,68902
2021-11-05,4000,4005,3950,3960,24082
2021-11-12,4000,4000,3920,3925,29661
2021-11-19,3935,4000,3805,3875,49642
2021-11-26,3900,3950,3875,3900,23935
2021-12-03,3900,3925,3875,3900,37299
2021-12-10,3900,3925,3875,3900,26867
2021-12-17,3910,3910,3800,3805,16299
2021-12-24,3870,3925,3810,3900,125174
2021-12-31,3860,3950,3825,3945,162159
2022-01-07,3950,3950,3830,3940,11998
2022-01-14,4015,4285,3900,4000,13652
2022-01-21,4000,4100,3940,4000,39354
2022-01-28,4000,4100,3915,4050,43331
2022-02-04,4000,4195,4000,4105,16927
2022-02-11,4150,4300,4005,4185,24596
2022-02-18,4185,4250,4165,4210,71186
2022-02-25,4190,4485,4190,4485,50041
2022-03-04,4480,4790,4350,4690,29421
2022-03-11,4690,4820,4675,4760,50150
2022-03-18,4800,4900,4755,4800,49124
2022-03-25,4885,4985,4800,4980,21949
2022-04-01,4910,4990,4905,4950,12666
2022-04-08,4940,4950,4800,4810,18153
2022-04-15,4785,4785,4500,4600,37828
2022-04-22,4555,4645,4515,4595,11726
2022-04-29,4595,4750,4240,4450,72421
2022-05-06,4450,4450,4005,4250,63883
2022-05-13,4250,4300,4200,4295,20271
2022-05-20,4300,4325,4210,4300,29334
2022-05-27,4450,4450,4300,4440,23755
2022-06-03,4445,4600,4310,4500,47237
2022-06-10,4500,4595,4400,4490,79979
2022-06-17,4075,4380,3840,3900,14891
2022-06-24,3905,3905,3800,3800,29388
2022-07-01,3795,3800,3750,3760,30510
2022-07-08,3800,4000,3700,3900,25264
2022-07-15,3900,3900,3750,3790,34649
2022-07-22,3750,3790,3700,3750,20841
2022-07-29,3740,3775,3710,3775,34586
2022-08-05,3775,4000,3760,4000,9276
2022-08-12,4000,4000,3900,3955,9300
2022-08-19,3950,3950,3850,3900,15572
2022-08-26,3800,3895,3775,3810,18715
2022-09-02,3810,3830,3710,3795,19565
2022-09-09,3710,3800,3710,3770,9576
2022-09-16,3770,3960,3755,3960,33067
2022-09-23,3960,4000,3800,3995,32858
2022-09-30,4000,4100,3820,4075,28841
2022-10-07,3900,4000,3700,3750,40852
2022-10-14,3700,3750,3395,3590,19971
2022-10-21,3600,3790,3590,3790,31935
2022-10-28,3795,3795,3605,3740,10882
2022-11-04,3740,3740,3405,3500,10830
2022-11-11,3410,3550,3400,3545,11825
2022-11-18,3500,3545,3380,3500,17252
2022-11-25,3400,3400,3205,3205,10372
2022-12-02,3250,3350,3205,3300,7500
2022-12-09,3295,3400,3210,3350,5234
2022-12-16,3350,3595,3225,3590,16250
2022-12-23,3350,3500,3205,3440,10481
2022-12-30,3440,3440,3195,3200,31914
2023-01-06,3200,3250,2960,3200,24195
2023-01-13,3200,3400,3150,3250,22955
2023-01-20,3165,3445,3165,3445,6761
2023-01-27,3300,3435,3205,3205,10982
2023-02-03,3290,3395,3165,3200,24272
2023-02-10,3200,3300,3105,3300,16257
2023-02-17,3310,3485,3300,3465,37647
2023-02-24,3465,3465,3150,3300,39730
2023-03-03,3250,3495,3100,3465,21346
2023-03-10,3450,3460,3300,3445,6100
2023-03-17,3435,3595,3400,3525,36782
2023-03-24,3520,3525,3200,3400,6417
2023-03-31,3420,3420,3200,3300,9605
2023-04-07,3250,3350,3225,3345,2681
2023-04-14,3345,3400,3260,3330,5303
2023-04-20,3315,3390,3060,3060,7226
2023-04-28,3000,3190,2750,2790,17052
2023-05-05,2700,2795,2585,2775,11437
2023-05-12,2790,2995,2780,2905,42060
2023-05-19,2905,3000,2800,2950,8859
2023-05-26,2960,2960,2780,2800,19363
2023-06-02,2800,2900,2705,2890,22248
2023-06-09,2890,2940,2835,2940,57919
2023-06-16,2940,3000,2790,2900,18499
2023-06-23,2920,2995,2510,2705,16220
2023-06-30,2745,2745,2690,2690,13741
2023-07-07,2695,2710,2600,2685,25012
2023-07-14,2685,2685,2415,2500,22957
2023-07-21,2500,2590,2450,2550,22674
2023-07-28,2550,2550,2500,2525,14970
2023-08-04,2525,2530,2500,2525,12951
2023-08-11,2525,2530,2410,2500,16068
2023-08-18,2495,2510,2400,2490,22100
2023-08-25,2400,2490,2280,2400,40956
2023-09-01,2290,2400,2175,2210,66213
2023-09-08,2240,2300,2210,2265,18650
2023-09-15,2280,2300,2250,2295,13182
2023-09-22,2295,2295,2200,2240,23245
2023-09-29,2250,2280,2165,2200,44326
2023-10-06,2200,2205,2100,2140,25384
2023-10-13,2140,2200,2100,2120,27614
2023-10-20,2120,2135,2070,2070,14069
2023-10-27,2070,2175,2000,2175,32698
2023-11-03,2200,2335,2180,2195,19956
2023-11-10,2200,2235,2080,2185,37807
2023-11-17,2185,2185,2100,2115,26114
2023-11-24,2180,2290,2100,2200,26219
2023-12-01,2200,2350,2165,2180,23651
2023-12-08,2200,2365,2175,2280,20855
2023-12-15,2275,2295,2200,2200,15125
2023-12-22,2205,2300,2155,2290,17584
2023-12-29,2290,2290,2200,2280,23882
2024-01-05,2285,2350,2210,2210,5782
2024-01-12,2205,2350,2150,2150,22355
2024-01-19,2150,2335,2010,2300,21000
2024-01-26,2300,2300,2175,2280,13515
2024-02-02,2150,2240,2110,2150,6996
2024-02-09,2130,2200,2125,2200,16564
2024-02-16,2200,2270,2165,2195,12885
2024-02-23,2195,2195,2050,2090,21269
2024-03-01,2100,2100,2055,2095,9997
2024-03-08,2095,2100,2090,2100,15165
2024-03-15,2095,2275,2095,2105,62423
2024-03-22,2105,2270,2100,2270,25253
2024-03-29,2210,2395,2210,2300,73986
2024-04-05,2300,2450,2250,2445,51630
2024-04-12,2400,2450,2280,2300,75205
2024-04-19,2390,2390,2255,2270,44623
2024-04-26,2270,2280,2260,2270,69539
2024-05-03,2280,2675,2270,2645,112753
2024-05-10,2645,2645,2450,2600,27367
2024-05-17,2600,2780,2600,2715,61310
2024-05-24,2710,2735,2650,2730,30934
2024-05-31,2725,2730,2700,2720,51526
2024-06-07,2725,2810,2710,2810,35267
2024-06-14,2810,2810,2780,2805,20728
2024-06-21,2805,2880,2800,2800,18695
2024-06-28,2800,2880,2785,2800,64671
2024-07-05,2845,2845,2750,2775,21805
2024-07-12,2800,2925,2775,2850,37912
2024-07-19,2850,3000,2850,2950,27385
2024-07-26,3000,3000,2950,2995,19732
2024-08-02,2600,2800,2590,2600,42246
2024-08-09,2600,2650,2475,2650,57971
2024-08-16,2650,2700,2510,2595,51125
2024-08-23,2600,2775,2560,2775,70727
2024-08-30,2780,2780,2650,2745,31222
2024-09-06,2745,2745,2600,2690,42191
2024-09-13,2695,2700,2305,2400,65867
2024-09-20,2400,2580,2355,2460,10216
2024-09-27,2460,2500,2415,2490,13626
2024-10-04,2490,2500,2405,2460,11046
2024-10-11,2450,2490,2350,2400,25184
2024-10-18,2395,2400,2325,2400,74250
2024-10-25,2400,2400,2340,2350,224060
2024-10-31,2350,2400,2350,2390,10104
2024-11-08,2385,2395,2195,2390,39760
2024-11-14,2390,2390,2325,2370,11596
2024-11-22,2380,2390,2320,2350,38563
2024-11-29,2345,2350,2255,2300,8987
2024-12-06,2300,2345,2255,2340,9266
2024-12-13,2300,2300,2220,2300,10720
2024-12-20,2300,2375,2245,2340,20388
2024-12-27,2340,2340,2245,2295,5803
2025-01-03,2255,2300,2250,2290,8878
2025-01-10,2290,2295,2205,2220,12662
2025-01-17,2220,2245,2200,2245,14751
2025-01-24,2240,2280,2080,2250,28456
2025-01-31,2250,2290,2245,2285,14220
2025-02-07,2285,2380,2270,2365,13201
2025-02-14,2365,2500,2365,2495,32731
2025-02-21,2495,2500,2375,2480,26098
2025-02-28,2450,2500,2400,2450,27769
2025-03-07,2450,2625,2410,2625,14342
2025-03-14,2625,2840,2535,2800,82639
2025-03-21,2800,2895,2720,2865,31650
2025-03-28,2865,2865,2700,2770,20218
2025-04-04,2750,2750,2675,2675,6000
2025-04-11,2650,2780,2380,2780,24325
2025-04-18,2760,2760,2500,2600,10457
2025-04-25,2590,2590,2500,2500,14770
2025-05-02,2500,2500,2410,2480,5483
2025-05-09,2465,2500,2255,2410,21675
2025-05-16,2410,2450,2250,2390,24932
2025-05-23,2390,2500,2305,2500,84503
2025-05-30,2500,2650,2410,2585,17905
2025-06-05,2600,2600,2555,2565,6270
2025-06-13,2580,2700,2390,2650,33598
2025-06-20,2690,2690,2550,2600,10563
2025-06-27,2600,2650,2405,2600,26980
2025-07-04,2600,2690,2500,2690,53405
2025-07-11,2690,2705,2640,2690,8797
2025-07-18,2650,2685,2400,2495,67903
2025-07-25,2500,2535,2300,2380,45836
2025-08-01,2400,2400,2200,2350,32514
2025-08-08,2375,2375,2215,2340,17521
2025-08-14,2260,2340,2260,2340,26367
2025-08-22,2300,2450,2295,2355,51273
2025-08-29,2350,2375,2325,2335,18355
2025-09-05,2335,2400,2250,2255,42277
2025-09-12,2255,2320,2250,2280,38679
2025-09-19,2300,2300,2240,2290,21647
2025-09-26,2290,2300,2275,2300,28393
2025-10-03,2300,2400,2300,2370,15100
2025-10-10,2400,2600,2325,2505,39235
2025-10-17,2500,2530,2370,2500,15104
2025-10-24,2500,2500,2400,2500,15132
