date,open,high,low,close,volume
2026-06-13,15500,15650,15500,15650,1897
2026-06-14,15500,15650,15500,15650,1897
2026-06-16,15800,15850,15800,15850,3321
2026-06-17,15850,15850,15805,15805,1081
2026-06-19,15905,16695,15905,16695,2105
2026-06-20,15905,16695,15905,16695,2105
2026-06-21,15905,16695,15905,16695,2105
2026-06-22,16700,16700,16700,16700,2794
2026-06-23,16695,16695,16695,16695,844
2026-06-24,16055,16145,16055,16145,1330
2026-06-25,16145,16695,16145,16695,1309
2026-06-29,16700,16700,16700,16700,360
2026-06-30,16700,16750,16700,16750,3014
2026-07-01,16450,16700,16450,16700,9546
2026-07-02,16800,16800,16750,16750,401
2026-07-03,16750,16900,16750,16900,649
2026-07-05,16750,16900,16750,16900,649
2026-07-06,16900,16900,16300,16300,6971
2026-07-07,16500,16500,16000,16000,6704
2026-07-08,16500,16500,16400,16400,5645
2026-07-09,16000,16000,16000,16000,3212
2026-07-10,16000,16495,16000,16495,2446
2026-07-13,16300,16300,16000,16000,887
2026-07-14,16000,16160,16000,16160,51700
2026-07-15,16160,16160,15800,15800,1465
2026-07-16,16165,16165,16165,16165,1506
2026-07-17,16165,16165,16160,16160,1103
2026-07-20,16165,16165,16150,16150,423
2026-07-21,16160,16160,16000,16000,2423
2026-07-22,16000,16005,16000,16005,1456
2026-07-23,16100,16300,16100,16300,1449
2026-07-24,16400,16725,16400,16725,707
2026-07-27,16730,16730,16725,16725,616
2026-07-28,16725,16725,16725,16725,1615
2026-07-29,16725,16750,16725,16750,1482
2026-07-30,16750,16760,16750,16760,926
2026-07-31,16760,16995,16760,16995,1793
2026-08-03,17000,17000,17000,17000,1175
2026-08-04,16800,17000,16800,17000,1581
2026-08-05,17000,17175,17000,17175,1307
2026-08-06,17175,17175,17175,17175,773
2026-08-07,17175,17175,17175,17175,773
2026-08-10,17175,17175,17000,17000,1635
2026-08-11,17000,17050,17000,17050,1784
2026-08-12,17050,17255,17050,17255,1973
2026-08-13,17255,18000,17255,18000,892
2026-08-14,18000,18000,18000,18000,261
2026-08-17,18000,18550,18000,18550,3927
2026-08-18,18505,19000,18505,19000,1836
2026-08-19,19000,19510,19000,19510,4709
2026-08-20,19505,20205,19505,20205,3097
2026-08-21,20205,21015,20205,21015,1539
2026-08-24,21400,21400,21200,21200,8271
2026-08-25,21400,21400,21200,21200,8271
2026-08-26,21090,21090,20795,20795,1907
2026-08-28,20995,21200,20995,21200,5436
2026-08-29,21200,21400,21200,21400,1092
2026-08-31,21400,21400,21005,21005,2792
2026-09-01,21400,21500,21400,21500,5847
2026-09-02,21500,21500,21010,21010,2923
2026-09-03,21300,21300,21155,21155,1177
2026-09-04,21050,21050,21010,21010,5070
2026-09-10,22495,22495,21900,21900,16779
2026-09-18,22005,22200,22005,22200,1436
2026-09-24,20500,21450,20500,21450,9085
