date,open,high,low,close,volume
2022-12-30,10210,10210,9505,10210,50274
2023-01-06,10220,11000,10005,10370,78313
2023-01-13,10290,10290,9800,10190,66621
2023-01-20,10200,10200,9900,10000,40300
2023-01-27,10000,10180,9980,10050,28742
2023-02-03,10050,10500,10005,10300,210767
2023-02-10,10400,10495,10255,10400,320411
2023-02-17,10350,10450,10100,10200,26644
2023-02-24,10200,10235,10100,10195,12062
2023-03-03,10200,10200,9960,10000,25931
2023-03-10,10000,10200,9970,10000,15914
2023-03-17,10000,10000,9600,9805,19015
2023-03-24,9600,9795,9495,9520,18896
2023-03-31,9520,9530,9450,9500,16100
2023-04-07,9495,9500,9300,9400,9490
2023-04-14,9400,9400,9000,9190,9901
2023-04-20,9190,9190,8505,9000,11054
2023-04-28,9000,9275,8500,9275,11631
2023-05-05,9275,9490,9150,9490,2735
2023-05-12,9490,10000,9305,9500,29503
2023-05-19,9500,9595,9350,9500,11027
2023-05-26,9500,9590,9355,9500,36714
2023-06-02,9500,9590,9450,9550,65552
2023-06-09,9590,10000,9500,9950,41339
2023-06-16,9950,9950,9025,9455,16701
2023-06-23,9455,9570,9400,9500,54650
2023-06-30,9505,9510,9500,9510,22625
2023-07-07,9510,9900,9510,9890,25750
2023-07-14,9890,10090,9800,9995,62472
2023-07-21,9990,10100,9825,9995,19546
2023-07-28,9995,10050,9850,10000,13200
2023-08-04,10000,10000,9800,9850,8328
2023-08-11,9950,9950,9800,9810,9932
2023-08-18,9805,10495,9805,10495,14521
2023-08-25,10410,10695,10400,10495,30047
2023-09-01,10490,10950,10450,10950,7670
2023-09-08,10800,10900,10700,10795,11069
2023-09-15,10800,11100,10700,10900,12791
2023-09-22,10900,10995,10500,10600,27534
2023-09-29,10700,10700,10500,10600,27831
2023-10-06,10505,10800,10450,10800,33216
2023-10-13,10800,10800,10505,10800,10032
2023-10-20,10900,10900,10605,10785,3792
2023-10-27,10610,10800,10605,10700,8597
2023-11-03,10700,10850,10020,10740,60470
2023-11-10,10500,10500,10020,10490,3933
2023-11-17,10500,10600,10400,10495,27327
2023-11-24,10495,10700,10400,10700,29935
2023-12-01,10500,11500,10500,10800,40834
2023-12-08,10800,10800,10500,10700,14868
2023-12-15,10700,10900,10455,10600,8734
2023-12-22,10595,10995,10450,10700,11421
2023-12-29,10625,11200,10500,10900,22360
2024-01-05,11000,11000,10600,10900,11403
2024-01-12,10900,10900,10605,10800,1580
2024-01-19,10750,10800,10610,10700,6498
2024-01-26,10655,10700,10655,10660,4468
2024-02-02,10660,10800,10655,10800,2051
2024-02-09,10840,10840,10655,10655,3414
2024-02-16,10655,10700,10655,10700,2701
2024-02-23,10660,10750,10660,10730,4366
2024-03-01,10730,11250,10700,10995,4829
2024-03-08,10950,10985,10705,10890,6871
2024-03-15,10890,10890,10700,10750,8511
2024-03-22,10750,10890,10750,10800,14205
2024-03-29,10880,10880,10750,10845,5986
2024-04-05,10845,10900,10790,10800,3148
2024-04-12,10800,10990,10800,10845,13178
2024-04-19,10850,11000,10800,10850,3045
2024-04-26,10850,11000,10790,10990,14030
2024-05-03,10900,11075,10855,11075,7423
2024-05-10,10950,11075,10850,11000,12009
2024-05-17,10950,11500,10950,11400,9807
2024-05-24,11395,12000,11395,11500,3969
2024-05-31,11500,12200,11200,11495,4531
2024-06-07,11480,11500,10595,11400,8716
2024-06-14,11255,11750,11090,11745,9781
2024-06-21,11745,11790,11505,11755,1972
2024-06-28,11600,12000,11600,11800,2954
2024-07-05,11800,12000,11750,12000,22248
2024-07-12,12000,12400,11760,12000,14145
2024-07-19,12050,13435,11865,13000,9383
2024-07-26,13000,13000,12600,13000,4472
2024-08-02,13000,13430,12605,13385,4455
2024-08-09,13390,14000,13050,14000,7074
2024-08-16,14000,14995,13800,14005,8055
2024-08-23,14005,15000,14005,14875,17382
2024-08-30,14885,14885,13760,14600,42726
2024-09-06,14880,15000,14700,14800,20588
2024-09-13,14800,15500,14800,14950,17628
2024-09-20,14950,15795,14950,15300,3787
2024-09-27,15305,15965,15000,15750,7893
2024-10-04,15750,15800,15000,15150,9920
2024-10-11,15150,15800,15100,15150,14192
2024-10-18,15150,15400,15005,15150,6398
2024-10-25,15150,15400,14900,15300,10004
2024-10-31,15350,16800,15350,15800,7992
2024-11-08,15725,16250,15725,16175,10006
2024-11-14,17000,17600,16200,17095,7632
2024-11-22,17100,17395,16900,17350,14095
2024-11-29,17350,17350,17300,17350,4843
2024-12-06,17300,17500,17005,17500,23133
2024-12-13,17500,18240,17005,17500,43111
2024-12-20,17500,17990,17000,17200,40471
2024-12-27,17300,17700,16990,17000,89690
2025-01-03,17000,17550,16100,17550,11049
2025-01-10,17550,19185,17005,17005,19131
2025-01-17,17500,18200,16700,17500,13474
2025-01-24,17585,17850,17000,17850,15537
2025-01-31,18000,18000,17200,17700,13507
2025-02-07,17700,17800,17500,17700,6494
2025-02-14,17700,17800,17500,17655,9674
2025-02-21,17600,18000,17300,18000,8513
2025-02-28,17985,18000,16000,17600,28670
2025-03-07,17600,17600,15725,16900,9550
2025-03-14,16000,16600,15800,16195,5551
2025-03-21,16000,16000,12925,13000,15659
2025-03-28,13250,14700,13000,14500,18434
2025-04-04,15000,15190,14500,15150,13291
2025-04-11,15195,15750,14005,15745,17554
2025-04-18,15300,15715,14005,14055,16029
2025-04-25,14995,14995,14060,14500,6074
2025-05-02,14500,14890,14200,14800,2992
2025-05-09,14705,15500,14700,15500,4135
2025-05-16,15600,15700,14770,15495,6781
2025-05-23,15495,15850,15000,15800,4407
2025-05-30,15900,16000,15600,15790,5682
2025-06-05,15790,15790,14915,15550,3468
2025-06-13,15555,16000,15550,15600,16941
2025-06-20,15600,15700,14500,15500,11278
2025-06-27,15400,15500,14900,15390,21069
2025-07-04,14800,15350,14005,14405,7006
2025-07-11,14400,14500,14000,14100,17321
2025-07-18,14020,15395,14000,14500,19165
2025-07-25,14500,14595,14000,14000,9578
2025-08-01,14000,14250,13950,14250,10467
2025-08-08,14250,14250,13790,14100,23680
2025-08-14,14100,14580,13990,14580,11644
2025-08-22,14575,15000,14000,14805,11330
2025-08-29,14990,15000,14450,15000,12763
2025-09-05,14800,15000,14600,14600,3302
2025-09-12,14020,14995,14020,14400,8019
2025-09-19,14400,14900,14015,14800,7796
2025-09-26,14900,14900,14400,14650,5999
2025-10-03,14745,14800,14300,14305,3779
2025-10-10,14300,14995,14255,14550,11298
2025-10-17,14700,14700,14305,14400,6898
2025-10-24,14400,15300,14400,14800,24665
2025-10-31,14800,14890,14400,14480,16348
2025-11-07,14400,14605,14155,14155,14063
2025-11-14,14200,14680,14000,14300,40036
2025-11-21,14300,15000,13800,15000,28842
2025-11-28,14990,15695,14510,14650,10187
2025-12-05,15095,15695,14900,15200,3959
2025-12-12,15495,15495,15100,15100,3129
2025-12-19,15100,15150,14300,14500,11728
2025-12-26,14510,14800,14495,14500,6168
2026-01-02,14490,14500,14000,14055,14004
2026-01-09,14200,14200,14000,14135,10389
2026-01-16,14130,14450,13800,14450,19467
2026-01-23,14450,14500,14050,14400,5682
2026-01-30,14300,14500,14220,14490,4862
2026-02-06,14450,15000,14400,14995,5019
2026-02-13,15000,15200,14800,15100,13813
2026-02-20,15150,15250,14020,15005,30953
