date,open,high,low,close,volume
2026-06-13,2770,2770,2710,2710,2123
2026-06-14,2770,2770,2710,2710,2123
2026-06-16,2715,2730,2715,2730,3232
2026-06-17,2715,2715,2690,2690,4400
2026-06-19,2680,2680,2665,2665,2761
2026-06-20,2680,2680,2665,2665,2761
2026-06-21,2680,2680,2665,2665,2761
2026-06-22,2665,2665,2665,2665,12773
2026-06-23,2665,2665,2610,2610,4449
2026-06-24,2615,2640,2615,2640,2671
2026-06-25,2620,2625,2620,2625,3328
2026-06-29,2690,2690,2685,2685,5132
2026-06-30,2700,2700,2690,2690,2345
2026-07-01,2700,2750,2700,2750,3998
2026-07-02,2750,2780,2750,2780,3385
2026-07-03,2770,2770,2710,2710,5328
2026-07-05,2770,2770,2710,2710,5328
2026-07-06,2730,2730,2730,2730,3239
2026-07-07,2725,2725,2720,2720,5374
2026-07-08,2715,2715,2685,2685,6425
2026-07-09,2670,2675,2670,2675,3301
2026-07-10,2670,2670,2650,2650,6082
2026-07-13,2690,2690,2690,2690,3425
2026-07-14,2665,2670,2665,2670,3063
2026-07-15,2670,2680,2670,2680,4592
2026-07-16,2680,2680,2680,2680,9177
2026-07-17,2695,2695,2680,2680,3994
2026-07-20,2680,2690,2680,2690,1725
2026-07-21,2690,2720,2690,2720,1624
2026-07-22,2720,2720,2680,2680,1942
2026-07-23,2680,2680,2680,2680,2237
2026-07-24,2680,2700,2680,2700,6800
2026-07-27,2700,2720,2700,2720,5909
2026-07-28,2725,2750,2725,2750,4255
2026-07-29,2955,2955,2955,2955,8261
2026-07-30,3100,3100,3000,3000,12659
2026-07-31,3095,3140,3095,3140,6342
2026-08-03,3200,3200,3130,3130,5561
2026-08-04,3150,3150,3150,3150,6080
2026-08-05,3180,3180,3140,3140,3696
2026-08-06,3140,3140,3125,3125,1235
2026-08-07,3140,3140,3125,3125,1235
2026-08-10,3125,3125,3110,3110,4561
2026-08-11,3140,3140,3110,3110,2157
2026-08-12,3110,3110,3110,3110,2299
2026-08-13,3110,3110,3065,3065,2611
2026-08-14,3065,3065,3060,3060,985
2026-08-17,3060,3060,3060,3060,4950
2026-08-18,3060,3060,3035,3035,3317
2026-08-19,3005,3090,3005,3090,3675
2026-08-20,3100,3180,3100,3180,3679
2026-08-21,3180,3180,3125,3125,1710
2026-08-24,3150,3190,3150,3190,8031
2026-08-25,3150,3190,3150,3190,8031
2026-08-26,3190,3195,3190,3195,3771
2026-08-28,3195,3195,3180,3180,4053
2026-08-29,3150,3155,3150,3155,3126
2026-08-31,3160,3165,3160,3165,6598
2026-09-01,3185,3185,3185,3185,5633
2026-09-02,3190,3190,3185,3185,2655
2026-09-03,3195,3200,3195,3200,3532
2026-09-04,3195,3335,3195,3335,3792
2026-09-10,3300,3300,3300,3300,6811
2026-09-18,3295,3295,3205,3205,206
2026-09-24,2600,2885,2600,2885,4036
