date,open,high,low,close,volume
2021-07-29,3900,3990,3800,3990,8434
2021-08-06,3945,3990,3750,3985,12628
2021-08-12,3985,3990,3800,3990,18200
2021-08-18,3800,3990,3800,3990,19644
2021-08-27,3900,3990,3850,3980,612
2021-09-03,3900,3995,3850,3995,5742
2021-09-10,3900,3995,3700,3995,2518
2021-09-17,3900,3995,3700,3990,5745
2021-09-24,3720,4350,3720,4335,89548
2021-10-01,4100,4330,4000,4330,19804
2021-10-08,4060,4325,4010,4195,7590
2021-10-15,4195,4195,4000,4000,3521
2021-10-22,4000,4145,3905,4075,2266
2021-10-29,3995,4330,3995,4330,4212
2021-11-05,4330,4350,4095,4095,4785
2021-11-12,4100,4100,3800,4000,2748
2021-11-19,3815,4090,3815,4000,462
2021-11-26,4000,4000,3900,4000,1207
2021-12-03,4000,4100,3995,4000,26654
2021-12-10,4000,4400,4000,4295,5991
2021-12-17,4295,4295,3980,4090,1179
2021-12-24,4000,4090,3910,3945,3667
2021-12-31,3800,4190,3700,4190,21227
2022-01-07,4190,4250,3950,4095,1532
2022-01-14,3805,4250,3805,4245,1784
2022-01-21,4245,4245,3930,4150,7307
2022-01-28,3840,4000,3840,3950,654
2022-02-04,3945,4000,3900,3990,7236
2022-02-11,3875,3925,3845,3900,4534
2022-02-18,3925,4150,3805,4145,7936
2022-02-25,4065,4065,3895,3900,5531
2022-03-04,3900,4150,3885,3910,2536
2022-03-11,4080,4090,3900,4000,1302
2022-03-18,4000,4000,3900,4000,6015
2022-03-25,3865,4000,3865,4000,514
2022-04-01,3900,4000,3865,3900,7423
2022-04-08,3900,3900,3850,3900,3226
2022-04-15,3900,4000,3875,3900,2892
2022-04-22,3900,3900,3750,3750,1342
2022-04-29,3900,4030,3850,4025,199235
2022-05-05,3750,3995,3700,3995,456
2022-05-13,3850,3850,3600,3800,4208
2022-05-20,3800,3845,3515,3555,4400
2022-05-27,3820,3835,3610,3800,179
2022-06-03,3835,3835,3700,3800,497
2022-06-09,3800,3835,3610,3835,386
2022-06-17,3800,3800,3670,3795,1544
2022-06-24,3795,3795,3600,3790,1442
2022-07-01,3790,3790,3510,3790,9773
2022-07-08,3790,3790,3520,3530,3716
2022-07-15,3530,3530,3495,3500,3447
2022-07-22,3470,3500,3460,3470,1489
2022-07-29,3470,3790,3400,3790,6855
2022-08-05,3750,3780,3750,3780,104
2022-08-12,3500,3800,3490,3800,2274
2022-08-18,3840,4000,3800,4000,13269
2022-08-26,3700,4150,3700,4065,6117866
2022-09-01,4065,4065,3860,4060,1789
2022-09-09,4000,4000,3825,3825,69
2022-09-16,3825,3900,3825,3875,170
2022-09-23,3875,4000,3610,3670,4800
2022-09-30,3455,3800,3360,3800,7419
2022-10-07,3880,3880,3540,3600,4166
2022-10-14,3550,3600,3250,3330,14738
2022-10-21,3330,3690,3200,3690,25770
2022-10-28,3575,3600,3350,3500,12771
2022-11-04,3500,3500,3300,3300,4786
2022-11-11,3330,3330,3150,3150,7097
2022-11-18,3100,3100,2850,3090,11924
2022-11-25,3090,3130,2930,3130,3974
2022-12-02,3130,3130,2850,2850,7136
2022-12-09,2800,3200,2800,3200,8353
2022-12-16,3200,3590,3000,3495,12065
2022-12-23,3235,3500,3195,3500,8012
2022-12-30,3500,3980,3500,3925,45906
2023-01-05,3800,3800,3600,3600,10
2023-01-13,3400,3400,2995,2995,589
2023-01-20,2995,3285,2760,3200,45569
2023-01-27,3000,3140,2855,3100,3775
2023-02-02,3000,3100,3000,3000,1856
2023-02-10,3000,3095,3000,3000,1288
2023-02-17,2780,3100,2780,3000,941
2023-02-24,2915,2915,2570,2795,25116
2023-03-03,2795,2800,2770,2800,1992
2023-03-10,2795,3005,2795,2935,2647
2023-03-17,2900,2930,2790,2830,4594
