date,open,high,low,close,volume
2021-07-30,4395,4400,4315,4395,1340
2021-08-31,4110,5345,4015,5290,12284
2021-09-30,5235,6075,4320,5370,38487
2021-10-29,5770,7000,5500,6550,29132
2021-11-30,6600,7000,6505,6890,37921
2021-12-31,6890,7100,6500,6990,78969
2022-01-31,6900,7400,6710,7000,62439
2022-02-28,7300,9550,7000,9100,207525
2022-03-31,9005,9700,8900,9300,43503
2022-04-29,9250,12120,9020,12100,173904
2022-05-31,12280,13550,12280,12795,149041
2022-06-30,12770,12890,12405,12625,132024
2022-07-29,12625,12645,11470,12400,150752
2022-08-31,12055,12400,10750,11110,139990
2022-09-30,11115,11120,9700,10995,301031
2022-10-28,10995,11490,9100,10895,172910
2022-11-30,10895,10950,9515,9800,152636
2022-12-30,9860,10795,9515,10385,221935
2023-01-31,10000,10400,9500,10000,117085
2023-02-28,9800,11095,9800,11000,156177
2023-03-31,11000,11000,10700,10980,63540
2023-04-28,10950,11000,9400,10000,44017
2023-05-31,9905,10000,9500,9790,58311
2023-06-30,9795,10600,9500,10600,100348
2023-07-31,10020,10555,8000,8095,136930
2023-08-31,8000,8095,7800,7945,52302
2023-09-29,7945,7950,7125,7600,43103
2023-10-31,7650,7695,6500,6900,41309
2023-11-30,6950,6960,6370,6800,31295
2023-12-29,6500,6800,6250,6750,15402
2024-01-31,6750,7000,6500,6790,20986
2024-02-29,6790,6900,6300,6780,41319
2024-03-29,6775,7000,6500,6995,39977
2024-04-30,6995,8085,6800,7240,23713
2024-05-31,6800,6800,5305,6000,66587
2024-06-28,6000,6250,5600,6250,56766
2024-07-31,6195,6245,5310,5600,68621
2024-08-30,5580,5590,4620,4980,103048
2024-09-30,4805,5200,4585,4810,103383
2024-10-31,4765,4895,4520,4695,88852
2024-11-29,4695,4700,4485,4695,88637
2024-12-31,4690,5000,4485,5000,105548
2025-01-31,5000,5300,4495,4650,256596
2025-02-28,4650,6400,4650,6100,58094
2025-03-28,6080,6595,6000,6400,83090
2025-04-30,6400,6400,5095,6300,195455
2025-05-30,6300,7000,6250,6995,132484
2025-06-30,6995,8380,6500,8380,231857
2025-07-31,8500,8600,8150,8450,155427
2025-08-29,8450,9215,8405,8815,57262
2025-09-30,8815,9255,8495,9150,75240
2025-10-31,9105,9895,7930,8350,223289
2025-11-28,7750,8500,6615,7950,92332
2025-12-31,7945,8250,7500,8100,110314
2026-01-30,8100,8570,7545,8205,59912
2026-02-27,8200,9050,8155,9050,94723
2026-03-31,9050,9500,7475,8100,65256
2026-04-30,8100,8800,7310,7310,31039
2026-05-29,6765,8000,6765,7975,43949
2026-06-30,7975,8900,7600,8700,141365
2026-07-31,8600,9100,8450,9000,97761
2026-08-31,9000,9650,8800,9395,45142
2026-09-24,9400,9400,7725,8055,67473
