date,open,high,low,close,volume
2021-07-30,4395,4400,4315,4395,1340
2021-08-06,4110,4400,4110,4245,568
2021-08-13,4245,4350,4100,4350,2802
2021-08-20,4350,4400,4120,4400,783
2021-08-27,4400,4635,4015,4635,6988
2021-09-03,4720,5345,4720,5000,1617
2021-09-10,4995,4995,4320,4405,1482
2021-09-17,4410,5000,4410,4900,1394
2021-09-24,4900,5655,4825,5655,29005
2021-10-01,6000,6075,5365,5500,6461
2021-10-08,5795,6300,5600,6200,4127
2021-10-15,6200,6215,5700,6195,7087
2021-10-22,6190,6700,5740,6700,14292
2021-10-29,6800,7000,6550,6550,3297
2021-11-05,6600,6700,6505,6690,2274
2021-11-12,6610,6740,6505,6700,3037
2021-11-19,6700,6740,6540,6560,1311
2021-11-26,6600,6700,6560,6600,16071
2021-12-03,6670,7100,6670,6995,22330
2021-12-10,6985,6995,6500,6700,4325
2021-12-17,6700,6750,6550,6600,56504
2021-12-24,6605,6800,6605,6800,1347
2021-12-31,6700,7000,6700,6990,9691
2022-01-07,6900,6990,6710,6990,887
2022-01-13,6800,6990,6735,6990,2017
2022-01-21,6990,7295,6985,7100,45917
2022-01-28,7100,7300,6715,7300,6343
2022-02-04,7300,7400,7000,7130,12057
2022-02-11,7200,7810,7130,7655,104559
2022-02-18,7810,9440,7500,9440,75381
2022-02-25,9440,9550,8805,9100,20437
2022-03-04,9010,9600,9000,9600,18254
2022-03-11,9600,9700,9400,9400,5807
2022-03-18,9400,9500,8900,9495,5659
2022-03-25,9450,9600,9265,9600,5182
2022-04-01,9600,9600,9200,9400,12657
2022-04-08,9400,9400,9020,9250,9344
2022-04-15,9225,9505,9150,9400,18579
2022-04-22,9700,10310,9205,9805,27486
2022-04-29,9815,12120,9815,12100,116805
2022-05-06,12280,13550,12280,12800,35788
2022-05-13,12800,13100,12800,13000,34110
2022-05-20,13000,13000,12790,12810,69026
2022-05-27,12800,12810,12560,12695,8504
2022-06-03,12700,12795,12600,12775,35656
2022-06-10,12780,12800,12685,12690,20412
2022-06-17,12690,12890,12690,12850,16970
2022-06-24,12800,12850,12500,12500,23719
2022-07-01,12500,12695,12405,12625,37165
2022-07-08,12625,12625,11470,12100,36025
2022-07-15,12195,12200,12000,12195,41188
2022-07-22,12005,12400,12005,12200,13830
2022-07-29,12200,12400,12000,12400,59424
2022-08-05,12055,12400,11900,12300,24151
2022-08-12,12295,12300,11990,12300,22255
2022-08-19,12100,12300,11900,12000,65178
2022-08-26,12000,12050,11975,11985,20391
2022-09-02,10750,11500,10750,10765,20447
2022-09-09,10805,11000,10700,10700,60418
2022-09-16,10700,10765,10490,10600,41779
2022-09-23,10600,10765,10100,10500,15014
2022-09-30,10500,10995,9700,10995,171388
2022-10-07,10995,11000,9865,10000,23785
2022-10-14,10195,10200,9790,9790,23937
2022-10-21,9790,11190,9100,10995,100393
2022-10-28,10995,11490,10210,10895,24795
2022-11-04,10895,10950,9900,10290,49403
2022-11-11,10295,10295,9520,9845,45541
2022-11-18,9845,9995,9515,9830,18363
2022-11-25,9750,9950,9550,9750,10810
2022-12-02,9680,9880,9575,9750,31543
2022-12-09,9515,9885,9515,9885,20491
2022-12-16,9880,10795,9695,10500,80585
2022-12-23,10495,10495,9620,10385,81879
2022-12-30,10005,10385,10000,10385,35956
2023-01-06,10000,10400,9500,9800,65170
2023-01-13,9810,9995,9600,9970,20243
2023-01-20,9900,9995,9900,9980,12388
2023-01-27,9980,10000,9500,9995,16577
2023-02-03,10000,10095,9800,10050,5837
2023-02-10,9995,10390,9995,10300,25479
2023-02-17,10300,11095,10300,11085,19355
2023-02-24,11095,11095,10760,11060,104146
2023-03-03,11000,11060,10820,10950,9105
2023-03-10,10950,10950,10700,10875,32577
2023-03-17,10875,10995,10800,10960,7773
2023-03-24,10950,10950,10700,10945,13354
2023-03-31,10945,11000,10850,10980,4798
2023-04-07,10950,10975,10900,10950,8680
2023-04-14,10970,11000,10900,11000,2872
2023-04-20,11000,11000,10800,10990,9182
2023-04-28,11000,11000,9400,10000,23283
2023-05-05,9905,10000,9780,9800,6302
2023-05-12,9850,9900,9500,9780,28040
2023-05-19,9600,9990,9600,9890,16654
2023-05-26,9800,9890,9700,9790,5511
2023-06-02,9790,9800,9700,9800,4722
2023-06-09,9800,9800,9700,9700,14035
2023-06-16,9705,9755,9500,9700,21008
2023-06-23,9685,9900,9560,9750,41462
2023-06-30,9900,10600,9800,10600,20925
2023-07-07,10020,10555,10000,10250,34872
2023-07-14,10225,10225,9890,9980,42757
2023-07-21,9035,9035,8600,8700,36954
2023-07-28,8700,8700,8000,8345,21206
2023-08-04,8205,8340,7915,8040,11767
2023-08-11,8090,8090,7905,7995,5815
2023-08-18,7995,8015,7955,8000,5017
2023-08-25,7950,8000,7800,7900,26504
2023-09-01,7950,8000,7850,7945,4763
2023-09-08,7950,7950,7800,7850,8446
2023-09-15,7850,7850,7505,7695,11816
2023-09-22,7695,7770,7650,7700,13116
2023-09-29,7700,7735,7125,7600,9302
2023-10-06,7650,7650,6930,7195,7049
2023-10-13,7250,7695,7150,7690,6281
2023-10-20,7500,7690,7300,7400,4676
2023-10-27,7345,7350,6950,7000,12027
2023-11-03,6960,6960,6500,6800,12253
2023-11-10,6800,6960,6450,6895,8836
2023-11-17,6890,6890,6450,6875,2794
2023-11-24,6600,6850,6370,6820,14362
2023-12-01,6500,6805,6400,6500,6638
2023-12-08,6450,6800,6250,6795,3312
2023-12-15,6795,6800,6400,6775,3271
2023-12-22,6780,6780,6500,6725,3692
2023-12-29,6720,6800,6690,6750,2815
2024-01-05,6750,7000,6500,6960,7389
2024-01-12,6910,6910,6505,6885,7672
2024-01-19,6660,6880,6660,6700,4196
2024-01-26,6700,6800,6600,6790,1334
