date,open,high,low,close,volume
2021-07-30,2795,2860,2615,2860,777
2021-08-31,2860,3000,2700,2700,11097
2021-09-30,2900,3115,2890,3110,15965
2021-10-29,3110,3500,2900,3265,11939
2021-11-30,3265,3505,3025,3315,15611
2021-12-30,3315,4200,3315,4200,17943
2022-01-31,4200,4200,3600,4000,4804
2022-02-28,3995,4900,3995,4900,35984
2022-03-31,4900,5375,4505,4710,21574
2022-04-29,4750,4975,4220,4250,28368
2022-05-31,3935,3935,3240,3495,15231
2022-06-30,3500,3600,3300,3545,18000
2022-07-29,3490,3855,3475,3500,11771
2022-08-31,3750,3800,3400,3650,3554
2022-09-30,3650,3700,3400,3600,3107
2022-10-27,3500,3700,3245,3600,3849
2022-11-30,3450,3600,3010,3150,3835
2022-12-30,3190,3200,2940,3195,3441
2023-01-31,3160,3160,2730,2950,6300
2023-02-28,2950,3175,2775,2850,9065
2023-03-31,2995,3110,2795,2900,19040
2023-04-28,2900,3105,2685,2880,10336
2023-05-30,2880,2880,2600,2800,7279
2023-06-30,2700,3100,2600,3100,8047
2023-07-31,3000,3140,2780,3100,6967
2023-08-31,3100,3450,2900,3250,5771
2023-09-28,3395,3400,2800,2800,10334
2023-10-31,2805,3015,2315,2315,6113
2023-11-30,2315,2315,1610,1750,18876
2023-12-29,1800,1900,1665,1900,13403
2024-01-31,1900,2180,1750,2150,5944
2024-02-29,2005,2325,2000,2225,3374
2024-03-28,2225,2280,1685,2280,6402
2024-04-30,2280,2300,2000,2300,7605
2024-05-31,2290,2300,2105,2300,3060
2024-06-28,2300,2300,2100,2295,25946
2024-07-31,2295,2365,2150,2365,2240
2024-08-30,2205,2795,2205,2600,2922
2024-09-30,2600,2600,2040,2150,5059
2024-10-31,2150,2275,1950,1985,5468
2024-11-29,1840,2100,1835,1950,4898
2024-12-31,1980,2200,1850,2200,4251
2025-01-31,2200,2300,1805,1810,3362
2025-02-28,1810,2000,1760,1885,12388
2025-03-28,1885,2090,1800,2035,23604
2025-04-30,2000,2085,1800,1935,11757
2025-05-30,2050,2450,2050,2440,13674
2025-06-30,2430,2630,2360,2500,6040
2025-07-31,2600,2795,2450,2680,7694
2025-08-29,2700,2700,2425,2630,4986
2025-09-30,2630,2875,2330,2345,24079
2025-10-31,2500,4735,2500,4380,126768
2025-11-28,4055,4350,3420,3900,62320
2025-12-31,3950,3950,3650,3875,19754
2026-01-30,3875,4580,3510,4410,37665
2026-02-27,4410,4650,4105,4550,20439
2026-03-31,4890,5850,4445,4875,50282
2026-04-30,4890,5100,4500,4600,18665
2026-05-29,4255,4500,3600,4290,17843
2026-06-30,4290,4800,4000,4700,24636
2026-07-31,4700,4700,4150,4515,17523
2026-08-31,4515,4630,4200,4435,11208
2026-09-24,4435,4600,3885,4080,44928
