date,open,high,low,close,volume
2026-06-14,4150,4150,4075,4075,1340
2026-06-21,4100,4740,4100,4700,10404
2026-06-25,4700,4700,4300,4620,3660
2026-07-05,4595,4700,4500,4500,4632
2026-07-10,4550,4550,4200,4280,2724
2026-07-17,4290,4500,4150,4500,4322
2026-07-24,4500,4645,4500,4610,4043
2026-07-31,4610,4610,4495,4515,4807
2026-08-07,4515,4515,4200,4480,2438
2026-08-14,4200,4495,4200,4495,2015
2026-08-21,4400,4475,4400,4470,3347
2026-08-29,4470,4630,4465,4490,4367
2026-09-04,4500,4500,4350,4350,5539
2026-09-10,4495,4495,4400,4400,622
2026-09-18,4300,4300,4300,4300,24
2026-09-24,4200,4200,4080,4080,361
