date,open,high,low,close,volume
2026-06-13,3900,3900,3700,3700,37997
2026-06-14,3900,3900,3700,3700,37997
2026-06-16,3900,3945,3900,3945,4922
2026-06-17,3950,3950,3940,3940,5964
2026-06-19,4275,4400,4275,4400,42847
2026-06-20,4275,4400,4275,4400,42847
2026-06-21,4275,4400,4275,4400,42847
2026-06-22,4400,4500,4400,4500,7311
2026-06-23,4490,4805,4490,4805,6060
2026-06-24,4835,4835,4700,4700,8183
2026-06-25,4700,4700,4480,4480,7452
2026-06-29,4680,4690,4680,4690,5906
2026-06-30,4690,4700,4690,4700,3428
2026-07-01,4700,4700,4600,4600,3118
2026-07-02,4600,4650,4600,4650,2126
2026-07-03,4650,4650,4580,4580,2269
2026-07-05,4650,4650,4580,4580,2269
2026-07-06,4645,4645,4580,4580,1731
2026-07-07,4580,4580,4500,4500,2900
2026-07-08,4500,4500,4270,4270,7032
2026-07-09,3950,4125,3950,4125,11264
2026-07-10,4125,4270,4125,4270,3385
2026-07-13,4400,4480,4400,4480,3946
2026-07-14,4420,4420,4400,4400,3759
2026-07-15,4400,4540,4400,4540,4887
2026-07-16,4540,4540,4400,4400,7080
2026-07-17,4400,4400,4295,4295,1293
2026-07-20,4295,4295,4200,4200,1322
2026-07-21,4200,4385,4200,4385,2822
2026-07-22,4700,4700,4580,4580,3384
2026-07-23,4650,4650,4550,4550,2692
2026-07-24,4645,4750,4645,4750,2518
2026-07-27,4610,4740,4610,4740,6120
2026-07-28,4745,4985,4745,4985,7800
2026-07-29,5350,5355,5350,5355,12625
2026-07-30,4985,5205,4985,5205,19464
2026-07-31,5195,5195,5130,5130,3153
2026-08-03,5100,5100,5000,5000,18854
2026-08-04,5000,5100,5000,5100,8981
2026-08-05,5100,5100,5000,5000,4879
2026-08-06,5000,5250,5000,5250,3742
2026-08-07,5000,5250,5000,5250,3742
2026-08-10,5195,5195,4990,4990,8541
2026-08-11,4995,4995,4810,4810,10772
2026-08-12,5080,5170,5080,5170,5357
2026-08-13,5250,5555,5250,5555,12062
2026-08-14,5970,5970,5840,5840,8093
2026-08-17,5840,5840,5730,5730,4161
2026-08-18,5700,5700,5610,5610,4195
2026-08-19,5700,5700,5700,5700,2641
2026-08-20,5730,5730,5700,5700,1402
2026-08-21,5700,5700,5700,5700,3985
2026-08-24,5700,5800,5700,5800,2616
2026-08-25,5700,5800,5700,5800,2616
2026-08-26,5800,5900,5800,5900,4765
2026-08-28,5900,5900,5850,5850,2316
2026-08-29,5860,5865,5860,5865,2130
2026-08-31,5850,5900,5850,5900,3067
2026-09-01,5900,6200,5900,6200,15094
2026-09-02,6100,6100,6005,6005,9933
2026-09-03,6100,6100,5800,5800,16622
2026-09-04,5500,6070,5500,6070,42420
2026-09-10,5480,5480,5180,5180,24352
2026-09-18,4805,4900,4805,4900,8057
2026-09-24,3685,4000,3685,4000,15752
