date,open,high,low,close,volume
2021-07-30,622,672,537,537,12422
2021-08-31,527,530,354,477,22694
2021-09-30,502,555,446,446,22513
2021-10-29,414,446,407,424,6386
2021-11-30,424,424,339,364,18382
2021-12-31,371,601,364,601,45602
2022-01-31,587,644,527,566,34147
2022-02-28,566,902,460,750,239506
2022-03-31,803,1616,764,764,280305
2022-04-29,764,955,700,753,131523
2022-05-31,767,806,654,704,9829
2022-06-30,704,707,651,693,3372
2022-07-29,693,693,598,636,5467
2022-08-26,644,693,566,608,4335
2022-09-30,608,629,456,587,128494
2022-10-27,590,636,562,566,15299
2022-11-30,566,644,566,629,22533
2022-12-30,629,633,619,622,2113
2023-01-31,576,587,552,552,721
2023-02-28,513,725,509,636,101777
2023-03-31,679,679,626,675,8674
2023-04-28,672,675,622,661,1122
2023-05-30,661,661,587,587,360
2023-06-30,587,587,523,559,1011
2023-07-31,562,562,495,495,4179
2023-08-31,523,530,428,428,17331
2023-09-28,428,460,392,456,8726
2023-10-31,460,654,431,647,213050
2023-11-30,647,955,590,842,377636
2023-12-27,834,990,778,916,620973
2024-01-31,884,916,746,810,201934
2024-02-28,750,799,739,792,4820
2024-03-29,774,849,704,813,16931
2024-04-23,873,873,842,842,93
2024-05-31,781,781,644,693,2390
2024-06-28,693,693,598,689,1813
2024-07-31,689,693,530,608,4922
2024-08-30,608,693,608,682,3212
2024-09-30,633,682,520,615,12491
2024-10-30,615,615,523,555,8974
2024-11-29,555,566,460,484,23042
2024-12-31,495,516,449,509,1922
2025-01-31,509,587,481,583,6307
2025-02-27,576,583,534,562,3143
2025-03-28,562,569,491,559,11697
2025-04-30,559,566,460,467,7112
2025-05-30,488,545,417,491,78009
2025-06-30,491,495,456,481,33489
2025-07-31,488,566,453,566,349215
2025-08-29,608,930,608,919,432390
2025-09-30,919,1022,799,1008,151778
2025-10-31,1004,2790,1004,2355,330017
2025-11-28,2182,2263,1605,2228,161427
2025-12-31,2121,2475,2121,2337,77412
2026-01-30,2298,2807,2203,2786,78372
2026-02-27,2786,4490,2606,4243,134930
2026-03-31,4236,4971,3249,4971,146981
2026-04-30,5335,5343,3610,3610,125304
2026-05-29,3500,4065,3250,3595,156007
2026-06-30,3595,4925,3500,4700,254008
2026-07-31,4700,5355,3950,5130,116690
2026-08-31,5100,5970,890,5900,112559
2026-09-24,5900,6200,3685,4000,257668
