date,open,high,low,close,volume
2021-07-30,622,672,537,537,12422
2021-08-06,527,530,460,460,2512
2021-08-13,438,456,403,456,10304
2021-08-20,456,488,361,361,7154
2021-08-27,361,417,354,417,1868
2021-09-03,446,555,446,552,4596
2021-09-10,552,552,477,491,6089
2021-09-17,491,495,460,460,1486
2021-09-24,463,474,446,463,6555
2021-10-01,477,477,414,442,5269
2021-10-08,446,446,424,442,2974
2021-10-14,442,442,438,438,319
2021-10-22,435,435,428,435,1451
2021-10-29,435,435,407,424,1016
2021-11-05,424,424,421,424,1166
2021-11-11,421,424,417,417,1812
2021-11-19,389,389,368,368,2514
2021-11-26,368,368,354,354,11240
2021-12-03,339,438,339,438,4462
2021-12-09,438,438,424,424,1528
2021-12-17,392,421,364,421,2336
2021-12-24,421,516,421,516,29363
2021-12-31,513,601,484,601,9563
2022-01-07,587,644,587,594,7382
2022-01-11,594,594,569,594,290
2022-01-20,587,590,527,566,25124
2022-01-28,530,566,530,548,894
2022-02-04,534,566,484,484,39199
2022-02-11,460,636,460,636,43276
2022-02-18,636,902,636,884,52269
2022-02-25,866,866,608,700,75528
2022-03-04,704,926,704,919,38460
2022-03-11,986,1308,852,1308,103110
2022-03-18,1223,1616,1213,1294,141085
2022-03-25,1273,1273,1029,1029,9373
2022-04-01,955,955,764,764,18112
2022-04-08,817,849,735,735,10534
2022-04-15,739,916,707,916,109425
2022-04-22,916,955,803,849,819
2022-04-29,849,849,700,753,10601
2022-05-06,767,806,707,707,7103
2022-05-13,700,760,700,707,578
2022-05-20,707,743,672,707,1112
2022-05-27,707,707,654,704,824
2022-06-03,704,707,700,700,1382
2022-06-09,707,707,700,700,543
2022-06-16,700,707,700,700,471
2022-06-23,651,693,651,693,986
2022-07-01,704,704,672,693,209
2022-07-08,672,693,672,693,475
2022-07-15,693,693,644,693,789
2022-07-21,644,644,598,644,3667
2022-07-29,644,644,636,636,529
2022-08-05,644,689,644,689,697
2022-08-12,693,693,636,636,510
2022-08-18,636,636,636,636,249
2022-08-26,590,636,566,608,2879
2022-09-02,608,629,608,608,186
2022-09-08,608,629,608,629,312
2022-09-16,629,629,530,534,2108
2022-09-23,534,566,456,562,107780
2022-09-30,523,629,523,587,18108
2022-10-06,590,590,562,587,313
2022-10-13,587,636,587,590,14714
2022-10-20,590,601,583,583,68
2022-10-27,566,608,566,566,204
2022-11-04,566,644,566,566,21465
2022-11-11,566,566,566,566,173
2022-11-17,608,644,608,644,750
2022-12-01,636,636,626,629,248
2022-12-06,626,633,626,633,727
2022-12-16,629,629,626,626,222
2022-12-23,619,619,619,619,17
2022-12-30,619,626,619,622,1044
2023-01-05,576,587,576,587,7
2023-01-13,583,583,566,566,453
2023-01-20,566,566,566,566,115
2023-01-27,566,566,562,562,94
2023-02-02,552,552,513,513,370
2023-02-10,548,725,509,725,95671
2023-02-17,718,721,636,636,658
2023-02-24,675,707,629,636,4970
2023-03-01,636,679,636,679,318
2023-03-10,636,679,626,679,928
2023-03-24,672,679,651,672,6434
2023-03-31,629,675,629,675,1154
2023-04-03,672,675,626,675,290
2023-04-12,636,672,636,672,427
2023-04-17,622,672,622,672,49
2023-04-28,622,665,622,661,356
2023-05-04,661,661,661,661,71
2023-05-12,651,651,651,651,35
2023-05-19,644,644,633,633,147
2023-05-26,594,594,594,594,106
2023-06-01,587,587,587,587,58
2023-06-09,587,587,580,580,307
2023-06-16,576,576,573,573,142
2023-06-23,566,566,562,562,187
2023-06-30,562,562,523,559,318
2023-07-07,562,562,523,537,303
2023-07-14,537,545,537,545,144
2023-07-21,545,545,523,537,1058
2023-07-28,541,545,523,523,2414
2023-08-04,523,530,481,481,2073
2023-08-11,460,481,446,474,11545
2023-08-18,481,481,474,474,1204
2023-08-25,474,474,438,460,1348
2023-09-01,460,460,424,424,1572
2023-09-07,424,424,392,396,1491
2023-09-15,400,403,396,403,2391
2023-09-22,403,460,403,446,3569
2023-09-28,460,460,456,456,1124
2023-10-06,460,460,431,431,1304
2023-10-13,431,456,431,456,1216
2023-10-20,456,566,456,566,99513
2023-10-27,566,654,566,608,106606
2023-11-03,566,672,566,672,109710
2023-11-10,636,707,590,704,33752
2023-11-17,672,806,654,806,139231
2023-11-24,799,955,799,955,3856
2023-12-01,884,884,810,834,95504
2023-12-08,831,990,831,919,179036
2023-12-15,919,955,849,849,146120
2023-12-22,813,919,778,884,271134
2023-12-27,884,916,820,916,24677
2024-01-05,884,916,760,760,153222
2024-01-12,750,817,746,810,29181
2024-01-18,803,810,757,810,3992
2024-01-25,778,810,778,810,2142
2024-01-31,778,810,757,810,13397
2024-02-06,750,799,750,799,4462
2024-02-15,799,799,799,799,4
2024-02-23,778,799,778,796,208
2024-02-28,739,792,739,792,146
2024-03-08,774,774,774,774,173
2024-03-14,767,771,704,771,5025
2024-03-22,771,771,725,771,455
2024-03-29,725,849,725,813,11278
2024-04-03,873,873,870,870,56
2024-04-11,870,870,870,870,11
2024-04-19,849,849,845,845,22
2024-04-23,845,845,842,842,4
2024-05-10,781,781,781,781,1
2024-05-16,725,781,711,711,612
2024-05-24,693,693,644,693,1561
2024-05-31,693,693,693,693,216
2024-06-07,693,693,689,693,1206
2024-06-14,693,693,644,689,151
2024-06-21,693,693,644,693,202
2024-06-28,693,693,598,689,254
2024-07-05,689,693,689,693,448
2024-07-12,689,693,640,689,139
2024-07-19,644,689,598,605,4124
2024-07-26,562,608,530,601,197
2024-08-02,608,608,608,608,926
2024-08-09,608,608,608,608,297
2024-08-16,636,682,636,682,1052
2024-08-23,636,693,636,682,765
2024-08-30,682,682,682,682,186
2024-09-06,633,682,583,587,1231
2024-09-13,566,672,545,622,932
2024-09-20,576,615,569,612,903
2024-09-27,569,608,520,587,7953
2024-10-04,615,615,527,601,3899
2024-10-11,601,601,552,590,2520
2024-10-18,590,590,523,559,1800
2024-10-25,559,590,527,559,1894
2024-10-30,555,555,523,555,333
2024-11-08,555,566,523,562,21555
2024-11-14,562,562,520,520,398
2024-11-22,516,516,488,495,666
2024-11-29,495,495,460,484,423
2024-12-06,495,495,449,495,775
2024-12-11,495,516,495,516,159
2024-12-20,516,516,488,509,464
2024-12-27,495,509,474,509,410
2025-01-03,509,516,509,516,214
2025-01-10,516,552,481,548,520
2025-01-17,548,587,548,566,3557
2025-01-24,566,587,559,587,790
2025-01-31,587,587,555,583,1340
2025-02-07,576,576,534,573,1263
2025-02-14,573,583,573,583,350
2025-02-20,541,583,541,583,479
2025-02-27,583,583,552,562,1051
2025-03-06,562,569,555,566,506
2025-03-14,566,566,516,566,1823
2025-03-21,559,566,523,523,1306
2025-03-28,530,559,491,559,8062
2025-04-04,559,566,555,555,544
2025-04-11,552,555,481,481,1487
2025-04-17,481,495,460,495,445
2025-04-25,495,495,460,460,2093
2025-05-02,460,495,460,495,2660
2025-05-09,481,481,417,446,6915
2025-05-16,477,495,417,495,43991
2025-05-23,499,545,463,491,14714
2025-05-30,527,527,463,491,12272
