date,open,high,low,close,volume
2021-07-26,1030,1100,1020,1100,9570
2021-07-27,1170,1180,1150,1175,967
2021-07-28,1155,1200,1150,1175,9003
2021-07-29,1175,1200,1160,1185,2393
2021-07-30,1190,1190,1180,1185,2257
2021-08-02,1180,1185,1165,1170,4411
2021-08-03,1170,1170,1150,1160,1292
2021-08-04,1120,1160,1120,1150,623
2021-08-05,1150,1150,1125,1140,465
2021-08-06,1140,1150,1130,1150,1772
2021-08-09,1140,1165,1140,1150,2561
2021-08-10,1170,1170,1150,1150,3460
2021-08-11,1170,1170,1165,1170,739
2021-08-12,1160,1170,1160,1170,4586
2021-08-13,1170,1170,1155,1170,3399
2021-08-16,1170,1170,1160,1170,1368
2021-08-17,1160,1170,1160,1170,2334
2021-08-18,1210,1210,1170,1170,324
2021-08-19,1170,1210,1170,1170,436
2021-08-20,1180,1190,1170,1190,1373
2021-08-23,1190,1200,1190,1200,12995
2021-08-24,1240,1290,1205,1290,1239
2021-08-25,1290,1385,1290,1385,1953
2021-08-26,1385,1485,1380,1485,7299
2021-08-27,1465,1550,1390,1400,4888
2021-08-30,1400,1400,1300,1400,3422
2021-08-31,1300,1350,1300,1350,11973
2021-09-01,1300,1350,1250,1340,2892
2021-09-02,1300,1300,1295,1295,1686
2021-09-03,1205,1290,1205,1285,587
2021-09-06,1215,1285,1215,1285,374
2021-09-07,1285,1380,1220,1350,2083
2021-09-08,1350,1395,1350,1395,2280
2021-09-09,1395,1395,1300,1360,876
2021-09-10,1360,1360,1300,1300,699
2021-09-13,1350,1350,1250,1250,3758
2021-09-14,1270,1295,1255,1285,411
2021-09-15,1265,1300,1260,1295,242
2021-09-16,1270,1290,1260,1270,1524
2021-09-17,1280,1290,1270,1270,631
2021-09-20,1290,1290,1265,1270,446
2021-09-21,1270,1300,1270,1280,2170
2021-09-22,1280,1285,1280,1280,252
2021-09-23,1285,1350,1285,1350,13093
2021-09-24,1300,1350,1300,1350,3083
2021-09-27,1365,1390,1325,1390,4276
2021-09-28,1325,1390,1325,1390,1976
2021-09-29,1350,1385,1350,1370,861
2021-09-30,1360,1360,1350,1350,3234
2021-10-01,1280,1280,1250,1250,1473
2021-10-04,1160,1160,1160,1160,1735
2021-10-05,1075,1150,1075,1100,12462
2021-10-06,1100,1100,1050,1100,1807
2021-10-07,1100,1100,1055,1065,974
2021-10-08,1070,1100,1005,1020,6244
2021-10-11,1095,1095,1010,1050,2156
2021-10-12,1050,1050,1010,1050,1441
2021-10-13,1050,1095,1050,1050,1880
2021-10-14,1050,1050,1025,1045,4022
2021-10-15,1045,1050,1030,1050,737
2021-10-19,1030,1100,1025,1050,2450
2021-10-20,1030,1100,1030,1100,705
2021-10-21,1125,1180,1125,1180,4466
2021-10-22,1185,1250,1180,1200,6113
2021-10-25,1200,1290,1200,1200,2890
2021-10-26,1250,1250,1155,1245,1290
2021-10-27,1210,1240,1200,1200,6020
2021-10-28,1205,1235,1205,1230,4591
2021-10-29,1245,1245,1210,1220,1273
