date,open,high,low,close,volume
2021-07-30,1030,1200,1020,1185,24190
2021-08-31,1180,1550,1120,1350,72912
2021-09-30,1300,1395,1205,1350,47434
2021-10-29,1280,1290,1005,1220,64729
2021-11-30,1255,1300,905,1100,84655
2021-12-31,1065,1100,875,960,53453
2022-01-31,960,960,875,920,30469
2022-02-28,905,1110,905,1055,124760
2022-03-31,1060,1130,1000,1010,72147
2022-04-29,1030,1050,950,1000,28439
2022-05-31,1000,1000,735,910,37884
2022-06-30,910,1000,850,965,13185
2022-07-29,970,1125,970,1050,40938
2022-08-31,1005,1175,960,1120,52915
2022-09-30,1100,1120,1050,1060,37777
2022-10-31,1060,1190,1020,1180,198966
2022-11-30,1165,1220,970,970,46203
2022-12-30,970,1170,815,925,99230
2023-01-31,860,950,750,800,20942
2023-02-28,800,850,680,685,16309
2023-03-31,695,750,650,670,41844
2023-04-27,670,710,650,685,47828
2023-05-31,685,700,555,595,26052
2023-06-30,595,595,500,540,56417
2023-07-31,540,550,500,550,48156
2023-08-31,550,590,495,500,59578
2023-09-28,510,570,475,570,31134
2023-10-31,560,565,495,500,46893
2023-11-30,500,520,475,495,46001
2023-12-29,495,495,435,475,55845
2024-01-31,475,475,420,440,29425
2024-02-29,440,495,420,465,37314
2024-03-29,465,480,425,475,39371
2024-04-30,445,475,440,460,76286
2024-05-31,450,515,400,500,78725
2024-06-28,490,510,470,500,82607
2024-07-31,500,550,460,540,61094
2024-08-30,540,545,495,530,43647
2024-09-30,530,700,495,690,84592
2024-10-31,690,890,605,860,230129
2024-11-29,860,880,805,830,130103
2024-12-31,830,845,720,775,145398
2025-01-31,770,780,625,745,66370
2025-02-28,745,925,685,780,127605
2025-03-28,805,1025,800,1000,147566
2025-04-30,995,1010,880,960,60678
2025-05-30,970,1015,925,950,139948
2025-06-30,965,1065,880,960,125854
2025-07-31,960,1050,950,1000,88145
2025-08-29,1000,1230,995,1185,206791
2025-09-30,1190,1395,1160,1165,139149
2025-10-31,1165,1420,1120,1295,149767
2025-11-28,1200,1285,985,990,214954
2025-12-31,995,1120,985,1060,83502
2026-01-30,1060,1265,1025,1225,89531
2026-02-27,1225,1700,1205,1650,281872
2026-03-31,1615,1615,1455,1610,147689
2026-04-30,1620,2200,1620,1990,366425
2026-05-29,1845,2845,1845,2775,335935
2026-06-30,2775,3300,2700,3290,232059
2026-07-31,3290,3920,3285,3645,203301
2026-08-31,3645,3700,3290,3625,153254
2026-09-24,3640,3665,2505,2890,144694
